sig,ex,side,ent,stop,tgt,risk_pct,pct,R,why,sid,skey,dow,rng,ts
196416,196420,-1,18573.6,18650.7,18511.92,0.41510531076367635,0.322823792910369,0.7776913099870116,target,1,202504241,3,76.79999999999927,2025-04-24 03:30:00-04:00
196441,196451,1,18947.5,18743.3,19110.86,1.0777147380921004,0.8530940757355883,0.7915768854064643,target,2,202504242,3,113.5,2025-04-24 09:45:00-04:00
196478,196486,1,19331.4,19288.6,19365.640000000003,0.2214014504898916,-0.23029889195817638,-1.0401869158878476,stop,0,202504250,4,33.30000000000291,2025-04-24 20:15:00-04:00
196513,196519,-1,19268.1,19362.5,19192.579999999998,0.4899289499224182,0.38301648839273433,0.7817796610169417,target,1,202504251,4,78.79999999999927,2025-04-25 05:00:00-04:00
196533,196534,1,19287.3,19153.8,19394.1,0.6921653108522189,-0.7010830961306145,-1.0128838951310861,stop,2,202504252,4,105.40000000000146,2025-04-25 10:00:00-04:00
196662,196666,1,19457.0,19401.9,19501.079999999998,0.28318856966643646,0.21771084956569928,0.7687840290380985,target,0,202504290,1,35.19999999999709,2025-04-28 20:45:00-04:00
196688,196701,1,19495.8,19436.1,19543.56,0.3062198011879519,-0.3150422142205025,-1.0288107202680064,stop,1,202504291,1,44.60000000000218,2025-04-29 03:15:00-04:00
196714,196715,1,19402.3,19307.7,19477.98,0.4875710611628443,0.3811919205455038,0.781818181818197,target,2,202504292,1,72.89999999999782,2025-04-29 09:45:00-04:00
196753,196762,-1,19435.2,19488.5,19392.56,0.27424466946570797,0.21054581378117754,0.7677298311444649,target,0,202504300,2,38.29999999999927,2025-04-29 20:45:00-04:00
196782,196792,1,19505.6,19466.6,19536.8,0.19994258059224018,-0.20876056106964155,-1.044102564102564,stop,1,202504301,2,27.900000000001455,2025-04-30 04:00:00-04:00
196805,196807,-1,19023.0,19207.9,18875.079999999998,0.9719812858119196,-0.9810229721915652,-1.0093023255813953,stop,2,202504302,2,168.10000000000218,2025-04-30 09:45:00-04:00
196844,196865,1,19851.7,19809.2,19885.7,0.21408745850481317,-0.09933658074623332,-0.46399999999999997,session flat,0,202505010,3,34.099999999998545,2025-04-30 20:45:00-04:00
196870,196877,1,19860.0,19807.5,19902.0,0.26435045317220546,0.2028197381671702,0.7672380952380953,target,1,202505011,3,43.29999999999927,2025-05-01 03:15:00-04:00
196896,196898,-1,19774.0,19894.0,19678.0,0.6068574896328512,-0.6155557803175887,-1.0143333333333333,stop,2,202505012,3,100.09999999999854,2025-05-01 09:45:00-04:00
