feat,dir,n,mu,pf,p
d_vah,lo,739,0.009152596379671063,1.0341941370482588,0.7375
vol.atr_rank,hi,736,0.008888120601019596,1.0314495906270469,0.745
don.w55,lo,739,0.008681101625445671,1.0360511448574412,0.7475
vol.vov,hi,737,0.007521689934718259,1.02513216383893,0.7575
p_cpos,lo,739,0.008325813100647969,1.0327476054195943,0.7575
mom.roc78,lo,737,0.006869688036058455,1.0237634447511734,0.7625
inside_va,lo,1128,0.006783726750822564,1.0279317058041715,0.765
above_va,lo,850,0.006391701170099417,1.0242719911859521,0.765
hmm.side,lo,739,0.00593348885725321,1.0229314657654507,0.775
d_poc,lo,739,0.0047301513246136035,1.0174881313037694,0.7875
mom.d_ema78,lo,739,0.004250747875094452,1.014905279645649,0.795
don.stop_pct,lo,739,0.004129223103166694,1.0277531783240588,0.7975
don.atr_pct,lo,739,0.004129223103166694,1.0277531783240588,0.7975
tod.rng,lo,732,0.0031951309714619664,1.0180769117827586,0.8175
d_val,lo,739,0.002835254283185673,1.0104365963098623,0.8175
str.gap,hi,626,0.001702524189169717,1.007490978187342,0.8425
don.atr_r78,hi,738,0.0008979185696955323,1.0038545029685124,0.845
vol.rng_atr,hi,738,-0.0018008174657403089,0.9924269782490772,0.88
don.w20,lo,739,-0.0018928827416112932,0.9923266063172006,0.88
ffd.z250,lo,727,-0.0018652415655281225,0.9935052012023742,0.88
str.bar_pos,lo,739,-0.0025092705265624972,0.990641219390583,0.8825
p_vaw,lo,740,-0.0030165766758498,0.9874008895232516,0.89
p_bull,lo,1129,-0.0046893543338576505,0.9808559609961867,0.9025
ffd.z,lo,730,-0.004789385507622983,0.9825382312378557,0.905
p_bear,hi,315,-0.005575485103544446,0.9784458166762195,0.91
stack5,lo,1048,-0.008816906411125366,0.9644594791666837,0.935
mom.roc26,lo,739,-0.011805119148747198,0.9563631855497456,0.9475
p_nlvn,hi,686,-0.019206321744063507,0.9261512070186287,0.985
hvn_up,hi,434,-0.024010662386661042,0.9136283584486208,0.9925
stack20,lo,761,-0.020824836082582853,0.9180425004146128,0.9925
dev_poc,lo,411,-0.034583955097879364,0.8802276228446829,1.0
dev_pos,lo,411,-0.036876283112732444,0.872506177052601,1.0
below_va,hi,501,-0.03546208090693448,0.8762430190568526,1.0
str.sess_pos,lo,411,-0.036876283112732444,0.872506177052601,1.0
