,ret
2023-03-08,0.059697250729201734
2023-03-09,-0.30106042947400036
2023-03-10,0.03734620996436797
2023-03-13,-0.05802148579872767
2023-03-14,0.004772498455727733
2023-03-15,-0.07023101618650564
2023-03-16,0.26108123832492136
2023-03-17,-0.07800248001513195
2023-03-20,-0.09957540168153559
2023-03-21,-0.043730617108694324
2023-03-22,0.05767239405093529
2023-03-23,-0.015494131935659145
2023-03-24,0.0381976879803616
2023-03-27,0.10490610392491315
2023-03-28,-0.03286180317352652
2023-03-29,-3.700458191056161e-05
2023-03-30,-0.04405653386192655
2023-03-31,0.1642844431989546
2023-04-03,-0.09254268264662031
2023-04-04,0.07242673574281572
2023-04-05,0.03322492489005527
2023-04-06,-0.02834860329601786
2023-04-07,0.0002869376411973303
2023-04-10,-0.022212787757500727
2023-04-11,-0.0046106017984055125
2023-04-12,0.19010732391638702
2023-04-13,0.10399333816737433
2023-04-14,-0.029621329970535046
2023-04-17,-0.009815368400100038
2023-04-18,-0.01683227965627209
2023-04-19,0.0592821005572559
2023-04-20,0.004769599674367277
2023-04-21,-0.020030251690858616
2023-04-24,-0.03197861375598783
2023-04-25,0.2026489073892753
2023-04-26,-0.02115651458655816
2023-04-27,0.1310815855883279
2023-04-28,0.008637426234649671
2023-05-01,-0.09075675521553417
2023-05-02,-0.001028663166532215
2023-05-03,0.20361484530137272
2023-05-04,-0.13547943620688122
2023-05-05,0.21563956983045332
2023-05-08,0.008045934521290803
2023-05-09,0.08777290448586597
2023-05-10,-0.14031900067116487
2023-05-11,-0.023501714672816247
2023-05-12,0.02010934662805016
2023-05-15,-0.0013019792884866911
2023-05-16,0.0759431306585698
2023-05-17,0.0012409159694789411
2023-05-18,0.1380103949627137
2023-05-19,0.06495648846582902
2023-05-22,-0.023835216425503174
2023-05-23,0.4202903801098148
2023-05-24,0.06013390127636206
2023-05-25,0.0526319598718415
2023-05-26,0.12687375279124266
2023-05-29,-0.0056458576123552895
2023-05-30,0.06355520937926773
2023-05-31,0.025381013777393487
2023-06-01,-0.11168662057182639
2023-06-02,0.16045909734571123
2023-06-05,-0.0645483409433547
2023-06-06,-0.02345004144390677
2023-06-07,0.09850183379405392
2023-06-08,0.031134531132303554
2023-06-09,-0.08491027316291261
2023-06-12,-0.024572184375829108
2023-06-13,-0.06488497219862363
2023-06-14,-0.06508726342131305
2023-06-15,0.260627957195259
2023-06-16,-0.22062798859232707
2023-06-19,0.0004349877930591553
2023-06-20,-0.046148721394085795
2023-06-21,0.19321694748635432
2023-06-22,-0.06563337062704737
2023-06-23,-0.05490750441534377
2023-06-26,0.1397088217986597
2023-06-27,0.008161657728397121
2023-06-28,-0.10464670877844251
2023-06-29,-0.012068888484524894
2023-06-30,0.02678688652199592
2023-07-03,0.023937023326045394
2023-07-04,0.0005491171054677983
2023-07-05,-0.061927295198649965
2023-07-06,-0.03590360328273334
2023-07-07,0.031238942387175703
2023-07-10,-0.035570594600784676
2023-07-11,0.07523892124455459
2023-07-12,0.09852858634158712
2023-07-13,0.013729820482742619
2023-07-14,-0.15031993954182926
2023-07-17,0.01706946058922508
2023-07-18,0.1667856998580834
2023-07-19,0.053717474603168086
2023-07-20,-0.01206859074949506
2023-07-21,-0.06706475894627961
2023-07-24,-0.005466537688982446
2023-07-25,-0.03924572422981547
2023-07-26,0.013953713599190426
2023-07-27,-0.009856925771095558
2023-07-28,-0.07014439770469558
2023-07-31,-0.02483556072306959
2023-08-01,0.0034296629614846245
2023-08-02,0.0077582930327498665
2023-08-03,0.05572190191677512
2023-08-04,0.1830741693025612
2023-08-07,0.017875469468341856
2023-08-08,-0.11056094870807885
2023-08-09,0.0660537226999787
2023-08-10,-0.31193881706527715
2023-08-11,-0.07732935307413412
2023-08-14,0.025178758758935084
2023-08-15,-0.13628559137884497
2023-08-16,0.032083482911528446
2023-08-17,-0.01962258228614036
2023-08-18,-0.009479225847372739
2023-08-21,-0.014703601043340139
2023-08-22,0.19630254123713528
2023-08-23,0.08314727000563991
2023-08-24,0.6236994942814587
2023-08-25,-0.006596520856713441
2023-08-28,-0.07161987654203592
2023-08-29,0.0953300191766374
2023-08-30,-0.06234525546012622
2023-08-31,-0.16455033192878737
2023-09-01,-0.018885275459435222
2023-09-04,0.00036439141021138704
2023-09-05,0.035401330009972164
2023-09-06,0.00021321724156784695
2023-09-07,0.006570482259402188
2023-09-08,-0.09867198099599951
2023-09-11,0.05121918816621199
2023-09-12,-0.10103734592696997
2023-09-13,-0.021972628728247193
2023-09-14,0.02129931673356691
2023-09-15,0.0632451676593675
2023-09-18,0.00019368556940079634
2023-09-19,0.01688983236801076
2023-09-20,-0.2791252665592022
2023-09-21,-0.013116284220410857
2023-09-22,-0.014255371801041562
2023-09-25,-0.021427363585696413
2023-09-26,-0.041846831913224136
2023-09-27,-0.02770678178411457
2023-09-28,0.05056547450923266
2023-09-29,0.030263947069558615
2023-10-02,-0.07582876133478239
2023-10-03,0.02379986959178969
2023-10-04,-0.06942305954498025
2023-10-05,-0.0008247527149656666
2023-10-06,0.22861368328418596
2023-10-09,0.07267140777778602
2023-10-10,-0.025022264623749485
2023-10-11,-0.04503104407713621
2023-10-12,-0.08189933823267873
2023-10-13,-0.24540730720527823
2023-10-16,0.010283465359108908
2023-10-17,-0.01881887000219227
2023-10-18,-0.13044664530335914
2023-10-19,-0.036308725601553876
2023-10-20,0.03233208520008842
2023-10-23,0.0006166018384726452
2023-10-24,-0.03696746438515479
2023-10-25,-0.07891086715065271
2023-10-26,0.1572165798414896
2023-10-27,0.10210471744555663
2023-10-30,-0.05219330542891157
2023-10-31,-0.029378140645363808
2023-11-01,-0.01928268881941364
2023-11-02,0.07537395280696085
2023-11-03,0.008932553080662714
2023-11-06,-0.00873161196403255
2023-11-07,0.06366645079393572
2023-11-08,-0.0002650470275800541
2023-11-09,0.24417792607984035
2023-11-10,0.023459901492199092
2023-11-13,0.0324413517014851
2023-11-14,-0.03232241973969184
2023-11-15,-0.015647958082245637
2023-11-16,-0.06649145535499071
2023-11-17,0.01774762287050089
2023-11-20,0.09781149335386795
2023-11-21,-0.06493949559612301
2023-11-22,-0.10836962136618453
2023-11-23,-0.01034830656796546
2023-11-24,-0.0030652534695327013
2023-11-27,-0.044668319828336564
2023-11-28,-0.09738835117618246
2023-11-29,0.046265453860851326
2023-11-30,-0.004536168586691284
2023-12-01,-0.0006456442157142736
2023-12-04,-0.005275299657426319
2023-12-05,0.00517463911961361
2023-12-06,0.17857280915616752
2023-12-07,0.018902974967640415
2023-12-08,-0.004960266667878202
2023-12-11,0.09510818047162473
2023-12-12,0.013096413764821097
2023-12-13,-0.009570903732999039
2023-12-14,-0.04079174847444828
2023-12-15,-0.04546325288507022
2023-12-18,0.005217761402751615
2023-12-19,0.029107479643282076
2023-12-20,0.0021080256618085692
2023-12-21,-0.057832253882010506
2023-12-22,-0.021861848985419024
2023-12-25,0.0
2023-12-26,0.01772441191320968
2023-12-27,-0.04014158781799588
2023-12-28,-0.05433270445509159
2023-12-29,0.03543891030999516
2024-01-02,-0.010856192943365043
2024-01-03,-0.1487588454596593
2024-01-04,-0.01891510958308949
2024-01-05,-0.025338648313536688
2024-01-08,0.24296234261308086
2024-01-09,0.061163459109419796
2024-01-10,0.027873033764204965
2024-01-11,0.04929420281928143
2024-01-12,-0.014282015230133598
2024-01-15,-9.804994652608454e-05
2024-01-16,-0.036120509750164564
2024-01-17,-0.03440309187159145
2024-01-18,-0.0898755148722183
2024-01-19,0.06773724167315356
2024-01-22,0.053577363745996864
2024-01-23,-0.012443797578098178
2024-01-24,0.014553358175536008
2024-01-25,-0.017703249678270642
2024-01-26,-0.0038055519995010153
2024-01-29,-0.013227070594796856
2024-01-30,0.04634125339454957
2024-01-31,0.17728670250602788
2024-02-01,0.0010761572682181815
2024-02-02,0.1299555247014181
2024-02-05,-0.012670710381173882
2024-02-06,-0.018049543407722114
2024-02-07,-0.000891359647266607
2024-02-08,-0.013235332404084053
2024-02-09,0.0532222419238361
2024-02-12,-0.09888464319202679
2024-02-13,-0.0020208550777221328
2024-02-14,-0.11041946687328034
2024-02-15,0.06190288631840022
2024-02-16,-0.04584431083117535
2024-02-19,-0.00017013113205523953
2024-02-20,-0.10268094268448702
2024-02-21,-0.018862417375176573
2024-02-22,-0.012406991724215184
2024-02-23,0.01715987876242382
2024-02-26,-0.03817939124756502
2024-02-27,-0.010655747802530265
2024-02-28,0.008129754963366152
2024-02-29,-0.10703809552352259
2024-03-01,0.0924325206418618
2024-03-04,-0.0546538069386457
2024-03-05,0.06375348479653256
2024-03-06,-0.05050117900061074
2024-03-07,0.022083916458039837
2024-03-08,0.15331459290815377
2024-03-11,-0.027476179293026128
2024-03-12,0.0633069309584188
2024-03-13,-0.03880525721373573
2024-03-14,0.0312585762812049
2024-03-15,0.046440493958026116
2024-03-17,0.0
2024-03-18,-0.00716063805475237
2024-03-19,0.10450333302396496
2024-03-20,0.26092778682989876
2024-03-21,-0.11035090936643434
2024-03-22,0.09756701939546515
2024-03-25,-0.01480485144414269
2024-03-26,0.01099051197000624
2024-03-27,0.0005540964241741088
2024-03-28,-0.002444977643669174
2024-03-31,0.0
2024-04-01,-0.08002241407163277
2024-04-02,-0.001807587145513339
2024-04-03,-0.02815692453028854
2024-04-04,0.21728135270527987
2024-04-05,0.0482848399237553
2024-04-08,-0.022934292778638232
2024-04-09,0.0007215460929204179
2024-04-10,-0.06723231932187093
2024-04-11,0.09034722550899552
2024-04-12,-0.007926787179876549
2024-04-15,-0.20337708797217113
2024-04-16,-0.03587473544961092
2024-04-17,0.0642183414009785
2024-04-18,0.0251001867834797
2024-04-19,0.18605938250518786
2024-04-22,-0.02864464792495907
