time,side,reason,pts,usd,R,qty,path,action,orbBps,stopPts,tgtPts,trig,lock,regime,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
2025-05-16 10:45:00,-1,stop,-100.0,-202.5,-1.0,1,parent_no_condition,control,43.013180548107584,100.0,300.0,0.75,0.1,ct,-37.092323698375566,-8.601955813112294,-597.413803434681,-1571.0135824762506,31.592853791442277,32.30871770540378,-1.0,4.0,43.013180548107584,10.0,-0.9510565162951536,0.30901699437494723,0.8660254037844387,-0.4999999999999998
2025-05-19 10:00:00,1,target,125.0,247.5,1.25,1,parent_no_condition,control,62.695211382992646,100.0,125.0,1.25,0.0,hv,-137.21760077445188,50.685039993665356,653.8346225340285,1641.8986213765274,24.584931298448076,13.50078849142955,1.0,1.0,62.695211382992646,15.0,0.0,1.0,0.8660254037844387,-0.4999999999999998
2025-05-20 12:45:00,1,stop,-60.5,-247.0,-1.0,2,parent_no_condition,control,21.921894774905077,60.5,182.0,1.25,0.0,base,-46.46923803951597,62.38324370223536,264.9511445797037,1912.714795056698,21.98853557754399,18.41412578090562,1.0,12.0,21.921894774905077,13.0,0.9510565162951535,0.30901699437494745,0.8660254037844387,-0.4999999999999998
2025-05-21 11:00:00,1,stop,-100.0,-405.0,-1.0,2,parent_no_condition,control,41.87828060717832,100.0,300.0,1.25,0.0,base,-71.13339204660952,-30.05639796021753,64.43255036989059,1587.4033467219651,32.08762031005507,29.53591272760292,1.0,5.0,41.87828060717832,15.0,0.5877852522924732,-0.8090169943749473,0.8660254037844387,-0.4999999999999998
2025-05-22 10:00:00,1,stop,-100.0,-405.0,-1.0,2,parent_no_condition,control,48.34258089953772,100.0,300.0,1.25,0.0,base,-2.8563920340940463,-103.01467761268279,-100.21604135325602,1203.3742095696475,42.44929713785206,52.10416261983486,1.0,1.0,48.34258089953772,7.0,-0.587785252292473,-0.8090169943749476,0.8660254037844387,-0.4999999999999998
2025-05-26 10:45:00,-1,stop,-61.25,-125.0,-1.0,1,parent_no_condition,control,22.281082678731796,61.25,183.75,0.75,0.1,ct,-119.9990787018912,67.14633783644675,225.46911759739774,-723.026957606292,15.096985780133076,13.08037034509435,-1.0,4.0,22.281082678731796,14.0,0.0,1.0,0.8660254037844387,-0.4999999999999998
2025-05-28 10:00:00,-1,close1600,103.5,204.5,1.0753246753246752,1,rc1_direct,direct,34.62619449128724,96.25,288.75,0.75,0.1,ct,-228.48193104083592,67.14633783644675,225.46911759739774,-723.026957606292,15.469131879807252,32.794618088702876,-1.0,1.0,34.62619449128724,11.0,0.5877852522924732,-0.8090169943749473,0.8660254037844387,-0.4999999999999998
2025-05-29 10:15:00,-1,stop,-100.0,-202.5,-1.0,1,parent_no_condition,control,65.75741451256056,100.0,125.0,1.25,0.0,hv,-137.88731278231214,43.6203787195677,61.096358972051455,-903.6932800079001,50.52845973055109,59.86611555395815,-1.0,2.0,65.75741451256056,15.0,-0.587785252292473,-0.8090169943749476,0.8660254037844387,-0.4999999999999998
2025-05-30 10:00:00,-1,stop,-100.0,-202.5,-1.0,1,rc1_direct,direct,43.194585371660494,100.0,300.0,0.75,0.1,ct,17.96549269516334,77.13782780773838,7.113339204660729,-868.9992263008595,16.464321606748378,17.371558330967485,-1.0,1.0,43.194585371660494,12.0,-0.9510565162951536,0.30901699437494723,0.8660254037844387,-0.4999999999999998
2025-06-02 13:15:00,1,close1600,58.75,115.0,0.5875,1,parent_no_condition,control,80.85246124404081,100.0,125.0,1.25,0.0,hv,-55.0643359489833,23.346479894827965,105.00097117329244,843.9289348814971,40.77961133063246,22.145641489181855,1.0,14.0,80.85246124404081,13.0,0.0,1.0,0.49999999999999994,-0.8660254037844387
