n,net,R,pf,win,dd,top5,R_is,R_oos,n_oos,stop_share,sumR_stop,sumR_tgt,sumR_1530,sumR_1600,stop,tgt,trig,cond
345,9557.5,0.15105903316352043,1.3928843031262204,0.3884057971014493,-2567.0,1.183049960763798,0.10806526772357178,0.20828722094507368,148,0.6869565217391305,-162.57486476098313,142.68581588285207,0.0,72.00441531954559,0.75,4.0,0.75,False
345,9528.5,0.14618743541085735,1.3561789772727273,0.4,-2471.5,1.25533924542163,0.11705430437805632,0.18496599496127492,148,0.6463768115942029,-171.5748647609831,142.0184502165985,67.14316287830458,12.847916882825814,0.75,4.0,1.25,True
345,8770.5,0.14819230379176893,1.3269585639993289,0.4115942028985507,-2423.5,1.294567014423351,0.13922448901410622,0.1601291923809551,148,0.6492753623188405,-171.57486476098313,146.00554699079206,0.0,76.69566257835133,0.75,4.0,1.25,False
345,7493.5,0.12032055706415506,1.2618182453443276,0.4,-2602.0,1.5962500834056181,0.093817785817788,0.1555978944664139,148,0.6405797101449275,-178.5748647609831,142.0184502165985,65.45586003502768,12.61114669649041,0.75,4.0,2.0,True
345,6733.0,0.12241646290360168,1.2344318518131647,0.4115942028985507,-2554.0,1.6863211050051983,0.11691954709978174,0.12973330353436205,148,0.6434782608695652,-178.5748647609831,146.00554699079206,0.0,74.80299747193362,0.75,4.0,2.0,False
345,8211.0,0.12804999538555845,1.2677165354330708,0.34492753623188405,-2530.5,1.456765314821581,0.08338787166664721,0.18749890330870386,148,0.5739130434782609,-198.0,147.67992612021297,76.42042551079277,18.076896777011942,0.75,4.0,off,True
345,7668.0,0.1335888838317562,1.2477784599476525,0.35942028985507246,-2314.0,1.480699008868023,0.11318581985369541,0.16074701628903984,148,0.5797101449275363,-200.0,155.6550468465023,0.0,90.43311807545356,0.75,4.0,off,False
343,11370.0,0.1735049283497433,1.4641953131379113,0.358600583090379,-2705.5,1.2908970976253298,0.16271150329952302,0.18772599513888483,148,0.7055393586005831,-160.47538832119255,47.32341079523155,160.65857771454623,12.005590235376749,0.75,8.0,0.75,True
343,10238.5,0.1650226987178913,1.4170383495244496,0.36443148688046645,-2585.0,1.367143624554378,0.16953083015450765,0.15908293094667375,148,0.717201166180758,-160.37475939037495,61.96174234000518,0.0,155.01580271060647,0.75,8.0,0.75,False
343,12295.0,0.1951835887090987,1.4605041387317876,0.3848396501457726,-2515.0,1.2141927612850751,0.19371842404312514,0.19711404215413134,148,0.6618075801749271,-169.57486476098313,50.65780569969016,172.18024869890837,13.684781289605477,0.75,8.0,1.25,True
343,11002.0,0.18630748995327584,1.410805966805444,0.3877551020408163,-2465.5,1.2855844391928741,0.20298494005227716,0.1643338225931052,148,0.6763848396501457,-169.47423583016553,65.29613724446378,0.0,168.08156763967537,0.75,8.0,1.25,False
343,9551.5,0.16016658612473048,1.331632033053834,0.3848396501457726,-2515.5,1.5366696330419305,0.168534735609713,0.14914098376276022,148,0.6530612244897959,-178.57846818910934,50.65780569969016,169.40979042693166,13.44801110327007,0.75,8.0,2.0,True
343,8549.0,0.1551367976345898,1.2961000277085064,0.39067055393586003,-2466.0,1.6488478184582993,0.18128221950631215,0.12068843773603667,148,0.6676384839650146,-178.47783925829174,65.29613724446378,0.0,166.39362360249223,0.75,8.0,2.0,False
343,10527.5,0.174213753758037,1.3328906385871713,0.3294460641399417,-2444.0,1.4260745666112562,0.1622311223834655,0.19000168023129002,148,0.5860058309037901,-201.0,58.645757506919075,181.66329884829602,20.44626118379161,0.75,8.0,off,True
343,9682.0,0.17376889776690138,1.3025341374246164,0.33819241982507287,-2226.0,1.46364387523239,0.1834353243685695,0.16103272758227105,148,0.5918367346938775,-203.0,73.28408905169267,0.0,189.31864288235448,0.75,8.0,off,False
345,5259.0,0.06412571942035344,1.1839550868356157,0.48985507246376814,-2689.5,1.630347974900171,0.035241269215925235,0.10212137203825904,149,0.4753623188405797,-145.90184177588628,164.61538213851077,-2.806945794583422,6.216778631980884,1.0,1.5,0.75,True
345,5328.0,0.06604339715096672,1.1855508540981037,0.5101449275362319,-2636.5,1.6182432432432432,0.03751410651408722,0.10357186000216394,149,0.4811594202898551,-147.90184177588628,164.61538213851077,0.0,6.071431654459044,1.0,1.5,0.75,False
345,3228.0,0.045710129465551544,1.1051619944291509,0.48985507246376814,-2689.5,2.6561338289962824,0.03410491136913336,0.0609760539413768,149,0.4753623188405797,-153.000202431624,165.49101665627725,-2.578622095161457,5.857802536123466,1.0,1.5,1.25,True
345,3296.0,0.04761105256769869,1.1069348690080298,0.5101449275362319,-2547.0,2.6158980582524274,0.03637774866729535,0.06238774763131654,149,0.4811594202898551,-155.00020243162402,165.49101665627725,0.0,5.934998911202782,1.0,1.5,1.25,False
345,3035.5,0.04252332507769022,1.0982950957693116,0.48695652173913045,-2689.5,2.8245758524131115,0.028495485278255017,0.0609760539413768,149,0.4753623188405797,-154.09964994543614,165.49101665627725,-2.578622095161457,5.857802536123466,1.0,1.5,2.0,True
345,3103.5,0.044424248179837374,1.1000854604382668,0.5072463768115942,-2658.0,2.778153697438376,0.03076832257641701,0.06238774763131654,149,0.4811594202898551,-156.09964994543617,165.49101665627725,0.0,5.934998911202782,1.0,1.5,2.0,False
345,4032.0,0.055701405262661464,1.1291645310097387,0.4782608695652174,-3175.0,2.1264880952380953,0.03217773780770568,0.08664528996850933,149,0.45507246376811594,-157.0,169.99268889707994,-0.6282662439237726,6.85256216246204,1.0,1.5,off,True
345,4045.0,0.05648734494124054,1.1286373032278583,0.4956521739130435,-3082.0,2.1315203955500617,0.033483506460227595,0.08674742777532468,149,0.4579710144927536,-158.0,171.49450707889812,0.0,5.99362692582987,1.0,1.5,off,False
344,7039.5,0.08587493482668788,1.2435096943805455,0.45930232558139533,-2889.5,1.429931103061297,0.05730641237230707,0.12370892402303008,148,0.5232558139534884,-148.20646643194434,151.62618089799363,13.332402542724749,12.788860571606575,1.0,2.0,0.75,True
344,7210.0,0.09071937494670258,1.248325268215399,0.4796511627906977,-2747.0,1.4162274618585298,0.06768046554412487,0.12123036307444068,148,0.5290697674418605,-150.20646643194434,159.62618089799366,0.0,21.787750515616384,1.0,2.0,0.75,False
344,4983.0,0.07210743920471431,1.160201900046617,0.4622093023255814,-2879.0,2.0200682319887617,0.06434536085433025,0.08238694837143917,148,0.5232558139534884,-154.20646643194434,152.79369358834896,13.88648381790429,12.331248112112796,1.0,2.0,1.25,True
344,5103.0,0.07584495971187782,1.1631550340505803,0.4796511627906977,-2786.0,2.0009798157946306,0.0728061487200256,0.07986933102541188,148,0.5290697674418605,-156.20646643194434,160.79369358834902,0.0,21.503438984481335,1.0,2.0,1.25,False
344,2999.0,0.045473870850609215,1.0913813854990326,0.4563953488372093,-3312.0,3.3564521507169056,0.02812368986549272,0.06845113756062836,148,0.5232558139534884,-161.30591394575652,150.79369358834896,13.88648381790429,12.268748112112794,1.0,2.0,2.0,True
344,3119.0,0.049211391357772735,1.094540935406626,0.4738372093023256,-3219.0,3.2738057069573583,0.036584477731188066,0.06593352021460107,148,0.5290697674418605,-163.30591394575652,158.79369358834902,0.0,21.440938984481335,1.0,2.0,2.0,False
344,4238.5,0.06329599778992033,1.1261176820650152,0.436046511627907,-3276.0,2.374896779521057,0.04335163521563621,0.08970880228018852,148,0.4883720930232558,-168.0,158.793693588349,14.65472850222418,16.325401149159433,1.0,2.0,off,True
344,4406.0,0.06728550757042463,1.1301644042009482,0.45348837209302323,-3183.0,2.321379936450295,0.05325021969671303,0.08587278070047517,148,0.4941860465116279,-170.0,166.79369358834896,0.0,26.35252101587709,1.0,2.0,off,False
344,8659.5,0.10883998155332289,1.2938960443924044,0.4186046511627907,-3423.0,1.4069519025347883,0.08098384974992674,0.14573053448214485,148,0.5813953488372093,-150.60682145117877,123.00063616526614,46.38878035227762,18.6583585879781,1.0,3.0,0.75,True
344,8989.0,0.12015156222391499,1.3049599674311305,0.4418604651162791,-3232.5,1.3380798754032706,0.09716241843234125,0.1505966445424857,148,0.5843023255813954,-151.60682145117877,127.25063616526614,0.0,65.68832269093939,1.0,3.0,0.75,False
344,6254.5,0.08696211364350549,1.1934371472311998,0.4273255813953488,-3149.5,1.9479574706211529,0.060303593061267605,0.12226664090106378,148,0.5697674418604651,-159.60682145117877,125.50063616526614,45.38908640493679,18.632065974341735,1.0,3.0,1.25,True
344,6538.0,0.09759301624369227,1.2018493076673715,0.4476744186046512,-3008.5,1.8397063322116856,0.07528750227317484,0.1271327509614046,148,0.5726744186046512,-160.60682145117877,129.75063616526614,0.0,64.42818287374278,1.0,3.0,1.25,False
