feed,cell,side,filter,block,n,R,pct,pf,win
US30,US100 Optuna totR,SHORT,bull only,LOCKED,154,-0.1168,-0.0115,0.79,26.6
US30,US100 Optuna totR,SHORT,bear only,research,45,0.2914,0.0593,1.534,35.6
US30,US100 Optuna totR,SHORT,bear only,LOCKED,44,-0.4937,-0.2574,0.289,18.2
US30,US100 Optuna pf,LONG,both regimes,research,19,0.5336,0.4987,2.525,57.9
US30,US100 Optuna pf,LONG,both regimes,LOCKED,21,-0.4652,-0.1482,0.34,19.0
US30,US100 Optuna pf,LONG,bull only,LOCKED,15,-0.5489,-0.187,0.244,20.0
US30,US100 Optuna pf,SHORT,both regimes,research,41,0.0824,0.1154,1.16,39.0
US30,US100 Optuna pf,SHORT,both regimes,LOCKED,31,-0.3118,-0.1433,0.485,29.0
US30,US100 Optuna pf,SHORT,bull only,research,34,-0.041,0.0781,0.926,35.3
US30,US100 Optuna pf,SHORT,bull only,LOCKED,24,-0.3072,-0.1079,0.485,29.2
US30,US100 Optuna retdd,LONG,both regimes,research,267,-0.0544,-0.0106,0.866,33.3
US30,US100 Optuna retdd,LONG,both regimes,LOCKED,152,-0.0852,-0.0459,0.808,28.9
US30,US100 Optuna retdd,LONG,bull only,research,228,-0.1054,-0.0357,0.745,30.3
US30,US100 Optuna retdd,LONG,bull only,LOCKED,118,-0.0618,-0.0331,0.859,29.7
US30,US100 Optuna retdd,LONG,bear only,research,39,0.2441,0.1357,1.692,51.3
US30,US100 Optuna retdd,LONG,bear only,LOCKED,34,-0.1664,-0.0901,0.636,26.5
US30,US100 Optuna retdd,SHORT,both regimes,research,199,-0.013,0.0132,0.969,30.7
US30,US100 Optuna retdd,SHORT,both regimes,LOCKED,120,0.0577,0.006,1.137,35.0
US30,US100 Optuna retdd,SHORT,bull only,research,135,0.0069,0.03,1.016,31.1
US30,US100 Optuna retdd,SHORT,bull only,LOCKED,82,0.1396,0.057,1.345,37.8
US30,US100 Optuna retdd,SHORT,bear only,research,64,-0.0549,-0.0223,0.868,29.7
US30,US100 Optuna retdd,SHORT,bear only,LOCKED,38,-0.119,-0.1042,0.741,28.9
US30,US30 Optuna totR,LONG,both regimes,research,722,0.3304,0.0302,1.56,31.0
US30,US30 Optuna totR,LONG,both regimes,LOCKED,430,0.0444,0.012,1.081,30.5
US30,US30 Optuna totR,LONG,bull only,research,593,0.327,0.0362,1.549,30.5
US30,US30 Optuna totR,LONG,bull only,LOCKED,341,0.0469,0.0021,1.083,29.0
US30,US30 Optuna totR,LONG,bear only,research,137,0.3026,-0.0013,1.529,32.1
US30,US30 Optuna totR,LONG,bear only,LOCKED,89,0.0348,0.0498,1.071,36.0
US30,US30 Optuna totR,SHORT,both regimes,research,589,-0.0768,0.011,0.869,29.2
US30,US30 Optuna totR,SHORT,both regimes,LOCKED,379,-0.0784,-0.0034,0.862,27.7
US30,US30 Optuna totR,SHORT,bull only,research,422,-0.1321,0.0006,0.786,29.6
US30,US30 Optuna totR,SHORT,bull only,LOCKED,271,-0.0857,0.0064,0.852,27.3
US30,US30 Optuna totR,SHORT,bear only,research,169,0.0499,0.0338,1.096,27.8
US30,US30 Optuna totR,SHORT,bear only,LOCKED,109,-0.0622,-0.0283,0.884,28.4
US30,US30 Optuna pf,LONG,both regimes,research,110,0.9379,0.1209,3.541,41.8
US30,US30 Optuna pf,LONG,both regimes,LOCKED,94,0.0577,-0.0015,1.125,35.1
US30,US30 Optuna pf,LONG,bull only,research,96,1.0029,0.1117,3.769,40.6
US30,US30 Optuna pf,LONG,bull only,LOCKED,75,-0.0283,-0.0198,0.941,34.7
US30,US30 Optuna pf,LONG,bear only,research,14,0.4918,0.1835,2.182,50.0
US30,US30 Optuna pf,LONG,bear only,LOCKED,19,0.3971,0.0707,2.032,36.8
US30,US30 Optuna pf,SHORT,both regimes,research,87,-0.1378,-0.0364,0.69,35.6
US30,US30 Optuna pf,SHORT,both regimes,LOCKED,90,-0.1602,-0.0478,0.64,33.3
US30,US30 Optuna pf,SHORT,bull only,research,68,-0.1091,0.0076,0.746,36.8
US30,US30 Optuna pf,SHORT,bull only,LOCKED,68,-0.1205,-0.016,0.711,35.3
US30,US30 Optuna pf,SHORT,bear only,research,19,-0.2403,-0.1936,0.519,31.6
US30,US30 Optuna pf,SHORT,bear only,LOCKED,22,-0.2827,-0.1462,0.464,27.3
US30,US30 Optuna retdd,LONG,both regimes,research,144,1.1215,0.1425,4.018,43.1
US30,US30 Optuna retdd,LONG,both regimes,LOCKED,104,-0.0175,-0.0136,0.963,34.6
US30,US30 Optuna retdd,LONG,bull only,research,126,1.245,0.1484,4.507,42.9
