feat,fam,h,block,n,ic,t,p
rp.tsmom60_vs,rp,10,research,476,-0.20359989874797985,-1.8494348416814264,0.06439504831108556
rp.tsmom60_vs,rp,10,locked,258,-0.06197555803926268,-0.4235445676846947,0.6718979890660639
rp.tsmom60_vs,rp,20,research,476,-0.2531455163992112,-1.799643032393247,0.07191702163518299
rp.tsmom60_vs,rp,20,locked,248,0.05996088310404999,0.2631400389391599,0.7924426444327131
rp.tsmom120,rp,1,research,456,-0.11220105473243791,-2.32986600984419,0.0198132340016961
rp.tsmom120,rp,1,locked,267,-0.06997285264141402,-1.1494751646799068,0.2503601017669408
rp.tsmom120,rp,5,research,456,-0.19172628592184046,-2.17151957559755,0.029891919039994885
rp.tsmom120,rp,5,locked,263,-0.12068549248910898,-1.0779620373531857,0.2810506980332481
rp.tsmom120,rp,10,research,456,-0.24620231777896182,-2.2117250028252142,0.02698567182554612
rp.tsmom120,rp,10,locked,258,-0.21217493201929,-1.3148733944578033,0.1885524557024465
rp.tsmom120,rp,20,research,456,-0.3053641509935418,-2.255272783283487,0.02411621188300317
rp.tsmom120,rp,20,locked,248,-0.27089158514690864,-1.2093651690511895,0.2265225839828211
rp.tsmom120_vs,rp,1,research,456,-0.09652649550150415,-1.9945350844913818,0.04609360976973553
rp.tsmom120_vs,rp,1,locked,267,-0.08921998943358732,-1.482739891795494,0.13814353150348424
rp.tsmom120_vs,rp,5,research,456,-0.16828804041748877,-1.8762162271224079,0.06062559473796658
rp.tsmom120_vs,rp,5,locked,263,-0.13256795159677345,-1.2122560928003352,0.225414365555904
rp.tsmom120_vs,rp,10,research,456,-0.22002067953927912,-1.9530257041574468,0.05081654948830794
rp.tsmom120_vs,rp,10,locked,258,-0.19115969518648007,-1.2680682139226966,0.2047735915471205
rp.tsmom120_vs,rp,20,research,456,-0.28530411198843764,-2.1248046719251015,0.03360291483926714
rp.tsmom120_vs,rp,20,locked,248,-0.2101077681497834,-0.9738220342558939,0.330144910624655
rp.range_comp,rp,1,research,476,0.06518082108712403,1.4482160909879487,0.1475566257837948
rp.range_comp,rp,1,locked,267,0.06554075949558619,1.1192312375676132,0.26304150223844003
rp.range_comp,rp,5,research,476,0.0420487400521281,0.7022623041545704,0.48251559700343205
rp.range_comp,rp,5,locked,263,-0.04145436602697218,-0.4631007995681971,0.6432921169190939
rp.range_comp,rp,10,research,476,0.04397508755239932,0.6829168296633408,0.4946593987496468
