ema,trend_pct,untouched,trend,research_n,research_mean,research_net,research_pf,research_sh,locked_n,locked_mean,locked_net,locked_pf,locked_sh
20,75.0,1,1,20,39.55680148204847,791.1360296409694,1.4074649680866487,0.34752704683174784,4,122.72567715723926,490.90270862895704,490902708628.95703,2.0973426608792676
20,80.0,0,0,337,4.210374417050007,1418.8961785458523,1.0651013742766933,0.31343704663158445,163,21.28480285135313,3469.4228647705604,1.3468950409026597,1.656228520040448
20,80.0,0,1,35,71.81069442867613,2513.3743050036646,2.204736791788373,1.0307868125661963,14,36.75335172370251,514.5469241318351,1.8143484656321072,0.9830815634609019
20,80.0,1,0,37,4.085582780692454,151.1665628856208,1.0472697522382894,0.06339140388962394,19,-1.1714830940331205,-22.258178786629287,0.9827680450392334,-0.03979470992947368
20,80.0,1,1,17,44.823592838160145,762.0010782487225,1.4206180661433307,0.33648678438597174,3,101.0172630367427,303.0517891102281,303051789110.2281,1.6832771768545285
20,85.0,0,0,337,4.210374417050007,1418.8961785458523,1.0651013742766933,0.31343704663158445,163,21.28480285135313,3469.4228647705604,1.3468950409026597,1.656228520040448
20,85.0,0,1,19,71.56877926426387,1359.8068060210135,3.0788264784517096,1.3486174255849783,5,15.584184553213708,77.92092276606854,1.240724000616579,0.24790638956012637
20,85.0,1,0,37,4.085582780692454,151.1665628856208,1.0472697522382894,0.06339140388962394,19,-1.1714830940331205,-22.258178786629287,0.9827680450392334,-0.03979470992947368
20,85.0,1,1,10,-2.28310161946938,-22.831016194693802,0.9650967175738965,-0.03681208974464858,2,144.2001203066211,288.4002406132422,288400240613.2422,1.604499963420466
25,50.0,0,0,337,7.58975998636626,2557.7491154054296,1.1146115568815793,0.547872903318907,163,19.701859968812933,3211.403174916508,1.2973113487531043,1.47605463001898
25,50.0,0,1,152,11.016841867934474,1674.55996392604,1.1511718388128178,0.4640549239488851,67,-1.311086198796215,-87.8427753193464,0.981914527436441,-0.06269965105644724
25,50.0,1,0,55,30.89978794709393,1699.4883370901662,1.4881039015598836,0.6473695627922039,30,10.640698098751454,319.22094296254363,1.1768239398028713,0.4368565318194146
25,50.0,1,1,43,42.998712341540234,1848.94463068623,1.659942390470485,0.7224055028154974,19,34.487076162270235,655.2544470831344,1.70087309704258,1.1905793724303244
25,60.0,0,0,337,7.58975998636626,2557.7491154054296,1.1146115568815793,0.547872903318907,163,19.701859968812933,3211.403174916508,1.2973113487531043,1.47605463001898
25,60.0,0,1,110,25.833702445580474,2841.707269013852,1.363069035771297,0.8468357068030706,52,5.846556958743699,304.02096185467235,1.0802701738714209,0.23666637446797908
25,60.0,1,0,55,30.89978794709393,1699.4883370901662,1.4881039015598836,0.6473695627922039,30,10.640698098751454,319.22094296254363,1.1768239398028713,0.4368565318194146
25,60.0,1,1,35,51.46049571158759,1801.1173499055658,1.7501918021691512,0.7129706923374236,17,51.08438990161898,868.4346283275227,2.267211181749112,1.7024971276778083
25,65.0,0,0,337,7.58975998636626,2557.7491154054296,1.1146115568815793,0.547872903318907,163,19.701859968812933,3211.403174916508,1.2973113487531043,1.47605463001898
25,65.0,0,1,89,31.588425078456915,2811.3698319826653,1.4184580768237909,0.8593418400570466,43,14.31249217306948,615.4371634419877,1.2064976340978177,0.5054015423626067
25,65.0,1,0,55,30.89978794709393,1699.4883370901662,1.4881039015598836,0.6473695627922039,30,10.640698098751454,319.22094296254363,1.1768239398028713,0.4368565318194146
25,65.0,1,1,32,55.29301379780213,1769.3764415296682,1.77882750688142,0.7026430958289748,11,103.77443424966292,1141.5187767462921,1141518776746.292,3.543108886820759
25,70.0,0,0,337,7.58975998636626,2557.7491154054296,1.1146115568815793,0.547872903318907,163,19.701859968812933,3211.403174916508,1.2973113487531043,1.47605463001898
25,70.0,0,1,63,30.36170261711913,1912.787264878505,1.357243920307524,0.6197334154128077,28,29.584631500917958,828.3696820257028,1.416523101069504,0.7898169930758896
25,70.0,1,0,55,30.89978794709393,1699.4883370901662,1.4881039015598836,0.6473695627922039,30,10.640698098751454,319.22094296254363,1.1768239398028713,0.4368565318194146
25,70.0,1,1,26,33.76300626948348,877.8381630065705,1.3863985593414545,0.3557302028609466,8,123.7074351793899,989.6594814351192,989659481435.1191,3.1576614380278367
25,75.0,0,0,337,7.58975998636626,2557.7491154054296,1.1146115568815793,0.547872903318907,163,19.701859968812933,3211.403174916508,1.2973113487531043,1.47605463001898
25,75.0,0,1,46,52.39845426457396,2410.328896170402,1.7038183328494725,0.8713196862587195,18,43.60886483056392,784.9595669501505,1.7338316907986395,1.156259454469542
25,75.0,1,0,55,30.89978794709393,1699.4883370901662,1.4881039015598836,0.6473695627922039,30,10.640698098751454,319.22094296254363,1.1768239398028713,0.4368565318194146
25,75.0,1,1,20,42.16048329009063,843.2096658018127,1.4292134205843194,0.3464747453789159,4,143.4486086909019,573.7944347636076,573794434763.6075,2.3302714808715277
25,80.0,0,0,337,7.58975998636626,2557.7491154054296,1.1146115568815793,0.547872903318907,163,19.701859968812933,3211.403174916508,1.2973113487531043,1.47605463001898
25,80.0,0,1,35,60.12338679502635,2104.3185378259222,1.7369307616446223,0.7812830256441702,14,48.79698397719975,683.1577756807965,2.0017380356338217,1.243293622683626
25,80.0,1,0,55,30.89978794709393,1699.4883370901662,1.4881039015598836,0.6473695627922039,30,10.640698098751454,319.22094296254363,1.1768239398028713,0.4368565318194146
