feed,block,feat,n,ic_mae,ic_giveback,shuffled_sd
MT,LOCKED,loc.d_ema50,538,-0.008660949828170802,-0.0560617855738123,0.03657280561458138
MT,LOCKED,loc.excess_hi50,538,-0.03961698412488634,-0.10741750216917613,0.05046386417236564
MT,LOCKED,mom.roc16,538,-0.08824469898709567,-0.11372404007784948,0.046308535030985434
MT,LOCKED,mom.roc4,538,-0.08704570335689106,-0.09597517468596697,0.03884146915789034
MT,LOCKED,mom.roc48,538,0.03340769870169941,-0.01523074083393597,0.048035240762980595
MT,LOCKED,mom.run_up,538,-0.09455208335219727,-0.09608000736602304,0.04639098397768097
MT,LOCKED,sess.d_win_open,538,-0.21382621745468383,-0.21444606497786212,0.029907162158076966
MT,LOCKED,sess.frac_elapsed,538,-0.28182308197743794,-0.2936699552646869,0.036443570520591245
MT,LOCKED,sess.mins_left,538,0.28182308197743794,0.2936699552646869,0.033136210123707176
MT,LOCKED,sess.ovn_pos,538,-0.17276984520210442,-0.13922678810817718,0.05076633565122956
MT,LOCKED,sess.ovn_width,538,0.1762241917616231,0.1201954151181923,0.03911032000818549
MT,LOCKED,vol.atr_pct100,538,-0.211244845224029,-0.22074035588184454,0.036866213105090986
MT,LOCKED,vol.atr_pct500,538,-0.18420043217870025,-0.24005789607901565,0.04710171945103636
MT,LOCKED,vol.atr_slope,538,-0.21958831657784653,-0.2404535197120974,0.045668724147113086
MT,LOCKED,vol.atr_tod,538,0.12785093307082168,0.10983744823722603,0.036914791553341375
MT,LOCKED,vol.range_exp,538,-0.04347258849316364,-0.06422721625393266,0.05438756600656319
MT,LOCKED,vol.rv20,538,-0.02989131785448135,-0.029184927818859622,0.034557543277293636
MT,LOCKED,vol.rv96,538,0.08343792789450348,0.05865341753065487,0.04118171964221226
MT,LOCKED,vol.rv_ratio,538,-0.16917070059713588,-0.17690545890174994,0.033171261081528146
