n,pts,sd,t,mde,pf,win,be,total,R,dd,ret_dd,sharpe,amb,med_min,sh_stop,sh_target,sh_chan,sh_flat,sh_eod,outside_mde,stop,tgt,policy,tie
419,3.67420047732697,59.19371456932515,1.2705573320356716,8.102829740847246,1.1783600730359989,0.3221957040572792,0.17938888888888888,1539.4900000000005,0.12247334924423221,755.37,2.0380608178773323,0.5183222311150458,0.0,30.0,0.6085918854415274,0.10023866348448687,0.021479713603818614,0.26968973747016706,0.0,False,30,150,+chan10,0
419,3.67420047732697,59.19371456932515,1.2705573320356716,8.102829740847246,1.1783600730359989,0.3221957040572792,0.17938888888888888,1539.4900000000005,0.12247334924423221,755.37,2.0380608178773323,0.5183222311150458,0.0,30.0,0.6085918854415274,0.10023866348448687,0.021479713603818614,0.26968973747016706,0.0,False,30,150,+chan10,1
420,1.7266666666666672,53.82999144822365,0.6573684240531593,7.359830230617767,1.0964755558452723,0.24523809523809523,0.17938888888888888,725.2000000000003,0.057555555555555554,781.3700000000001,0.9281134417753435,0.2681483969087486,0.002380952380952381,30.0,0.7142857142857143,0.08333333333333333,0.0,0.20238095238095238,0.0,False,30,150,+be1R,0
420,2.0838095238095247,54.29883528123963,0.7864880889440115,7.4239322474086995,1.1164659917175008,0.24761904761904763,0.17938888888888888,875.2000000000003,0.06946031746031746,781.3700000000001,1.120083955104496,0.32061903426128363,0.002380952380952381,30.0,0.7119047619047619,0.08571428571428572,0.0,0.20238095238095238,0.0,False,30,150,+be1R,1
443,4.329693994020188,45.932551900109694,1.9839854912943304,6.114864561499344,1.3254247327723794,0.35665914221218964,0.17938888888888888,1918.0544393509433,0.14432313313400616,610.8589320048998,3.1399302504355595,0.810233782109518,0.009029345372460496,15.0,0.8645598194130926,0.05417607223476298,0.0,0.08126410835214447,0.0,False,30,150,+trail1atr,0
443,4.99100298240804,47.395783005672065,2.216409433988743,6.309660183831521,1.3751294696714107,0.35665914221218964,0.17938888888888888,2211.014321206762,0.1663667660802679,610.8589320048998,3.6195170527342424,0.9051930696650446,0.009029345372460496,15.0,0.8555304740406321,0.06320541760722348,0.0,0.08126410835214447,0.0,False,30,150,+trail1atr,1
418,3.1071291866028736,63.4923299537959,1.0005209501915302,8.701642858347569,1.1464105307181642,0.30861244019138756,0.1403913043478261,1298.780000000001,0.10357097288676231,868.74,1.4950157699656987,0.40461226337150097,0.0023923444976076554,30.0,0.638755980861244,0.05502392344497608,0.0,0.3062200956937799,0.0,False,30,200,flatten,0
418,3.6573684210526336,64.17775155003032,1.165124551955959,8.795580093635213,1.1729678724492334,0.31100478468899523,0.1403913043478261,1528.7800000000009,0.12191228070175433,678.9699999999999,2.251616418987586,0.4729642290694357,0.0023923444976076554,30.0,0.6363636363636364,0.05741626794258373,0.0,0.3062200956937799,0.0,False,30,200,flatten,1
419,3.029809069212412,63.352117398795976,0.9789514138878438,8.672059605305197,1.143325516884771,0.3054892601431981,0.1403913043478261,1269.4900000000007,0.10099363564041361,902.7399999999999,1.4062631543966158,0.3962793617016586,0.002386634844868735,30.0,0.6252983293556086,0.05489260143198091,0.021479713603818614,0.29832935560859186,0.0,False,30,200,+chan10,0
419,3.578735083532221,64.03807518030247,1.1439269524458042,8.765958073299581,1.1699119556718904,0.30787589498806683,0.1403913043478261,1499.4900000000007,0.11929116945107393,712.9699999999998,2.103160020758238,0.46481748813792206,0.002386634844868735,30.0,0.6229116945107399,0.057279236276849645,0.021479713603818614,0.29832935560859186,0.0,False,30,200,+chan10,1
420,1.0266666666666668,56.483610805067705,0.37250461280500563,7.7226426226992055,1.0572417748136194,0.22857142857142856,0.1403913043478261,431.20000000000005,0.03422222222222222,978.7400000000005,0.44056644256901717,0.1499871686924293,0.002380952380952381,30.0,0.7309523809523809,0.04285714285714286,0.0,0.2261904761904762,0.0,False,30,200,+be1R,0
420,1.5028571428571427,57.292845241986925,0.5375785784798908,7.833284068336877,1.0838172433528492,0.23095238095238096,0.1403913043478261,631.1999999999999,0.05009523809523811,778.7400000000009,0.8105401032437003,0.21739670614114254,0.002380952380952381,30.0,0.7285714285714285,0.04523809523809524,0.0,0.2261904761904762,0.0,False,30,200,+be1R,1
443,4.380412004309969,47.643908234231226,1.9351268733463416,6.342692360450619,1.3292367562013085,0.35665914221218964,0.1403913043478261,1940.522517909316,0.1460137334769989,610.8589320048998,3.1767113751456955,0.7812216630587219,0.002257336343115124,15.0,0.8939051918735892,0.022573363431151242,0.0,0.0835214446952596,0.0,False,30,200,+trail1atr,0
443,4.515465282786241,48.10574929118664,1.9756380735597765,6.4041758921813114,1.3393875144578675,0.35665914221218964,0.1403913043478261,2000.351120274305,0.150515509426208,610.8589320048998,3.274653140797915,0.7971946004354968,0.002257336343115124,15.0,0.891647855530474,0.024830699774266364,0.0,0.0835214446952596,0.0,False,30,200,+trail1atr,1
418,1.8296172248803844,70.6152478955129,0.5297242967838628,9.677840898067355,1.0840709521108427,0.291866028708134,,764.7800000000007,0.060987240829346,973.9899999999992,0.7852031335023987,0.21534889278332178,0.0,30.0,0.6555023923444976,0.0,0.0,0.3444976076555024,0.0,False,30,none,flatten,0
418,1.8296172248803844,70.6152478955129,0.5297242967838628,9.677840898067355,1.0840709521108427,0.291866028708134,,764.7800000000007,0.060987240829346,973.9899999999992,0.7852031335023987,0.21534889278332178,0.0,30.0,0.6555023923444976,0.0,0.0,0.3444976076555024,0.0,False,30,none,flatten,1
