n,pts,sd,t,mde,pf,win,be,total,R,dd,ret_dd,sharpe,amb,med_min,sh_stop,sh_target,sh_chan,sh_flat,sh_eod,outside_mde,ctl_pts,ctl_pf,pf_ratio,edge,p_pts,p_pf,excess_total,feed,block,arm,cell
310,1.1261290322580915,78.43312199411558,0.2527955936148132,12.482074957347173,1.034522963061122,0.3258064516129032,0.26145,349.1000000000083,0.022522580645161768,1540.9699999999887,0.22654561737088386,0.158010183223435,0.00967741935483871,30.0,0.6,0.17096774193548386,0.0,0.22903225806451613,0.0,False,-0.7979897667286036,0.975898610102713,1.0600721758915497,1.924118798986695,0.3375,0.3375,596.4768276858755,US30L,B_holdout,+ema align,D0 50/150 flat
293,-1.412525597269581,84.50691329689776,-0.28611320212835395,13.833324341928844,0.958051136928015,0.3037542662116041,,-413.8699999999872,-0.028250511945391618,1827.2299999999818,-0.2265013161999263,-0.17897450179268165,0.0,45.0,0.6177474402730375,0.0,0.0,0.3822525597269625,0.0,False,-1.3647577235771482,0.9609083588963988,0.9970265406248882,-0.04776787369243274,0.5025,0.5025,-13.995986991882793,US30L,B_holdout,+ema align,D1 50/none flat
260,1.586153846153938,110.96537795565395,0.2304859654740004,19.282749245852358,1.0358430103956922,0.4346153846153846,,412.40000000002385,0.01586153846153936,1104.110000000012,0.37351350861781835,0.14095180881958777,0.0,75.0,0.3769230769230769,0.0,0.0,0.6230769230769231,0.0,False,1.2356550120720668,1.0267977556929622,1.0088091882287233,0.3504988340818711,0.48,0.48,91.12969686128649,US30L,B_holdout,+ema align,D2 100/none flat
361,2.034583438874999,55.89321086126634,0.6916239869378146,8.242777728066752,1.1061138369876198,0.42382271468144045,0.40916,734.4846214338746,0.02034583438874999,1301.8922641249358,0.5641669757731889,0.41792332410793975,0.01662049861495845,15.0,0.8310249307479224,0.04986149584487535,0.0,0.11911357340720222,0.0,False,2.17812850090365,1.1237240250637996,0.9843287251287699,-0.14354506202865114,0.5275,0.535,-51.81976739234306,US30L,B_holdout,+ema align,D3 100/150 trail1
355,5.316353199044474,62.094274340251914,1.6131562926629408,9.234332551331486,1.3012979230460124,0.43661971830985913,,1887.3053856607883,0.03544235466029649,1001.2179685016872,1.8850095034601928,0.9722106268772175,0.0,15.0,0.8647887323943662,0.0,0.0,0.1352112676056338,0.0,False,4.634886535703942,1.277189724378199,1.0188759729331134,0.6814666633405313,0.42,0.45,241.9206654858886,US30L,B_holdout,+ema align,D4 150/none trail1
330,2.178484848484846,78.25504464822,0.5057072386242277,12.070451200304607,1.0684470451803811,0.33636363636363636,0.26145,718.8999999999992,0.04356969696969691,1237.429999999999,0.5809621554350548,0.31706142033952667,0.00909090909090909,30.0,0.5848484848484848,0.17575757575757575,0.0,0.23939393939393938,0.0,False,-0.5952199869883137,0.9817199262190082,1.0883420175603375,2.7737048354731595,0.265,0.265,915.3225957061426,US30L,B_holdout,ema34>89,D0 50/150 flat
311,-1.0314790996784287,83.78308696288906,-0.21711222058706536,13.31203020025278,0.9688461448815969,0.31189710610932475,,-320.7899999999913,-0.02062958199356859,1685.6999999999857,-0.190300765260719,-0.13561949778540708,0.0,45.0,0.6077170418006431,0.0,0.0,0.39228295819935693,0.0,False,-0.6744055100436759,0.9806129503466208,0.9880005608116182,-0.3570735896347528,0.5275,0.5275,-111.04988637640811,US30L,B_holdout,ema34>89,D1 50/none flat
278,1.6495683453238317,109.38940551443821,0.251430205236137,18.383195047136134,1.038071154487962,0.43884892086330934,,458.5800000000252,0.0164956834532383,1127.6900000000117,0.40665431102521127,0.15394979513926357,0.0,75.0,0.3669064748201439,0.0,0.0,0.6330935251798561,0.0,False,0.7961166007906908,1.017452783577514,1.0202646955644965,0.8534517445331409,0.445,0.4325,237.25958498021316,US30L,B_holdout,ema34>89,D2 100/none flat
383,2.4433239962604043,55.056983717165664,0.8684964193521623,7.88281181703482,1.1313665062663671,0.42297650130548303,0.40916,935.7930905677349,0.024433239962604037,1246.1444942050623,0.7509507083002392,0.5250582821805259,0.018276762402088774,15.0,0.825065274151436,0.05221932114882506,0.0,0.1227154046997389,0.0,False,1.8438754398597201,1.1030440581398384,1.0256766245350992,0.5994485564006842,0.3925,0.4025,229.58879710146203,US30L,B_holdout,ema34>89,D3 100/150 trail1
377,5.379142517186711,60.639533285978445,1.7223756452141452,8.750911785729064,1.3136414830282526,0.4350132625994695,,2027.93672897939,0.03586095011457807,994.4340217158187,2.0392873581299464,1.038259883265229,0.0,15.0,0.8620689655172413,0.0,0.0,0.13793103448275862,0.0,False,5.03545696283409,1.3098119280190796,1.0029237441859036,0.3436855543526214,0.4575,0.4925,129.56945399093826,US30L,B_holdout,ema34>89,D4 150/none trail1
