ent,ex,side,entry,exit,pnl,ret,hold_h
18550,18578,-1.0,8953.2,9067.7,-11.675779120770473,-0.012788723584863604,28
18690,18769,1.0,9252.8,9393.877999999999,11.88558093144633,0.015247060349299568,79
18991,19118,-1.0,9426.5,8927.485,43.99163485613994,0.05293746353365503,127
19131,19204,1.0,8873.2,8608.6,-27.43426271726178,-0.02982013253392246,73
19212,19263,-1.0,8465.7,8257.300000000001,20.395329407648763,0.02461698382886235,51
19289,19328,-1.0,7620.6,7703.394,-10.487474372689146,-0.010864498858357496,39
19367,19401,-1.0,6896.3,7569.8,-86.17822009139273,-0.09766106462885893,34
19401,19413,1.0,7569.8,6986.6,-61.37915362979662,-0.07704298660466591,12
19415,19447,-1.0,6687.6,7318.700000000001,-69.22306897258683,-0.09436868233746032,32
19457,19488,1.0,7584.3,7540.243,-4.4665848007893985,-0.005808973801141759,31
19500,19576,1.0,7847.0,7684.9,-14.109640636541457,-0.0206575761437493,76
19588,19639,-1.0,7508.2,8656.2,-98.18872622437667,-0.15289949655043822,51
19639,19715,1.0,8656.2,8746.762,5.101978999697916,0.010462096531965503,76
19715,19754,-1.0,8664.2,8588.458,4.218661590694996,0.008741949631818291,39
19772,19782,1.0,8737.1,8538.5,-13.017635566920593,-0.022730654336106992,10
19807,19842,1.0,8827.8,8710.3,-7.6638955779118145,-0.013310224517999902,35
19867,19895,1.0,8959.1,8989.491,1.2625151413901912,0.003392193412284694,28
19903,19943,-1.0,8768.9,8722.711,2.260544455986337,0.005267365347991215,40
19950,20077,1.0,8915.1,9101.101,10.555173827183125,0.020863590986079927,127
20080,20134,-1.0,9021.2,9141.8,-7.794479595436167,-0.013368509732629708,54
20146,20244,1.0,9154.0,9326.84,9.551164213086206,0.018881363338431267,98
20285,20303,1.0,9551.8,9391.6,-9.662785996136323,-0.01677170795033389,18
20373,20461,1.0,9512.0,9664.869999999999,8.0484600459847,0.016071278385197507,88
20510,20567,1.0,9897.0,10023.72,6.398476748674639,0.012803879963625198,57
20576,20628,-1.0,9706.4,9693.985999999999,0.15342699723734388,0.001278949971153076,52
20628,20719,1.0,9875.7,9990.807,5.84577202803956,0.011655578845043868,91
20751,20781,1.0,10205.1,10083.8,-7.145425261328297,-0.011886213755867292,30
20782,20873,-1.0,9980.3,9926.296999999999,2.416975778031498,0.005410959590393172,91
20878,21081,1.0,10152.2,10479.522,17.174853641306616,0.03224148460432219,203
21097,21190,-1.0,10516.6,10692.0,-10.031982173976402,-0.016678394157807697,93
21200,21262,1.0,10994.5,10697.5,-15.600810591211115,-0.02701350675337666,62
21272,21302,-1.0,10479.4,10577.1,-5.593190561823143,-0.009323052846537117,30
21315,21486,1.0,10737.2,11010.722000000002,13.110822151800011,0.025474239093991047,171
21564,21585,-1.0,10873.2,11177.7,-15.933803883422389,-0.02800463524997232,21
21603,21705,1.0,11192.0,11354.27,7.193058164333294,0.014498749106504727,102
21750,21949,1.0,11586.6,11992.516000000001,18.38031762706193,0.03503322803928688,199
21954,22040,-1.0,11721.6,11467.284,11.569698602442188,0.02169635544635551,86
22060,22086,1.0,11505.8,11022.4,-24.518581638246083,-0.04201359314432718,26
22086,22125,-1.0,11022.4,11390.7,-18.791445197247253,-0.03341377558426495,39
22125,22158,1.0,11390.7,11248.800000000001,-7.088673209255776,-0.01245753114382786,33
22168,22230,-1.0,11057.4,10932.225999999999,5.368501436421958,0.011320382730117484,62
22283,22338,1.0,11076.3,11285.963,9.412539792626799,0.018928974477036675,55
