geom,side,be_pts,be_off,feed,block,per_pub,per_fix,delta,n,through
1.5N / no target,both,150.0,10.0,US30L,A_research,0.007416538736327734,0.007130221377806863,-0.0002863173585208713,1784,0.002802690582959641
1.5N / no target,both,150.0,10.0,US30L,B_holdout,-0.021572923709586266,-0.021572923709586266,0.0,769,0.0
1.5N / no target,both,150.0,10.0,US30I,C_forward,-0.025913115083898812,-0.02630623509374765,-0.0003931200098488373,328,0.009146341463414634
1.5N / no target,both,150.0,25.0,US30L,A_research,0.009381379968676362,0.008975789729741451,-0.00040559023893491086,1785,0.0028011204481792717
1.5N / no target,both,150.0,25.0,US30L,B_holdout,-0.020139666102698343,-0.020139666102698343,0.0,769,0.0
1.5N / no target,both,150.0,25.0,US30I,C_forward,-0.0238259195408578,-0.024571948624507338,-0.0007460290836495374,328,0.01524390243902439
100pt / 100pt,long,0.0,0.0,US30L,A_research,0.003077520128955837,0.003037246444256225,-4.027368469961207e-05,1378,0.000725689404934688
100pt / 100pt,long,0.0,0.0,US30L,B_holdout,-0.016353926088105666,-0.016353926088105666,0.0,585,0.0
100pt / 100pt,long,0.0,0.0,US30I,C_forward,-0.004774841910224204,-0.005331193696825489,-0.000556351786601285,263,0.011406844106463879
100pt / 100pt,long,25.0,0.0,US30L,A_research,0.005126167277256282,-0.005911024068516476,-0.01103719134577276,1378,0.12119013062409288
100pt / 100pt,long,25.0,0.0,US30L,B_holdout,-0.004601718485885527,-0.014810189029118943,-0.010208470543233416,585,0.15555555555555556
100pt / 100pt,long,25.0,0.0,US30I,C_forward,0.004730658759980226,-0.009924271070077742,-0.014654929830057967,263,0.19391634980988592
100pt / 100pt,long,25.0,5.0,US30L,A_research,0.007275856016683911,-0.006134062651927603,-0.013409918668611513,1378,0.14658925979680695
100pt / 100pt,long,25.0,5.0,US30L,B_holdout,-0.0035473241088451062,-0.016159471730949178,-0.012612147622104072,585,0.2
100pt / 100pt,long,25.0,5.0,US30I,C_forward,0.0056503614324042,-0.011090979105227222,-0.016741340537631422,263,0.22813688212927757
100pt / 100pt,long,25.0,10.0,US30L,A_research,0.010098380624873884,-0.0061889064997346956,-0.016287287124608578,1378,0.17706821480406387
100pt / 100pt,long,25.0,10.0,US30L,B_holdout,-0.0013524076696521813,-0.016829520091143524,-0.015477112421491343,585,0.22564102564102564
100pt / 100pt,long,25.0,10.0,US30I,C_forward,0.008289443411025946,-0.010796648327868816,-0.019086091738894764,263,0.24714828897338403
100pt / 100pt,long,25.0,25.0,US30L,A_research,0.02369226272107557,-0.006473494879012202,-0.030165757600087773,1378,0.3613933236574746
100pt / 100pt,long,25.0,25.0,US30L,B_holdout,0.008431014751224918,-0.018866940714118978,-0.027297955465343894,585,0.36752136752136755
100pt / 100pt,long,25.0,25.0,US30I,C_forward,0.01878162908599829,-0.008485468504149739,-0.027267097590148028,263,0.2965779467680608
100pt / 100pt,long,50.0,0.0,US30L,A_research,0.005786043101675381,0.001690418796564571,-0.00409562430511081,1378,0.03918722786647315
100pt / 100pt,long,50.0,0.0,US30L,B_holdout,-0.013221514067517537,-0.01782974615778154,-0.0046082320902640014,585,0.0547008547008547
100pt / 100pt,long,50.0,0.0,US30I,C_forward,-0.0038659824315513728,-0.009114195146842521,-0.005248212715291148,263,0.07604562737642585
100pt / 100pt,long,50.0,5.0,US30L,A_research,0.0061548403935934096,0.0013386245005362705,-0.004816215893057139,1378,0.04499274310595065
100pt / 100pt,long,50.0,5.0,US30L,B_holdout,-0.011803996955697296,-0.01726299967650603,-0.005459002720808733,585,0.07008547008547009
100pt / 100pt,long,50.0,5.0,US30I,C_forward,-0.004410136576469441,-0.010369113921079563,-0.0059589773446101215,263,0.08745247148288973
100pt / 100pt,long,50.0,10.0,US30L,A_research,0.0062475859218977334,0.000584822309620348,-0.005662763612277385,1378,0.05297532656023222
100pt / 100pt,long,50.0,10.0,US30L,B_holdout,-0.010782665628644106,-0.017210386766447594,-0.006427721137803488,585,0.0735042735042735
100pt / 100pt,long,50.0,10.0,US30I,C_forward,-0.0025451315221142086,-0.009319104705067806,-0.0067739731829535976,263,0.09885931558935361
100pt / 100pt,long,50.0,25.0,US30L,A_research,0.00906834742734286,-4.201153016513796e-05,-0.009110358957507997,1378,0.0841799709724238
100pt / 100pt,long,50.0,25.0,US30L,B_holdout,-0.00929099848805002,-0.01955002561642483,-0.01025902712837481,585,0.12478632478632479
100pt / 100pt,long,50.0,25.0,US30I,C_forward,0.0028585644387533957,-0.007042404204012143,-0.009900968642765538,263,0.13688212927756654
100pt / 100pt,long,75.0,0.0,US30L,A_research,0.0018366329550961846,0.0007988712050574164,-0.0010377617500387682,1378,0.013062409288824383
100pt / 100pt,long,75.0,0.0,US30L,B_holdout,-0.020932976408061296,-0.021300703158506365,-0.00036772675044506944,585,0.013675213675213675
100pt / 100pt,long,75.0,0.0,US30I,C_forward,-0.009324838311238027,-0.011862471228501125,-0.0025376329172630985,263,0.04182509505703422
100pt / 100pt,long,75.0,5.0,US30L,A_research,0.0014260257789326387,0.00017108746619990696,-0.0012549383127327318,1378,0.01451378809869376
100pt / 100pt,long,75.0,5.0,US30L,B_holdout,-0.02028907867845671,-0.020840284904154273,-0.0005512062256975633,585,0.015384615384615385
100pt / 100pt,long,75.0,5.0,US30I,C_forward,-0.010469438738981632,-0.0133099207198463,-0.002840481980864668,263,0.04182509505703422
100pt / 100pt,long,75.0,10.0,US30L,A_research,0.001798338471049557,0.00030554432182902967,-0.0014927941492205274,1378,0.015239477503628448
100pt / 100pt,long,75.0,10.0,US30L,B_holdout,-0.01964675464959039,-0.02040673830604958,-0.0007599836564591879,585,0.017094017094017096
100pt / 100pt,long,75.0,10.0,US30I,C_forward,-0.01054884890434924,-0.013692901515529656,-0.0031440526111804167,263,0.045627376425855515
100pt / 100pt,long,75.0,25.0,US30L,A_research,0.003145556451442199,0.0007424741491409447,-0.0024030823023012543,1378,0.023222060957910014
100pt / 100pt,long,75.0,25.0,US30L,B_holdout,-0.021982079503146953,-0.023642765235904726,-0.0016606857327577731,585,0.03247863247863248
100pt / 100pt,long,75.0,25.0,US30I,C_forward,-0.008368782006282341,-0.012731498259326823,-0.004362716253044482,263,0.060836501901140684
100pt / 100pt,long,100.0,0.0,US30L,A_research,0.003077520128955837,0.003037246444256225,-4.027368469961207e-05,1378,0.000725689404934688
100pt / 100pt,long,100.0,0.0,US30L,B_holdout,-0.016353926088105666,-0.016353926088105666,0.0,585,0.0
100pt / 100pt,long,100.0,0.0,US30I,C_forward,-0.004774841910224204,-0.005331193696825489,-0.000556351786601285,263,0.011406844106463879
100pt / 100pt,long,100.0,5.0,US30L,A_research,0.003077520128955837,0.003037246444256225,-4.027368469961207e-05,1378,0.000725689404934688
100pt / 100pt,long,100.0,5.0,US30L,B_holdout,-0.016353926088105666,-0.016353926088105666,0.0,585,0.0
100pt / 100pt,long,100.0,5.0,US30I,C_forward,-0.004774841910224204,-0.005331193696825489,-0.000556351786601285,263,0.011406844106463879
100pt / 100pt,long,100.0,10.0,US30L,A_research,0.003077520128955837,0.003037246444256225,-4.027368469961207e-05,1378,0.000725689404934688
100pt / 100pt,long,100.0,10.0,US30L,B_holdout,-0.016353926088105666,-0.016353926088105666,0.0,585,0.0
100pt / 100pt,long,100.0,10.0,US30I,C_forward,-0.004774841910224204,-0.005331193696825489,-0.000556351786601285,263,0.011406844106463879
100pt / 100pt,long,100.0,25.0,US30L,A_research,0.003077520128955837,0.003037246444256225,-4.027368469961207e-05,1378,0.000725689404934688
100pt / 100pt,long,100.0,25.0,US30L,B_holdout,-0.016353926088105666,-0.016353926088105666,0.0,585,0.0
100pt / 100pt,long,100.0,25.0,US30I,C_forward,-0.004774841910224204,-0.005331193696825489,-0.000556351786601285,263,0.011406844106463879
100pt / 100pt,long,150.0,0.0,US30L,A_research,0.003077520128955837,0.003037246444256225,-4.027368469961207e-05,1378,0.000725689404934688
100pt / 100pt,long,150.0,0.0,US30L,B_holdout,-0.016353926088105666,-0.016353926088105666,0.0,585,0.0
100pt / 100pt,long,150.0,0.0,US30I,C_forward,-0.004774841910224204,-0.005331193696825489,-0.000556351786601285,263,0.011406844106463879
100pt / 100pt,long,150.0,5.0,US30L,A_research,0.003077520128955837,0.003037246444256225,-4.027368469961207e-05,1378,0.000725689404934688
100pt / 100pt,long,150.0,5.0,US30L,B_holdout,-0.016353926088105666,-0.016353926088105666,0.0,585,0.0
100pt / 100pt,long,150.0,5.0,US30I,C_forward,-0.004774841910224204,-0.005331193696825489,-0.000556351786601285,263,0.011406844106463879
100pt / 100pt,long,150.0,10.0,US30L,A_research,0.003077520128955837,0.003037246444256225,-4.027368469961207e-05,1378,0.000725689404934688
100pt / 100pt,long,150.0,10.0,US30L,B_holdout,-0.016353926088105666,-0.016353926088105666,0.0,585,0.0
100pt / 100pt,long,150.0,10.0,US30I,C_forward,-0.004774841910224204,-0.005331193696825489,-0.000556351786601285,263,0.011406844106463879
100pt / 100pt,long,150.0,25.0,US30L,A_research,0.003077520128955837,0.003037246444256225,-4.027368469961207e-05,1378,0.000725689404934688
100pt / 100pt,long,150.0,25.0,US30L,B_holdout,-0.016353926088105666,-0.016353926088105666,0.0,585,0.0
100pt / 100pt,long,150.0,25.0,US30I,C_forward,-0.004774841910224204,-0.005331193696825489,-0.000556351786601285,263,0.011406844106463879
100pt / 100pt,both,0.0,0.0,US30L,A_research,0.0025750382522780877,0.0025337216190385553,-4.1316633239532434e-05,1713,0.0011675423234092236
100pt / 100pt,both,0.0,0.0,US30L,B_holdout,-0.01721895929129596,-0.01722276730408601,-3.808012790051246e-06,756,0.0013227513227513227
100pt / 100pt,both,0.0,0.0,US30I,C_forward,-0.013034210539142803,-0.013481935336792,-0.00044772479764919673,339,0.008849557522123894
100pt / 100pt,both,25.0,0.0,US30L,A_research,0.0011811762136231876,-0.009681178674491345,-0.010862354888114533,1820,0.12252747252747252
100pt / 100pt,both,25.0,0.0,US30L,B_holdout,-0.00379279744872045,-0.015800842700553114,-0.012008045251832664,802,0.16084788029925187
100pt / 100pt,both,25.0,0.0,US30I,C_forward,-0.004728374128972555,-0.01741195963527169,-0.012683585506299135,345,0.1826086956521739
100pt / 100pt,both,25.0,5.0,US30L,A_research,0.00430619043957737,-0.008909756081188441,-0.013215946520765812,1821,0.14607358594179023
100pt / 100pt,both,25.0,5.0,US30L,B_holdout,-0.0012885519262163688,-0.015720688294390935,-0.014432136368174567,802,0.19825436408977556
100pt / 100pt,both,25.0,5.0,US30I,C_forward,-0.0025538818387639576,-0.017242786782812727,-0.014688904944048769,345,0.21739130434782608
100pt / 100pt,both,25.0,10.0,US30L,A_research,0.005427158959569839,-0.010693718652082095,-0.016120877611651933,1822,0.17947310647639955
100pt / 100pt,both,25.0,10.0,US30L,B_holdout,0.0005219236799234406,-0.016778465256366143,-0.017300388936289584,802,0.23067331670822944
100pt / 100pt,both,25.0,10.0,US30I,C_forward,-0.0007397078607037743,-0.01775542471907398,-0.017015716858370205,345,0.24057971014492754
100pt / 100pt,both,25.0,25.0,US30L,A_research,0.02031549360809511,-0.009433177137372893,-0.029748670745468005,1823,0.34448710916072406
100pt / 100pt,both,25.0,25.0,US30L,B_holdout,0.011252748946149627,-0.01774907922970574,-0.02900182817585537,803,0.36488169364881695
