p_range_end,p_side,p_buf_atr,p_atr_n,p_stop_mode,p_stop_atr,p_stop_pts,p_tgt_mode,p_tgt_r,p_tgt_pts,p_flat_m,p_be_pts,p_be_off,p_ma_mode,p_cross_min,p_m200_form,p_x_mode,p_conf,p_conf_tol,r_sharpe,r_sortino,r_pf,r_tot,r_n,r_tpy,r_retdd,ok,h_sharpe,h_sortino,h_pf,h_tot,h_n,h_retdd
570,long,0.0,10,points,1.5560033011925807,74.64784902020206,none,2.253901903131636,319.4784105934465,960,25.0,10.0,state,15,state,off,off,1.0,0.23252505005825413,0.47963026887779664,1.0833006103139726,5.684418386836287,774,125.36740576496673,0.5941213814020403,True,-0.7595486548948821,-1.4973987825505104,0.7724108950281241,-5.816261247182744,326,-0.6042581924786974
555,long,0.1,30,points,1.9809180387709313,76.67728754662141,none,2.536178736403621,243.0814727420431,960,0.0,10.0,state,30,state,cross,behind,1.0,0.2629565186831259,0.5556661108859355,1.0716112847651953,9.112114526886215,844,136.70554323725057,0.9123753619892339,True,-0.38429123826238953,-0.7682405384363962,0.9125626427943826,-4.282894835403221,354,-0.47945544750229363
570,short,0.0,30,range,3.0273112709503565,75.84753539823565,points,0.652964896745045,318.66631452382467,960,150.0,5.0,state,15,cross,state,behind,1.0,-0.5222050883643233,-0.8651974388830933,0.8343533697024647,-14.969968407565108,567,91.8389135254989,-0.8791750365912848,False,-0.7304891666362889,-1.091925464796413,0.7887654479766609,-7.686277120627392,252,-0.8780200257303071
570,long,0.0,30,atr,3.3088871932853046,145.7089484482226,points,1.35089828591936,312.13729633748414,960,25.0,10.0,state,15,cross,state,through,0.25,0.661529572007087,1.2035136684841772,1.2480295203342282,17.12020132737895,791,128.1209534368071,3.1147832071679726,True,-0.7196207071104499,-1.1484024602159526,0.790803677685242,-5.983275088925968,332,-0.6855290391567661
570,long,0.3,10,atr,3.5730780955300716,40.36518908001411,points,0.5154169255240739,300.6357787714496,960,150.0,10.0,cross,15,cross,state,behind,1.0,0.17909806980095702,0.277487991898625,1.1059469382081113,3.510565082719676,208,33.690465631929044,0.47629759711707925,False,0.28078895721083047,0.4258724039414666,1.1300040516439003,2.2908525138907327,111,0.525039008501838
555,long,0.0,30,range,1.1823895538834182,36.27270889829191,points,1.5135812205362893,285.53646897439984,960,25.0,10.0,200any,15,state,cross,through,0.5,0.055331264319771804,0.10340134774842225,1.0204726265742805,1.0442000927075497,729,118.07860310421286,0.15252257466060465,True,-0.008954387581095681,-0.016344104017333907,0.9968046686499726,-0.06409971993265295,304,-0.016238251518327546
570,long,0.0,30,atr,4.025919905151303,111.2698725077789,points,1.4256370387042507,322.4665076385701,960,25.0,3.0,state,15,cross,state,confluence,0.5,0.38679819341711885,0.6559488632775378,1.1392885686907326,10.847074087452594,841,136.21962305986696,1.0150938976258923,True,-0.2722515943688452,-0.4461052294638267,0.9125771934235434,-2.4983837164836356,348,-0.44653765298766496
570,long,0.0,30,atr,4.208579452468967,148.73298803269535,none,3.9229387660457737,397.801037800514,960,0.0,10.0,state,75,cross,state,through,0.25,0.5499132158441206,0.8970190783839662,1.1650995484010807,25.63825041506787,791,128.1209534368071,2.568385527202724,True,-0.6286200698736776,-0.906617965007204,0.859972118103996,-9.40439912096734,332,-0.6347282684976899
570,long,0.0,21,atr,4.447403495771714,190.09811887089484,none,1.6849005185459438,322.6823170273138,960,0.0,10.0,state,75,cross,state,through,0.25,0.46383780239164546,0.7382238013410461,1.1376098346961,21.982555183941486,795,128.7688470066519,2.2732485243345715,True,-0.588336380571842,-0.8315915473724049,0.866070234898749,-9.190936666387694,333,-0.5867249969042547
570,long,0.0,14,range,3.3342949646575137,186.28523405218925,points,1.7907575514513703,267.02532799153386,960,25.0,5.0,state,15,cross,state,through,0.25,0.4481962433431627,0.8259545576662136,1.1853610088341215,9.732645529790824,689,111.59966740576496,1.6595015069404682,True,-0.6199919520529922,-1.0409205778312716,0.8001746615608156,-4.259727325928679,299,-0.69718428562806
570,long,0.0,30,atr,3.894868700428314,52.483967214853074,points,1.977225031674707,339.3489212318036,960,100.0,10.0,state,15,state,state,behind,1.0,0.37011104707837456,0.5869100277689583,1.105415946020024,13.870620352959467,830,134.4379157427938,1.1272736885990946,True,-0.378166336231612,-0.5653018465326277,0.9078805039601707,-4.864204128345024,353,-0.5167982955839981
555,long,0.0,30,points,1.4044821779383274,77.83082476484425,r,5.580902948358314,374.9920981465726,960,100.0,10.0,state,300,state,off,off,1.0,0.15236315486407395,0.2932451380941173,1.0416348714794772,4.58891733154655,791,128.1209534368071,0.3384385324976167,True,-0.30234778118273076,-0.6014751598389516,0.923174404450502,-3.078203375067476,329,-0.4260607079730217
570,both,0.0,30,atr,2.5694175437039837,157.45517353912356,points,2.156044069836476,388.1961079573711,960,25.0,10.0,200all,75,cross,state,through,0.25,0.2475360784365462,0.4499472088610443,1.3253147817862836,1.5417664742488548,64,10.366297117516629,1.0149695764723108,False,-1.0936260129651674,-1.209856279298069,0.3368674458310828,-1.7098992840621117,38,-0.8612172863843804
570,long,0.3,30,atr,4.038751902702772,168.93957230653967,r,2.3600881687955755,321.03482900932744,960,25.0,0.0,state,15,cross,state,through,0.25,0.1773352881381294,0.30488145785349063,1.0658536676994514,4.971434262425825,766,124.07161862527715,0.5903700106214146,True,-0.25081380904944567,-0.37310600295594337,0.9102578737650538,-2.674237951963915,320,-0.2659314639314461
570,short,0.5,30,atr,4.677141959776294,130.47097554309988,none,5.228719389938063,397.53285482779347,960,0.0,10.0,state,75,cross,state,off,0.5,-0.13574819669867394,-0.2335502321937591,0.9518396614395972,-7.360423458700951,580,93.94456762749445,-0.42200525460500693,False,-0.9272008106976315,-1.2908639383119431,0.7441414835906538,-14.645288284406856,241,-0.9131933432973166
555,short,0.5,30,atr,2.4256281900346095,183.38271393639735,points,3.3714578366465693,282.1701955566609,960,100.0,10.0,state,15,cross,state,through,0.25,-0.49674832814033787,-0.7718553132297126,0.8529872595375335,-15.013140905301402,611,98.96574279379158,-0.7364388255420161,False,-0.5731292969856036,-0.8893106501267167,0.8361968767118492,-5.602179165424927,255,-0.6376635389807983
570,long,0.0,30,atr,4.6546087440471435,161.1446469115564,none,6.215405443783517,353.00354362635517,960,0.0,25.0,state,75,cross,state,confluence,0.25,0.4537320421204442,0.7233992366931388,1.1338968610162978,21.479525516938608,803,130.06463414634146,1.9971804851387343,True,-0.5537334327370843,-0.7892691174685585,0.8745497399289247,-8.600343307817262,339,-0.5611026674263863
