feed,block,side,geom,read,strict,recency,arm,n,per,keep,mde,p,base,vs_none
US30L,A_research,long,1.5N / none,all,False,75,m200,777,0.014987706401283076,0.5411298315163529,0.043519074729487496,0.4766666666666667,0.014533567355964509,0.0004541390453185676
US30L,A_research,long,1.5N / none,all,False,75,or,847,0.014307577445755953,0.5971258671952429,0.041686760198633356,0.51,0.014533567355964509,-0.00022598991020855545
US30L,A_research,long,1.5N / none,all,False,75,fresh,152,0.030711786220363003,0.11496531219028741,0.11905253529420315,0.3433333333333333,0.014533567355964509,0.016178218864398495
US30L,B_holdout,long,1.5N / none,all,False,75,none,600,0.009765797683072603,1.0,0.05924452750461042,,0.009765797683072603,0.0
US30L,B_holdout,long,1.5N / none,all,False,75,m200,315,-0.004518698563282263,0.5411298315163529,0.05513349291312986,0.7233333333333334,0.009765797683072603,-0.014284496246354866
US30L,B_holdout,long,1.5N / none,all,False,75,or,358,-0.009189748964293845,0.5971258671952429,0.05635181680204463,0.85,0.009765797683072603,-0.01895554664736645
US30L,B_holdout,long,1.5N / none,all,False,75,fresh,80,0.027238686349252018,0.11496531219028741,0.16508514674471564,0.31666666666666665,0.009765797683072603,0.017472888666179416
US30L,A_research,long,1.5N / none,all,False,150,none,1418,0.014533567355964509,1.0,0.03936988183598201,,0.014533567355964509,0.0
US30L,A_research,long,1.5N / none,all,False,150,m200,777,0.014987706401283076,0.5411298315163529,0.043519074729487496,0.4766666666666667,0.014533567355964509,0.0004541390453185676
US30L,A_research,long,1.5N / none,all,False,150,or,889,0.012024357868993517,0.6258671952428146,0.040900807511446015,0.61,0.014533567355964509,-0.0025092094869709914
US30L,A_research,long,1.5N / none,all,False,150,fresh,231,0.005108788312298315,0.1709613478691774,0.0911439765046574,0.6033333333333334,0.014533567355964509,-0.009424779043666193
US30L,B_holdout,long,1.5N / none,all,False,150,none,600,0.009765797683072603,1.0,0.05924452750461042,,0.009765797683072603,0.0
US30L,B_holdout,long,1.5N / none,all,False,150,m200,315,-0.004518698563282263,0.5411298315163529,0.05513349291312986,0.7233333333333334,0.009765797683072603,-0.014284496246354866
US30L,B_holdout,long,1.5N / none,all,False,150,or,374,-0.010795190242991838,0.6258671952428146,0.05531382047108338,0.8966666666666666,0.009765797683072603,-0.020560987926064443
US30L,B_holdout,long,1.5N / none,all,False,150,fresh,114,0.02083740016505763,0.1709613478691774,0.12736731905665208,0.37,0.009765797683072603,0.011071602481985026
US30L,A_research,long,100pt / 100pt,any,True,30,none,1418,-0.0016198973594984767,1.0,0.02446035313641711,,-0.0016198973594984767,0.0
US30L,A_research,long,100pt / 100pt,any,True,30,m200,882,0.003055186600663874,0.6154608523290387,0.029842766549777806,0.26,-0.0016198973594984767,0.004675083960162351
US30L,A_research,long,100pt / 100pt,any,True,30,or,923,0.002619002062896681,0.6476709613478692,0.029143013019307266,0.25333333333333335,-0.0016198973594984767,0.004238899422395158
US30L,A_research,long,100pt / 100pt,any,True,30,fresh,86,0.03640190525826186,0.06788899900891972,0.09059893816027158,0.15666666666666668,-0.0016198973594984767,0.038021802617760336
US30L,B_holdout,long,100pt / 100pt,any,True,30,none,600,-0.020203876039081834,1.0,0.02935453276513547,,-0.020203876039081834,0.0
US30L,B_holdout,long,100pt / 100pt,any,True,30,m200,360,-0.031044329236128078,0.6154608523290387,0.037553244456286716,0.9,-0.020203876039081834,-0.010840453197046244
US30L,B_holdout,long,100pt / 100pt,any,True,30,or,384,-0.0321950871119324,0.6476709613478692,0.03637391689001143,0.93,-0.020203876039081834,-0.011991211072850564
US30L,B_holdout,long,100pt / 100pt,any,True,30,fresh,51,0.002513159676859243,0.06788899900891972,0.10273182106414902,0.2833333333333333,-0.020203876039081834,0.022717035715941077
US30L,A_research,long,100pt / 100pt,any,True,75,none,1418,-0.0016198973594984767,1.0,0.02446035313641711,,-0.0016198973594984767,0.0
US30L,A_research,long,100pt / 100pt,any,True,75,m200,882,0.003055186600663874,0.6154608523290387,0.029842766549777806,0.26,-0.0016198973594984767,0.004675083960162351
US30L,A_research,long,100pt / 100pt,any,True,75,or,943,0.002904094333020558,0.6625371655104063,0.028864307616583696,0.21333333333333335,-0.0016198973594984767,0.004523991692519035
US30L,A_research,long,100pt / 100pt,any,True,75,fresh,143,0.007069038842736522,0.10852329038652131,0.07394133608841073,0.37333333333333335,-0.0016198973594984767,0.008688936202234999
US30L,B_holdout,long,100pt / 100pt,any,True,75,none,600,-0.020203876039081834,1.0,0.02935453276513547,,-0.020203876039081834,0.0
US30L,B_holdout,long,100pt / 100pt,any,True,75,m200,360,-0.031044329236128078,0.6154608523290387,0.037553244456286716,0.9,-0.020203876039081834,-0.010840453197046244
US30L,B_holdout,long,100pt / 100pt,any,True,75,or,394,-0.03668032375717691,0.6625371655104063,0.03583752822727652,0.9833333333333333,-0.020203876039081834,-0.016476447718095078
