feed,win,buf,side,ema,stop,tgt,flat,block,n,pct,tot,pf,win_r
US30L15,540-570,0.0,long,off,3.0,1.0,660,res,1378,0.0008616839931527204,1.1874005425644487,0.9919830623896231,0.5123367198838897
US30L15,540-570,0.0,long,off,3.0,1.0,660,lock,585,-0.01566793730912189,-9.165743325836306,0.8760175272365968,0.4735042735042735
US30L15,540-570,0.0,long,off,3.0,1.0,720,res,1378,0.015238099954923817,20.99810173788502,1.0804536707610728,0.5355587808417998
US30L15,540-570,0.0,long,off,3.0,1.0,720,lock,585,-0.02340361974364785,-13.691117550033992,0.8353193627233618,0.49743589743589745
US30L15,540-570,0.0,long,off,3.0,1.0,960,res,1378,0.020960591212839743,28.883694691293165,1.0887812076137298,0.5275761973875182
US30L15,540-570,0.0,long,off,3.0,1.0,960,lock,585,-0.003788854170540161,-2.216479689765994,0.9638248983827107,0.4905982905982906
US30L15,540-570,0.0,long,off,3.0,1.0,0,res,1269,0.01916146190650467,24.315895159354426,1.0651065351241138,0.5342789598108747
US30L15,540-570,0.0,long,off,3.0,1.0,0,lock,520,-0.009299528105598719,-4.835754614911334,0.9433452961291027,0.49230769230769234
US30L15,540-570,0.0,long,off,3.0,1.5,660,res,1378,0.0022750756131467748,3.135054194916256,1.002445565874565,0.5072568940493469
US30L15,540-570,0.0,long,off,3.0,1.5,660,lock,585,-0.015694527332939523,-9.18129848976962,0.8814592734616691,0.46153846153846156
US30L15,540-570,0.0,long,off,3.0,1.5,720,res,1378,0.01827937358299219,25.18897679736324,1.1027670899620547,0.5239477503628447
US30L15,540-570,0.0,long,off,3.0,1.5,720,lock,585,-0.021818213244421555,-12.76365474798661,0.853160382567698,0.48376068376068376
US30L15,540-570,0.0,long,off,3.0,1.5,960,res,1378,0.010211089244414781,14.070880978803569,1.045252248716911,0.4811320754716981
US30L15,540-570,0.0,long,off,3.0,1.5,960,lock,585,0.0015139057689373804,0.8856348748283676,0.9975766779433309,0.452991452991453
US30L15,540-570,0.0,long,off,3.0,1.5,0,res,1140,0.03444401245531741,39.26617419906185,1.1156915810666161,0.44298245614035087
US30L15,540-570,0.0,long,off,3.0,1.5,0,lock,462,-0.01192229223270536,-5.508099011509876,0.9516897277467286,0.3939393939393939
US30L15,540-570,0.0,long,off,3.0,2.0,660,res,1378,0.002450745637852772,3.3771274889611202,1.004891914660571,0.5072568940493469
US30L15,540-570,0.0,long,off,3.0,2.0,660,lock,585,-0.015672954034112604,-9.168678109955874,0.8843042771305332,0.4598290598290598
US30L15,540-570,0.0,long,off,3.0,2.0,720,res,1378,0.01896422040051775,26.132695711913463,1.1100239075483183,0.5217706821480407
US30L15,540-570,0.0,long,off,3.0,2.0,720,lock,585,-0.02253129996540433,-13.180810479761533,0.8513656839254797,0.48205128205128206
US30L15,540-570,0.0,long,off,3.0,2.0,960,res,1378,0.019665006898733205,27.098379506454357,1.086216513730279,0.47242380261248185
US30L15,540-570,0.0,long,off,3.0,2.0,960,lock,585,0.01212769931829777,7.094704101204196,1.0527839815238613,0.4444444444444444
US30L15,540-570,0.0,long,off,3.0,2.0,0,res,994,0.056827100664147714,56.48613806016283,1.1675150760906954,0.38329979879275655
US30L15,540-570,0.0,long,off,3.0,2.0,0,lock,411,0.007900327695940205,3.2470346830314245,1.0196459309778605,0.3357664233576642
US30L15,540-570,0.0,long,off,3.0,3.0,660,res,1378,0.0024897617725867724,3.4308917226245725,1.0047892961288873,0.5072568940493469
US30L15,540-570,0.0,long,off,3.0,3.0,660,lock,585,-0.017428048332307558,-10.195408274399922,0.8705487227199568,0.4581196581196581
