p_range_end,p_side,p_buf_atr,p_atr_n,p_stop_mode,p_stop_atr,p_stop_pts,p_tgt_mode,p_tgt_r,p_tgt_pts,p_flat_m,p_be_pts,p_be_off,p_ma_mode,p_cross_min,p_m200_form,p_x_mode,p_conf,p_conf_tol,r_sharpe,r_sortino,r_pf,r_tot,r_n,r_tpy,r_retdd,ok,h_sharpe,h_sortino,h_pf,h_tot,h_n,h_retdd
570,both,0.3,7,points,2.847616722588545,134.0851902864857,none,1.4362055981347446,271.36082204818985,0,50.0,10.0,200all,15,state,cross,behind,0.25,0.3841481287392466,0.8436314431523118,1.1278984887400711,17.664581229128046,1100,178.17073170731706,1.3818148124170035,True,-0.7181730109990124,-1.2624307762116416,0.8194679900348958,-9.091618191061063,483,-0.8590235823286457
570,short,0.0,10,points,5.808078299890129,95.865281427882,points,1.0995168983620207,314.6766659148209,0,100.0,3.0,200all,75,state,cross,behind,0.5,-0.6787854398909485,-1.237098365958688,0.7944455834083629,-19.80925038163761,559,90.54312638580932,-0.8215609761960092,False,-1.5336734023323642,-2.551529619159694,0.6131577577442892,-13.428049346004746,255,-0.9359026244664104
570,both,0.3,50,points,1.889638694112867,168.51491394393202,none,3.6767141661854668,272.59172291270716,840,50.0,5.0,off,300,state,cross,through,0.25,0.08076140774098464,0.17119777838673364,1.1276807016687895,0.7001298938384224,48,7.774722838137472,0.33689158515580064,False,-0.7656107432866855,-0.928665449260643,0.40636226392302177,-1.5110160406294373,23,-0.7930733794313483
555,both,0.3,14,points,1.06534467480169,196.98456150412252,points,4.461541317999807,163.28052675028135,0,50.0,25.0,200all,30,state,cross,confluence,1.0,-0.022246370081366554,-0.030809112599301886,0.9955364707571527,-0.8531451780391177,1388,224.8190687361419,-0.06969673227743226,True,-0.37948354592693395,-0.4993364028632559,0.9286081206035549,-4.748453867080807,597,-0.5427002436062157
570,long,0.3,50,points,5.147089584505249,43.627704184243484,points,4.416347612050827,330.4109143696342,0,50.0,3.0,200all,30,state,cross,through,0.25,0.7287913091554752,2.1216839325663157,1.3139594176535518,18.725831103402907,683,110.62782705099778,4.2132243878525255,True,0.43151739018307245,1.2544286979567318,1.170538511392338,3.396347760467968,297,0.7978331786793464
570,long,0.5,30,points,4.03321644742737,45.09468759334203,none,4.379868167407221,316.9705515884448,0,25.0,3.0,200all,30,state,cross,through,0.25,0.6805087831723182,2.379445555382054,1.4092655537421135,18.83067931747574,651,105.44467849223946,4.395154994079966,True,0.2907029546932176,0.8315457557333947,1.129801471795727,1.952129424183668,284,0.40830845961832424
570,long,0.2,50,points,4.543542083433649,47.0940022961465,points,5.148967782217058,276.6520187816305,0,150.0,5.0,200all,30,state,cross,through,0.25,0.7720070029496813,2.0423841837006744,1.274000614585672,21.385424546307426,681,110.30388026607538,3.7932487091735796,True,0.21898985677288482,0.5488827336721344,1.0656751872121308,1.8387827542244168,302,0.37947397630237356
570,long,0.5,30,points,2.9154107261203333,82.02383590247771,none,6.1416212151454195,320.6597591513018,0,25.0,5.0,200all,30,cross,cross,through,0.25,0.0591886225120979,0.1595748878696871,1.1359643277915514,0.415013466168329,27,4.373281596452328,0.1893745657558117,False,-1.4059648913672826,-1.4020358972950238,0.025050735993664492,-1.217709367143513,15,-0.993469911578878
570,long,0.3,50,points,5.200829374291622,44.903830830634355,points,5.427537320779751,364.0350329802756,0,50.0,3.0,200any,30,cross,cross,through,0.25,0.09588595990231648,0.26563043244509266,1.1247845566455905,0.7904134931701631,63,10.204323725055433,0.3324638240201178,False,-2.0636814464326285,-2.362195371703607,0.15501143051207433,-2.5226686074703206,33,-1.0
570,long,0.2,50,points,3.393610355379886,68.26113979101474,points,6.038020101316675,279.56053619388985,960,150.0,25.0,200all,30,state,cross,through,0.25,0.41014107797160826,0.798337524765936,1.1123567338912588,10.8610865064566,751,121.6420177383592,1.7912158089622614,True,0.512373734984049,1.0964352712618395,1.1388944885506742,4.866565117063235,308,1.118965576642039
570,long,0.5,50,points,5.30630032351709,101.71800261877185,none,4.241364529268803,258.5206830329462,0,0.0,3.0,state,30,state,cross,through,0.25,0.6043534272437171,1.450353010031591,1.2219939543049396,25.86970445545964,624,101.07139689578713,3.366318319692953,True,0.09517429641339992,0.21789417626638494,1.0290020510496463,1.3272193987340835,276,0.1264602515027997
570,long,0.0,10,atr,4.903928801109963,77.8105955233309,points,3.8267247198736474,359.8546867148588,840,50.0,0.0,200all,150,state,cross,behind,0.5,0.4012200098383866,0.6126445619088724,1.1290047046501677,11.339706163205879,820,132.8181818181818,2.0347656717078006,True,0.3133964571996338,0.48587865688652077,1.0976034972088697,3.2779119310184575,341,0.7400571142698221
570,long,0.3,50,range,5.432249725763047,30.793835270715007,points,5.797608845601507,276.4642832554041,0,150.0,5.0,off,30,state,off,through,0.25,0.2754744890477772,0.7756746295654658,1.6879276429746322,1.5746989953146766,23,3.7253880266075385,1.303499485602983,False,-0.12022886973245861,-0.20301904501002158,0.8437535504613196,-0.275068132848446,10,-0.23449299406223617
570,long,0.0,50,points,5.36228532262016,30.492308192324753,points,1.7355457347863394,250.74313396085753,900,50.0,3.0,200all,150,state,cross,confluence,0.5,0.11770405830214091,0.2798069292621841,1.034770841274359,2.1128751381792763,855,138.48725055432374,0.2912562078165721,True,0.5033324326602143,1.4403942535977874,1.1708860995750368,3.2217789850218645,354,0.9740209716846453
