mkt,tf,mode,block,n,units,per_unit,per_acct,tot_unit,tot_acct,dd,rdd,pf
US100L,240,matched,research,131,3.145038167938931,-0.093250857127722,0.6365053683450314,-12.215862283731584,83.38220325319911,42.589572497179645,1.957807941338712,1.4414772617575098
US100L,240,matched,locked,72,3.1944444444444446,0.07464324324758756,1.0682863100150455,5.374313513826304,76.91661432108327,24.089460331326237,3.192957138232771,1.7296749695126636
US30L,15,carried,research,1925,2.8903896103896103,-0.038517184220044354,0.06282136677597945,-74.14557962358538,120.93113104376044,37.29566621769938,3.2424982124697976,1.2024882018700498
US30L,15,carried,locked,1144,2.73513986013986,-0.04491808190337004,0.012143591852963884,-51.38628569745532,13.892269079790683,40.617373965998965,0.34202775126279655,1.0478997686945206
US30L,15,matched,research,246,3.1219512195121952,-0.009490742416423645,0.14800695898392685,-2.334722634440217,36.409711910046006,20.98452107365545,1.735074714464452,1.3389538650711985
US30L,15,matched,locked,126,2.761904761904762,0.019781796311875106,0.33608586784110794,2.4925063352962633,42.346819347979604,15.34519083083675,2.7596150360595093,1.9259729136490675
US30L,30,carried,research,949,2.8777660695468916,-0.028079070012499128,0.20649272584685607,-26.647037441861674,195.96159682866642,23.782059292833196,8.239891862002047,1.4761067437619675
US30L,30,carried,locked,572,2.762237762237762,-0.03823038316250947,0.13790354442075722,-21.86777916895542,78.88082740867313,14.228074291102203,5.544026956480172,1.3830678583294391
US30L,30,matched,research,195,3.0,-0.03448034029400682,0.17481970241086264,-6.723666357331329,34.089841970118215,14.6555254013178,2.3260743669451056,1.3128673841420635
US30L,30,matched,locked,95,2.6210526315789475,0.040434886089389936,0.5664642786602332,3.841314178492044,53.81410647272215,11.694491068305929,4.601662967494804,2.233439180274193
US30L,60,carried,research,464,2.8814655172413794,-0.044128709159204776,0.3357392419209514,-20.475721049871016,155.78300825132143,35.95209344280567,4.333071966981522,1.5531914420420299
US30L,60,carried,locked,261,2.6934865900383143,-0.10290964992582385,0.030759421992431316,-26.859418630640025,8.028209140024574,25.43642705808414,0.3156185859630419,1.0590645293812397
US30L,60,matched,research,168,2.8988095238095237,0.020765724505198476,0.6266349497534578,3.488641716873344,105.2746715585809,19.40316297610383,5.425644864614756,1.8504438111274322
US30L,60,matched,locked,99,2.6666666666666665,-0.11164334756154747,0.14740779267293,-11.0526914085932,14.59337147462007,23.349365856085868,0.6250007629571832,1.1991581134908567
US30L,120,carried,research,234,2.9017094017094016,-0.03594395453304413,0.6428331242185658,-8.410885360732326,150.4229510671444,13.67987301499356,10.995931826434077,1.8278599926555656
US30L,120,carried,locked,121,2.768595041322314,0.0005430622355147955,0.6417684001038554,0.06571053049729025,77.65397641256651,26.262908397403756,2.9567927221740247,1.7920252006995026
