rule,geom,n,pts,sd,mde,pf,win,be,res_win,amb,flat_sh,tot,kept,ctl_med,p,lift_pts,fam,lift_br
adx>=15,50/150,980,-0.05530612244897896,67.84945497012309,6.072974484653091,0.9980264959306492,0.39183673469387753,0.26145,0.16984402079722705,0.007142857142857143,0.41122448979591836,-54.19999999999938,0.9281221922731356,1.0588381203089998,0.985,-1.0389903329752959,ADX,1.0293465928940022
adx>=20,50/150,761,-1.0193035479632055,65.3888393475893,6.641702695804809,0.9631553347792097,0.392904073587385,0.26145,0.15681818181818183,0.006570302233902759,0.42181340341655715,-775.6899999999994,0.7219227313566936,0.8945323165666592,0.985,-2.0029877584895224,ADX,1.0444009244089532
adx>=25,50/150,503,-1.7253876739562612,65.19372984081046,8.144978961763957,0.9382570952726164,0.3817097415506958,0.26145,0.15172413793103448,0.005964214711729622,0.4234592445328032,-867.8699999999994,0.48697214734950584,0.7107102272727287,0.95,-2.709071884482578,ADX,1.0418611517151857
adx>=30,50/150,332,-1.1062650602409627,63.67700292425779,9.792232205183849,0.9590382783764311,0.4036144578313253,0.26145,0.13812154696132597,0.0030120481927710845,0.45481927710843373,-367.27999999999963,0.3252470799640611,0.4363135338676369,0.7775,-2.0899492707672795,ADX,1.097447161713499
adx<=20,50/150,397,6.50848866498741,73.44302882206442,10.32817187607311,1.2456491109982943,0.43073047858942065,0.26145,0.2317596566523605,0.005037783375314861,0.41309823677581864,2583.8700000000017,0.2780772686433064,0.15069485591166337,0.0,5.524804454461093,ADX,0.9006009171637877
adx<=25,50/150,646,2.8183591331269375,69.71548397027993,7.685659122923732,1.1045202994396988,0.4117647058823529,0.26145,0.19363395225464192,0.006191950464396285,0.41640866873065013,1820.6600000000017,0.5130278526504941,0.6414758113900798,0.1125,1.8346749226006205,ADX,0.9632625357848444
atr/tod>=1.0,50/150,773,1.3270763260025895,73.39936763461431,7.397256911639717,1.0438484268586632,0.38033635187580855,0.26145,0.1907514450867052,0.009055627425614488,0.32858990944372574,1025.8300000000017,0.6819407008086253,0.9008541204371658,0.375,0.3433921154762726,ATR,1.0286146741976974
atr/tod>=1.2,50/150,607,2.4167545304777605,76.46304357994751,8.696116842107603,1.0777972171679215,0.37891268533772654,0.26145,0.20871559633027523,0.011532125205930808,0.28171334431630973,1466.9700000000007,0.5098831985624438,0.843745231255606,0.1425,1.4330703199514434,ATR,1.0113246223142511
atr/tod<=1.0,50/150,342,0.16906432748538175,54.36994293470541,8.237851428628394,1.0078794238290565,0.4444444444444444,0.26145,0.11851851851851852,0.0,0.6052631578947368,57.82000000000056,0.31805929919137466,0.6801329076329081,0.5725,-0.8146198830409352,ATR,0.9437122124137992
atr/tod<=0.8,50/150,181,3.3785082872928194,52.74972935671685,10.986239926160977,1.1855562804387736,0.47513812154696133,0.26145,0.13333333333333333,0.0,0.6685082872928176,611.5100000000003,0.14690026954177898,-0.2112735339968808,0.15,2.3948240767665023,ATR,0.8816118752700562
