param,don,stop,tgt,cell,atr_u_n,atr_u_days,atr_u_mean,atr_u_sd,atr_u_se,atr_u_n_eff,atr_u_t,atr_u_mde80,atr_u_pf,atr_u_win,pct_n,pct_days,pct_mean,pct_sd,pct_se,pct_n_eff,pct_t,pct_mde80,pct_pf,pct_win,med_min,amb,n_US30,m_US30,n_US100,m_US100,n_NQ,m_NQ
atr,40,0.9676,1000000000.0,don40 0.9676N/none,2347,1320,0.006526535615661875,2.245340318915729,0.05077946173103991,1955.18638292088,0.12852707360764334,0.14226298936941456,1.0088296871249236,0.27950575202386024,2347,1320,-0.003115517319995691,0.3218621806176262,0.0077957565803513365,1704.6034326415515,-0.39964271432591114,0.021840476399519207,0.9696648080050274,0.27950575202386024,30.0,0.0,908,0.07693979779300852,1049,-0.03501392290853811,390,-0.045676800448812435
atr,40,1.6127,3.2253,don40 1.6127N/3.2253N,2368,1320,-0.046503751262857496,1.9335473850261815,0.04347682950203173,1977.852529700522,-1.0696214925397058,0.1218040428633099,0.9467286295389545,0.41469594594594594,2368,1320,-0.011253985426444563,0.3165655112256783,0.007732584788789826,1676.014666315412,-1.4553976107394029,0.021663495242078765,0.9091351288821853,0.41469594594594594,45.0,0.008868243243243243,926,0.007568066886897267,1051,-0.08136305374478386,391,-0.08086021340651045
atr,40,1.6127,4.838,don40 1.6127N/4.838N,2261,1320,-0.05194457938688581,2.2173641876855474,0.0512976152548064,1868.4423663399104,-1.0126119728737057,0.14371464062231193,0.9448044543918549,0.38080495356037153,2261,1320,-0.01055600834587701,0.3539394317492842,0.008669884960121235,1666.5994293294432,-1.217548836510675,0.024289421547015595,0.9190221244592889,0.38080495356037153,45.0,0.0004422821760283061,879,0.028707536087283703,1014,-0.1303894202630717,368,-0.028439527357925258
atr,40,1.6127,1000000000.0,don40 1.6127N/none,2143,1320,-0.001717962577546428,2.78988445742451,0.06727932248161876,1719.5278576000917,-0.02553477820790762,0.18848875534915863,0.9982636842548459,0.3621091927204853,2143,1320,-0.006154605506467452,0.38198397431768055,0.009835966852918593,1508.1904031180766,-0.6257245066499199,0.027556299340985864,0.9538651022398137,0.3621091927204853,60.0,0.0,838,0.04921703972363153,961,-0.037447818498453085,344,-0.025982905567069278
atr,40,3.2253,3.2253,don40 3.2253N/3.2253N,2215,1320,-0.08752902237942103,2.508627710788805,0.05954123392571479,1775.1569993139894,-1.4700572461871473,0.16680984083448894,0.9224697306018322,0.5015801354401805,2215,1320,-0.020472341191413834,0.3996802643226025,0.01017990595400437,1541.4799354725217,-2.0110540592333104,0.028519874042518836,0.868509790284388,0.5015801354401805,60.0,0.0018058690744920992,868,0.01180861641300543,984,-0.16472828766952208,363,-0.11579622190109254
atr,40,3.2253,4.838,don40 3.2253N/4.838N,2096,1320,-0.07565377637486244,2.8665062177556235,0.07056022889762921,1650.3870769924665,-1.0721872300701163,0.1976804942662655,0.93911380770202,0.47041984732824427,2096,1320,-0.01892097465846454,0.4413960483513412,0.01143732523437191,1489.3883058131837,-1.6543181443859325,0.03204264131136678,0.8867151449466455,0.47041984732824427,75.0,0.0,820,0.05381304632480953,941,-0.20318426418104527,335,-0.03433021096624466
atr,40,3.2253,1000000000.0,don40 3.2253N/none,1955,1320,-0.04695930340259114,3.4996136276895213,0.08920891069688437,1538.9472195888532,-0.526397004915241,0.24992636553235112,0.9652373716424665,0.44859335038363174,1955,1320,-0.01648845915171519,0.4752499710018765,0.012932791035456762,1350.3914428050764,-1.2749343205585049,0.03623231619387957,0.905887662950586,0.44859335038363174,75.0,0.0,770,0.08221962797137937,877,-0.12217364568324161,308,-0.1557411182656653
pts,10,30.0,100.0,don10 30pts/100pts,3302,1726,-0.06554509589464669,2.9143283362125714,0.0562276106120338,2686.443436189091,-1.1657101409999941,0.15752644274048577,0.9367342099252447,0.3482737734706239,3302,1726,-0.0012379481687462093,0.2992844781198086,0.005715012866649831,2742.419965166196,-0.21661336511949109,0.016011095568531586,0.9893665591681404,0.3482737734706239,45.0,0.00817686250757117,1451,-0.009236378124950715,1332,-0.12479904718922152,519,-0.07089709273367395
pts,10,30.0,150.0,don10 30pts/150pts,3207,1726,-0.08618315454099908,3.0684712956436813,0.060369836801374255,2583.474185280217,-1.4275863429042301,0.1691312424026224,0.9198821070399971,0.3252260679763018,3207,1726,-0.0061275956503506375,0.3187682282550952,0.0063835310241315705,2493.6075854270052,-0.9599069272455285,0.017884006156572547,0.9494891290419469,0.3252260679763018,45.0,0.0031181789834736516,1402,-0.0167697822650601,1310,-0.16111501098631767,495,-0.08447975249554263
pts,10,30.0,1000000000.0,don10 30pts/none,3144,1726,-0.1071068319621118,3.14987327129599,0.06270530176406855,2523.3508407316654,-1.708098501225717,0.17567424651952748,0.9025983540652055,0.3110687022900763,3144,1726,-0.010885214748441426,0.33388491875783044,0.006666298976561367,2508.557330795195,-1.632872270912799,0.018676204672255933,0.9120369619581368,0.3110687022900763,60.0,0.0,1361,-0.050823198367895776,1299,-0.1622516220550711,484,-0.11737324310048762
