market,side,entry1,exit1,atr_len,atr_mult,pyr_step,max_units,adx_max,ext_max,ao_min,skip_win,res_sharpe,res_pf,res_n,res_R,res_dd,lk_sharpe,lk_pf,lk_n,lk_R,lk_dd
NQ,long,21,6,22,4.300000000000001,1.2000000000000002,2,30.0,2.5,1.0,False,-0.9084404286820634,0.6937914173565127,95,-0.06972259013126252,8.971190291748961,-1.1772672835876872,0.6132617826701195,35,-0.07928562170789646,2.214065561715076
NQ,long,42,35,21,4.6,0.6000000000000001,3,45.0,1.5,0.0,True,-0.9807860255885579,0.5506134653311554,42,-0.11883257927160391,6.269441411044006,,,0,,
NQ,long,13,31,23,2.5,0.5,1,0.0,8.0,1.0,False,-0.06056869886444728,0.9823029189683941,169,-0.00801565022400063,16.075915369755954,0.05509932931992413,1.0154101518721164,102,0.0065991170752962265,10.117739665387198
NQ,long,50,10,22,4.9,0.4,2,22.0,8.0,0.0,True,-0.8580194415139865,0.7533959194851041,154,-0.058435356483947785,13.665120751210072,-1.723848499310632,0.5856237192604238,89,-0.10289081550053293,13.02291337086466
NQ,long,42,13,21,1.5,1.2000000000000002,4,45.0,2.5,0.0,True,-2.312946755404016,0.3542915768744366,79,-0.3873916031445727,29.913455306288764,-0.44907074228483507,0.8175184259137316,36,-0.0800063835221471,6.979152182557037
NQ,long,25,38,19,2.2,0.8,2,22.0,2.5,0.5,True,-1.0820897505961278,0.677733075472296,103,-0.18031855136208838,24.89825789041439,0.1194370107687097,1.0613976627264683,40,0.025577092023082625,6.036227215276763
NQ,long,62,21,17,3.6,0.8,1,18.0,2.5,0.5,False,-0.6833535463870222,0.5897528769585918,27,-0.14519840696078223,6.562345679384065,,,0,,
NQ,long,61,12,14,1.2,0.0,3,35.0,0.0,-999.0,False,-0.41021518097677284,0.8932223683281717,241,-0.07465083311635809,49.68194382498149,-0.512395974354363,0.8725323599275867,121,-0.0840685998851031,26.893803450676543
NQ,long,11,8,21,2.5,1.3,2,26.0,5.0,0.25,False,-1.7662244205823807,0.648740087466808,232,-0.15107142934711937,38.74404788954938,-1.8570304394311519,0.6113392333252126,129,-0.16326868101234032,28.321796797685636
NQ,long,50,13,22,5.0,0.2,2,0.0,5.0,1.0,False,-0.38706886821345876,0.8401941849608002,76,-0.03733498812856424,4.71868660405678,-1.2647002545271113,0.5805641639652911,46,-0.09160986044940685,6.159537059085522
NQ,long,75,15,17,3.3000000000000003,0.1,1,35.0,8.0,-999.0,True,-0.13786351741332217,0.9570327113489195,159,-0.015512116073347855,10.213419456252563,-1.1256736208843154,0.7052195962439586,81,-0.10974680177460137,16.626772774691936
