n,mean,total,per_yr,win,pf,sharpe,dd,ret_dd,yrs,trades_yr,strategy,feed,block,selection
679,0.0064542329329804705,4.38242416149374,1.6264666991110786,0.49042709867452133,1.2349081677630105,0.6585879317182922,1.6165530087429922,2.7109684234242635,2.6944444444444446,251.99999999999997,CMMA,US100,locked,False
425,-0.015940186062126428,-6.774579076403732,-2.8500733343134232,0.36,0.8794731924152289,-0.7098983311643546,8.506875729619164,-0.7963651159045457,2.376984126984127,178.79799666110185,VWAP_DRIFT,NQ,research,True
226,-0.012555047558162837,-2.837440748144801,-2.2068983596681786,0.3584070796460177,0.9214771066272763,-0.40114430335758555,10.477922734155607,-0.27080183927062185,1.2857142857142858,175.77777777777777,VWAP_DRIFT,NQ,locked,False
1178,0.003994776294693758,4.705846475149247,0.7505527289478546,0.3904923599320883,1.0260496803139854,0.12700618186198057,13.222473243855562,0.35589759860819065,6.26984126984127,187.88354430379746,VWAP_DRIFT,US100,research,True
538,0.0027505142353497136,1.479776658618146,0.6014576096318915,0.3643122676579926,1.014300162603011,0.08279550680053499,14.362241226167017,0.10303243312207391,2.4603174603174605,218.67096774193547,VWAP_DRIFT,US100,validation,False
438,-0.0058181747145102155,-2.5483605249554744,-1.1740161833432898,0.3744292237442922,0.9602000791285246,-0.21629269439539794,10.573357733009896,-0.24101714793962975,2.1706349206349205,201.7842778793419,VWAP_DRIFT,US100,test,False
973,-0.018644140455733732,-18.140748663428923,-2.848267079865476,0.3607399794450154,0.8645586441226772,-0.6684657091839208,20.14387877109616,-0.9005588680099949,6.369047619047619,152.77009345794394,VWAP_DRIFT,US30,research,True
445,-0.012574339122920445,-5.595580909699598,-2.274332885877901,0.3438202247191011,0.9045459951019569,-0.5215436467147185,9.839969811423051,-0.5686583411265942,2.4603174603174605,180.8709677419355,VWAP_DRIFT,US30,validation,False
324,0.030066674213810186,9.7416024452745,5.125018405447128,0.41975308641975306,1.2964911030173167,1.3212562172479894,2.4065725172444354,4.047915604234022,1.9007936507936507,170.455114822547,VWAP_DRIFT,US30,test,False
323,0.04387969555317837,14.173141663676613,8.344933876744175,0.43343653250773995,1.4353333750687103,1.9817732102613115,2.1753729955645484,6.5152696537903045,1.6984126984126984,190.17757009345794,VWAP_DRIFT,US30_ISO,research,True
146,-0.02321092154733675,-3.388794545911166,-4.186157968478499,0.3698630136986301,0.799329158788302,-1.3007059493444642,5.8158844735518285,-0.582679136994891,0.8095238095238095,180.35294117647058,VWAP_DRIFT,US30_ISO,locked,False
