family,side,expiry,fill_res,c1_immed,c1_sel,c1_mkt,c1_lim,c1_price,c1_delta,c1.5_immed,c1.5_sel,c1.5_mkt,c1.5_lim,c1.5_price,c1.5_delta,c2_immed,c2_sel,c2_mkt,c2_lim,c2_price,c2_delta
don.low55.S,S,12,0.34865456418179475,-0.029939238343459355,-0.5381134708385775,-0.0309910053236398,-0.03727617947183722,0.5318282966903801,-0.006285174148197421,-0.051188634330922855,-0.5387865053611349,-0.060197557545943345,-0.06528261168688426,0.5337014512201941,-0.005085054140940917,-0.0727427971255232,-0.5426546373602918,-0.09309512287924819,-0.09076755988495329,0.5449822003545867,0.0023275629942949017
ema.above20.L,L,15,0.3507836308228124,-0.04179397007610324,-0.48700014196157276,-0.025689752653960705,0.02524558572277941,0.537935480338313,0.050935338376740115,-0.07040490960672856,-0.48811519128765385,-0.0607679562469741,-0.011967102571332594,0.5369160449632954,0.048800853675641506,-0.0989837573646814,-0.49349473722281495,-0.09628136259689717,-0.05543345745431885,0.5343426423653933,0.040847905142578314
ema.above20.S,S,15,0.34370918589464516,-0.07991217086739148,-0.42585042061659906,-0.18225983697578066,-0.19937637084349494,0.4087338867488848,-0.01711653386771428,-0.10777585881767349,-0.4281824359213117,-0.21613413365709283,-0.2304098570926543,0.4139067124857503,-0.014275723435561466,-0.1354679185755806,-0.4264992388535926,-0.2512012913060227,-0.2679886783000223,0.40971185185959297,-0.01678738699399962
ema.above200.L,L,15,0.34834123222748814,-0.003314540163352111,-0.6002376293526314,0.09813463785649958,-0.056100125768658304,0.4460028657274735,-0.15423476362515787,-0.02597211538714224,-0.60814146119052,0.06667722399158706,-0.08672828980098828,0.4547359473979447,-0.15340551379257533,-0.04953246762431035,-0.6084067907844579,0.03259552691820039,-0.11925587436853131,0.45655538949772617,-0.1518514012867317
ema.above200.S,S,14,0.34636650868878355,-0.07359457926662022,-0.48352297231095576,-0.1530586957272255,-0.23160977284629214,0.40497189519188914,-0.07855107711906664,-0.09586336357420043,-0.48262659744847747,-0.17789312231501553,-0.26594944430382095,0.39457027545967205,-0.08805632198880542,-0.11867869067510393,-0.4810418400738268,-0.20341593141497796,-0.2926950731208345,0.39176269836797023,-0.08927914170585652
ema.above50.L,L,14,0.35187488892838104,-0.04018367260902701,-0.525114007293307,0.0025597031801418394,0.03746852868075437,0.5600228327939195,0.03490882550061253,-0.06842228054325135,-0.5228266445788464,-0.037455643448707075,-0.007561078674588362,0.5527212093529652,0.029894564774118712,-0.09639493782685483,-0.524293653245405,-0.06911893988450875,-0.05805533653750065,0.5353572565924132,0.011063603347008101
ema.above50.S,S,14,0.34547716367513776,-0.06832924388281506,-0.4536552274879874,-0.13037365031789,-0.15903610945534377,0.4249927683505337,-0.028662459137453772,-0.09666938433285198,-0.4548750209881566,-0.17083434661940908,-0.20062295138047395,0.42508641622709176,-0.029788604761064874,-0.12454261399899538,-0.4564023239784754,-0.204137558312192,-0.23182134290212514,0.42871853938854226,-0.027683784589933147
ema.below20.L,L,13,0.34461002937017293,-0.036468261901616346,-0.4829433467372009,-0.02164938128185528,0.10443753912542329,0.6090302671444795,0.12608692040727856,-0.06633772190649423,-0.4859704320509005,-0.06127766735723882,0.06546646030850153,0.6127145597166409,0.12674412766574036,-0.09498800291979918,-0.4879368163174195,-0.09960154289316427,0.01942389665070695,0.6069622558612907,0.11902543954387121
ema.below20.S,S,13,0.3508103992167954,-0.08806630218859138,-0.4815050933589961,-0.19274506261251384,-0.22821642377000526,0.44603373220150466,-0.035471361157491416,-0.11755036052181386,-0.48003419396015756,-0.23137227338785152,-0.26943175933335506,0.441974708014654,-0.03805948594550354,-0.1465950257652886,-0.48317130882654236,-0.269901845878577,-0.31669166324554876,0.4363814914595706,-0.04678981736697174
ema.below200.L,L,13,0.3483234714003945,-0.0008102428163392147,-0.5989831036375215,0.09494438695529511,-0.02190691609349073,0.4821318005887357,-0.11685130304878584,-0.023482824126966017,-0.5980991114515636,0.07075156906250225,-0.05344554103159608,0.47390200135746524,-0.12419711009409834,-0.04599569379162374,-0.5901626653018112,0.03574766444390291,-0.08830959090934332,0.466105409948565,-0.12405725535324623
