family,side,expiry,fill_res,n_res,nf_res,mkt_res_R,sel_res,gap_res,immed_res,n_lk,nf_lk,mkt_lk_R,sel_lk,gap_lk,immed_lk,fill_lk
rsi.lo7.L,L,12,0.35171544229875906,15069,5300,-0.03762965376607629,-0.5373951976910225,-0.8289495581949042,-0.04821172420208704,8183,3085,-0.04048379211784707,-0.475025166745698,-0.7624815495253132,-0.02388220518028659,0.37700109984113406
rsi.lo7.S,S,13,0.3549671511049174,15069,5349,-0.05430664200848516,-0.5523528398596316,-0.8563173810539906,-0.03559410630511313,8183,3002,0.043942056627310946,-0.5958681373985472,-0.9411289265262133,-0.025933056387292024,0.3668581204937065
shock.dn2.0.L,L,11,0.3523076923076923,4550,1603,0.051266770755277004,-0.5708309945886398,-0.8813305142104891,-0.0184298616570702,2316,847,0.028049647078936545,-0.5029765250780719,-0.7929840926349996,-0.005700316542123583,0.3657167530224525
shock.dn2.0.S,S,13,0.35406593406593406,4550,1611,-0.04191744902904962,-0.5121939031649049,-0.7929507517524046,-0.019640649777498475,2316,910,-0.052729853788701035,-0.5261279914170363,-0.8666517980952033,-0.012206522904298606,0.39291882556131263
shock.dn3.0.L,L,9,0.3442622950819672,1830,630,0.059063145136056726,-0.5308664398690687,-0.8095713208003297,-0.0015202180091549362,928,354,0.05109881529093036,-0.48140568099138425,-0.7783004737979173,-3.550574269876537e-05,0.38146551724137934
shock.dn3.0.S,S,12,0.35300546448087433,1830,646,-0.013177716432031021,-0.5199892912748091,-0.8036996647237336,-0.019050444909924073,928,388,0.05340498666588814,-0.6043854868850256,-1.0386476515357477,-0.008903088690819445,0.41810344827586204
shock.up2.0.L,L,15,0.34536928487690505,4265,1473,0.07904808181199496,-0.5694312004154629,-0.8698510278552827,-0.005363242954222784,2146,779,0.11459346492610088,-0.55526679257804,-0.8716916875438727,0.006046989320328759,0.3630009319664492
shock.up2.0.S,S,14,0.3533411488862837,4265,1507,-0.10471312970253345,-0.44600840158575583,-0.6897120495878348,-0.04278433526538889,2146,698,-0.10905083538054042,-0.5017399491909096,-0.7436007810522735,-0.024136282126665826,0.32525629077353213
shock.up3.0.L,L,13,0.35294117647058826,1513,534,0.10138216252556673,-0.5284726618447014,-0.8167304773963567,-0.010602653631231217,748,263,0.11383310860350074,-0.5999235443427298,-0.9252429096254884,0.027417550963596007,0.3516042780748663
shock.up3.0.S,S,11,0.3502974223397224,1513,530,-0.1540466577469926,-0.4339632885693849,-0.6679414604328375,-0.03227250427363449,748,237,-0.017328497808876783,-0.586681592615832,-0.8587824486822746,-0.02557369293791323,0.31684491978609625
