stop,target,hold_h,n,pts,sd,se,t,sharpe,pf,win,mde,need_n,med_min,trigger,hold_pts
50,30,2.0,1399,-4.452258756254466,37.8510196752936,1.0119725359320155,-4.399584571881672,-1.7261696239875868,0.7783046653575746,0.5789849892780558,2.8351272978034294,-1,15.0,donch20 long,-6.63101796407186
50,30,4.0,1386,-4.256810966810964,38.57894969781608,1.0362601198160066,-4.107859489533172,-1.6215822907970812,0.7919960683331595,0.5930735930735931,2.9031710337964975,-1,15.0,donch20 long,-6.751077844311376
50,40,1.0,1380,-1.3842028985507229,39.98516542924454,1.076364470895354,-1.285998317465179,-0.49926573034262156,0.9283473835279252,0.5347826086956522,3.0155267909624097,-1,15.0,donch20 long,-2.9770624048706025
50,40,2.0,1347,-2.1534001484780974,42.54441666099977,1.159201075589851,-1.857658859902589,-0.7248400380143397,0.8999750336735052,0.5441722345953972,3.24760059819318,-1,15.0,donch20 long,-3.5239534883720927
50,40,4.0,1329,-1.9777351392024056,43.68249878799896,1.1982432275953834,-1.65052895243255,-0.6452131481977214,0.9113045444268594,0.5560571858540256,3.3569805141351994,-1,15.0,donch20 long,-3.6564596273291903
50,50,1.0,1343,-0.5990096798212937,43.79275437846782,1.1949899559523973,-0.5012675435785465,-0.19769723226106892,0.9710224955946785,0.4996276991809382,3.3478661963897034,-1,30.0,donch20 long,-1.7773634945397483
50,50,2.0,1302,-1.6279416282642072,46.763237577057964,1.2959823266560735,-1.2561449294333076,-0.49631105995922764,0.930155987312232,0.5038402457757296,3.6308049292953077,-1,30.0,donch20 long,-2.504696485623003
50,50,4.0,1281,-1.1330913348946114,48.495726787895265,1.354967590570287,-0.8362497692049661,-0.33045233233260835,0.9535195382599436,0.5128805620608899,3.7960571727638603,-1,30.0,donch20 long,-3.1410400000000003
50,75,1.0,1295,-0.039034749034749176,50.26436630006097,1.3967713790611014,-0.02794641243364252,-0.011186864420593415,0.9982681084592363,0.4548262548262548,3.9131740486608475,-1,45.0,donch20 long,-0.5602127659573981
50,75,2.0,1226,-0.9776019575856449,55.13580526004195,1.5746661319593107,-0.6208312592392163,-0.24875236526104044,0.9627299139287203,0.4396411092985318,4.41156135876033,-1,45.0,donch20 long,-1.6354855195911597
50,75,4.0,1193,0.002539815590945549,58.43216470533423,1.6917327383874379,0.0015013101852994256,0.000602266147302304,1.0000905933325102,0.4358759430008382,4.739533432864019,4154389924,45.0,donch20 long,-2.6816239316239434
50,100,1.0,1265,0.8981422924901187,55.325984622719616,1.5555496910998874,0.5773793647537331,0.23370236819631401,1.0384857061076136,0.43478260869565216,4.358005020625638,29783,60.0,donch20 long,-0.20389830508468057
50,100,2.0,1188,1.1308754208754201,62.06921675286961,1.800810626557612,0.6279813125254461,0.2499155613449019,1.0415343226697615,0.4158249158249158,5.045124431984559,23644,60.0,donch20 long,-1.2579715302491374
50,100,4.0,1145,2.2156768558951954,66.67590839053622,1.970453533169032,1.1244501931145652,0.44595302017970995,1.074631388103516,0.4034934497816594,5.520393491504832,7107,45.0,donch20 long,-2.620053667262983
50,150,1.0,1239,0.6938579499596463,60.28230354327748,1.7125930856643237,0.4051505029231712,0.16348250106843112,1.0288716969447433,0.420500403551251,4.797975473439646,59244,60.0,donch20 long,0.0029577464789422043
50,150,2.0,1149,1.765700609225415,70.41971257488771,2.07746747795436,0.849929362535227,0.34105379175073325,1.0619169884658897,0.38990426457789384,5.8202021773473644,12484,75.0,donch20 long,0.7798884758364306
50,150,4.0,1094,2.927550274223037,78.04907447602604,2.35971251823308,1.2406385318560524,0.4980758852634826,1.09157336557008,0.3583180987202925,6.610935710077925,5578,75.0,donch20 long,-0.903883677298317
