family,mkt_res_n,mkt_res_R,mkt_res_Rk,mkt_res_hold,mkt_res_fill,mkt_lk_n,mkt_lk_R,mkt_lk_Rk,mkt_lk_hold,mkt_lk_fill,lim_res_n,lim_res_R,lim_res_Rk,lim_res_hold,lim_res_fill,lim_lk_n,lim_lk_R,lim_lk_Rk,lim_lk_hold,lim_lk_fill,delta_res,immed_res,delta_lk,immed_lk
don.break30,14153,0.07456182249932014,-0.04318188395730767,202.57909983749028,1.0,7739,0.0712305173120699,-0.019589881375425115,208.30326915622175,1.0,2240,0.08652657557405775,-0.025955177809085288,188.76875,0.15827033137850632,1188,0.2254013482976118,-0.01700596879892924,200.12794612794613,0.15350820519446956,0.011964753074737614,-0.04318188395730767,0.1541708309855419,-0.019589881375425115
don.break55,10476,0.12276792079316,-0.04121187123868521,206.3491790759832,1.0,5825,0.09145149299592208,-0.021633053216798627,210.91450643776824,1.0,1699,0.08231093305980314,-0.03943918134161611,186.32901706886403,0.16218022145857197,895,0.3062885787371621,-0.0014972828218175664,209.35307262569833,0.1536480686695279,-0.04045698773335686,-0.04121187123868521,0.21483708574124,-0.021633053216798627
don.low10,20416,0.017873595876291896,-0.03783967425750418,198.10952194357367,1.0,11329,-0.0023586955905565373,-0.021761600921701464,193.06655485921087,1.0,3978,-0.014796538466505466,-0.05912605181987901,172.05857214680745,0.19484717868338558,2398,-0.06529113712866258,-0.04024894988091705,171.4624687239366,0.21166916762291466,-0.03267013434279736,-0.03783967425750418,-0.06293244153810604,-0.021761600921701464
don.low100,5818,0.017808139256136366,-0.03277320226763762,207.38982468202133,1.0,3086,-0.038456026149613555,-0.03320531989085317,198.14322747893715,1.0,1141,-0.03265268932313262,-0.05682079755529824,175.19894829097282,0.1961155036094878,722,-0.07544476744224887,-0.035039260595261176,177.33518005540165,0.2339598185353208,-0.05046082857926899,-0.03277320226763762,-0.03698874129263532,-0.03320531989085317
don.low20,13733,0.0136647892427973,-0.042150197801601647,196.91225515182407,1.0,7497,-0.034604604414897655,-0.01456604394326701,192.82232893157263,1.0,2747,-0.0348618097815119,-0.0660478701720145,169.5879140880961,0.20002912692055633,1659,-0.07990902960792394,-0.0272902826573046,171.44544906570223,0.22128851540616246,-0.0485265990243092,-0.042150197801601647,-0.045304425193026285,-0.01456604394326701
don.low200,3763,0.05927711750166598,-0.0074050299512876385,229.92612277438215,1.0,2004,0.0029607924572985157,-0.038582206052364766,208.1806387225549,1.0,674,0.028263135118206904,-0.02887244397319555,194.0608308605341,0.17911241031092215,454,-0.03234393669020038,-0.044298379772122684,181.27092511013217,0.22654690618762474,-0.031013982383459072,-0.0074050299512876385,-0.035304729147498895,-0.038582206052364766
don.low30,10982,0.02788125398561813,-0.038775244987577444,199.35995264979056,1.0,5977,-0.01800340897905727,-0.024023005712285706,193.2615024259662,1.0,2246,-0.04975139322852042,-0.06112832920470998,167.92564559216385,0.2045164815152067,1334,-0.05260722837800255,-0.034371834578486256,171.54122938530733,0.22318889074786682,-0.07763264721413855,-0.038775244987577444,-0.03460381939894528,-0.024023005712285706
don.low55,7812,0.03462106078481731,-0.030963690050726037,202.7878904249872,1.0,4303,-0.03170767952320318,-0.03405520868136779,194.25702997908436,1.0,1603,-0.012517450259531285,-0.04920052559854006,172.7442295695571,0.20519713261648745,994,-0.06391534854017196,-0.05355460805692246,171.03621730382295,0.23100162677201952,-0.047138511044348595,-0.030963690050726037,-0.03220766901696878,-0.03405520868136779
ema.above20,9235,-0.017913985017171338,-0.041186481808145436,202.28413643746617,1.0,4925,0.08783998050981576,-0.011079872807311547,206.90456852791877,1.0,1398,0.044904628264940655,-0.03806894694540352,187.23319027181688,0.15138061721710883,748,-0.05011564326308296,-0.02854775042966551,188.97459893048128,0.1518781725888325,0.062818613282112,-0.041186481808145436,-0.13795562377289872,-0.011079872807311547
ema.above200,2541,0.1004931091660773,-0.004354027497309249,215.52184179456907,1.0,1409,0.1609831920279389,-0.027425319223557117,206.52022711142655,1.0,403,-0.05869051618045742,-0.04129558571706715,176.2059553349876,0.15859897678079496,212,-0.01239961860347777,-0.028907666260738873,183.3490566037736,0.15046132008516677,-0.1591836253465347,-0.004354027497309249,-0.17338281063141667,-0.027425319223557117
ema.above50,5656,0.008291594773410555,-0.04003833690115244,202.36598302687412,1.0,3000,0.03156775026782309,-0.0246626957980691,200.908,1.0,895,0.005935405279219893,-0.06359056525891812,184.55977653631285,0.15823903818953325,451,-0.21898535363420388,-0.04049035046997557,176.42128603104211,0.15033333333333335,-0.002356189494190662,-0.04003833690115244,-0.25055310390202695,-0.0246626957980691
ema.below20,9240,-0.01048212507432833,-0.03610558434587269,198.9280303030303,1.0,4923,0.08769752565074927,-0.027365746587452625,197.20495632744263,1.0,1582,0.12306066889700872,-0.043163561219308304,186.59228824273072,0.1712121212121212,915,0.03447981726202892,-0.07851529916064316,168.79234972677597,0.1858622790981109,0.13354279397133706,-0.03610558434587269,-0.05321770838872035,-0.027365746587452625
ema.below200,2544,0.09091780512501621,-0.0028286732237921934,211.46737421383648,1.0,1408,0.17184183845748652,-0.041313939668683575,193.2990056818182,1.0,497,0.008287304990752871,-0.017809643991731884,188.72233400402413,0.19536163522012578,282,0.14383877876299747,-0.05764083657462421,171.96453900709218,0.2002840909090909,-0.08263050013426335,-0.0028286732237921934,-0.028003059694489046,-0.041313939668683575
ema.below50,5657,0.005017208533423084,-0.03759164034265503,197.5773378115609,1.0,2999,0.0025414139453585113,-0.04302497193020967,191.37945981993997,1.0,1106,0.04437490451680062,-0.03055068230559094,176.91500904159133,0.19550998762595015,617,0.09486690091678042,0.009064332996853657,179.43435980551052,0.20573524508169388,0.03935769598337754,-0.03759164034265503,0.09232548697142191,-0.04302497193020967
gap.up,107,0.10148072238108333,-0.07806416762211878,299.0093457943925,1.0,77,0.14188719549616144,0.01599889901046759,284.23376623376623,1.0,20,,,,,18,,,,,,-0.07806416762211878,,0.01599889901046759
