tf,ema,xr,end,fast,slow,uniq,n,pct,pf,win,mde,ratio,t
3.0,3.25/12.0,3.5,590,1,4,0,27,-0.02386698781204617,0.6120296583595745,0.5185185185185185,0.06978860366191827,-0.3419897599279484,-0.9582553073181114
3.0,3.25/12.0,3.5,600,1,4,0,27,-0.02386698781204617,0.6120296583595745,0.5185185185185185,0.06978860366191827,-0.3419897599279484,-0.9582553073181114
3.0,3.25/12.0,3.5,615,1,4,1,28,-0.02652126432936896,0.5778695113402887,0.5,0.06765998187925991,-0.39197859048641914,-1.0983240105429464
3.0,3.25/12.0,7.0,590,1,4,2,30,-0.03817258356367451,0.5133828114331651,0.43333333333333335,0.07202217099726445,-0.5300115649821828,-1.4850924050800764
3.0,3.25/12.0,7.0,600,1,4,3,31,-0.03062989157696668,0.5965202069584279,0.45161290322580644,0.07279565771340944,-0.4207653662194256,-1.1789845561468306
3.0,3.25/12.0,7.0,615,1,4,4,32,-0.032741042786970355,0.5726288583665254,0.4375,0.07073188667972745,-0.4628894311164233,-1.297016185988218
3.0,3.25/12.0,14.0,590,1,4,5,41,-0.048970713945134074,0.44213213161205606,0.34146341463414637,0.0622866564402717,-0.7862151661984517,-2.2029748956880617
3.0,3.25/12.0,14.0,600,1,4,6,42,-0.043146390564910195,0.4964938072180989,0.35714285714285715,0.062938206001922,-0.6855357549211459,-1.9208711852890508
3.0,3.25/12.0,14.0,615,1,4,7,44,-0.03914494160814406,0.5341457829531097,0.36363636363636365,0.06194007647578308,-0.6319808407638742,-1.7708103158203754
3.0,6.5/24.0,3.5,590,2,8,8,23,-0.0022855924752322706,0.9620689911243834,0.5652173913043478,0.0866238876181849,-0.02638524474111062,-0.07393145576459195
3.0,6.5/24.0,3.5,600,2,8,9,24,0.005961760045580265,1.103241307102588,0.5833333333333334,0.08609540874629101,0.06924596947031857,0.1940272064558326
3.0,6.5/24.0,3.5,615,2,8,10,25,-0.0023454154312288946,0.9630670860813159,0.56,0.08579761583056496,-0.027336603803311658,-0.07659716385687927
3.0,6.5/24.0,7.0,590,2,8,11,29,-0.01186271695216966,0.8165336814129,0.5172413793103449,0.07637537004174257,-0.1553212370124839,-0.4352101061089799
3.0,6.5/24.0,7.0,600,2,8,12,30,-0.004945597452955053,0.920874913229014,0.5333333333333333,0.07628872985128293,-0.06482736654019525,-0.18164628104562708
3.0,6.5/24.0,7.0,615,2,8,13,31,-0.011293082273009687,0.8314322175251041,0.5161290322580645,0.07590005125800298,-0.1487888622712746,-0.41690639208411145
3.0,6.5/24.0,14.0,590,2,8,14,39,-0.021052037689345552,0.7201439476771263,0.46153846153846156,0.06865220395723148,-0.30664765988372955,-0.8592267429942102
3.0,6.5/24.0,14.0,600,2,8,15,40,-0.015634465046505196,0.7868334899739694,0.475,0.06861415614150607,-0.22786063293209544,-0.6384654934757314
3.0,6.5/24.0,14.0,615,2,8,16,42,-0.015217583939759112,0.7961588803809793,0.47619047619047616,0.06791042588236892,-0.2240831763611416,-0.6278810601639189
3.0,13.0/48.0,3.5,590,4,16,17,19,-0.07943219181318205,0.27378579908677997,0.3157894736842105,0.09253364985750413,-0.8584141221653151,-2.4052763703072126
3.0,13.0/48.0,3.5,600,4,16,18,20,-0.06567803882130951,0.3679306059484833,0.35,0.09587227845756298,-0.6850576608584652,-1.919531565725419
3.0,13.0/48.0,3.5,615,4,16,19,21,-0.0721561144428971,0.33537750468826394,0.3333333333333333,0.09298168009823571,-0.7760250660846709,-2.174422235169248
3.0,13.0/48.0,7.0,590,4,16,17,19,-0.07943219181318205,0.27378579908677997,0.3157894736842105,0.09253364985750413,-0.8584141221653151,-2.4052763703072126
3.0,13.0/48.0,7.0,600,4,16,18,20,-0.06567803882130951,0.3679306059484833,0.35,0.09587227845756298,-0.6850576608584652,-1.919531565725419
3.0,13.0/48.0,7.0,615,4,16,20,22,-0.060332759092539316,0.41781840629743744,0.36363636363636365,0.09464229103525577,-0.63748202238748,-1.786224626729719
3.0,13.0/48.0,14.0,590,4,16,21,24,-0.05551257311679159,0.46296567013754314,0.375,0.09330086662708557,-0.594984538982579,-1.6671466782291862
3.0,13.0/48.0,14.0,600,4,16,22,25,-0.04546603547114918,0.5418301108827688,0.4,0.09381413811922354,-0.4846394837990063,-1.357959833604816
3.0,13.0/48.0,14.0,615,4,16,23,27,-0.042607807792163103,0.5711531411129124,0.4074074074074074,0.091663893917896,-0.4648265087922974,-1.3024438776360174
4.0,3.25/12.0,3.5,590,1,3,0,22,0.003059312749774244,1.0522731542281272,0.5909090909090909,0.0909161455828968,0.033649828973279346,0.09428682078312874
4.0,3.25/12.0,3.5,600,1,3,0,22,0.003059312749774244,1.0522731542281272,0.5909090909090909,0.0909161455828968,0.033649828973279346,0.09428682078312874
4.0,3.25/12.0,3.5,615,1,3,1,23,0.002987218310518528,1.053361367156991,0.6086956521739131,0.08687362001475071,0.03438579294855346,0.0963489918418468
4.0,3.25/12.0,7.0,590,1,3,2,29,-0.01830230677675557,0.7437858321246982,0.5172413793103449,0.0788296862173925,-0.23217530926461383,-0.650555216559448
4.0,3.25/12.0,7.0,600,1,3,3,30,-0.017647406397194917,0.7444349539425071,0.5333333333333333,0.07617881686396705,-0.23165765922445333,-0.6491047611469183
4.0,3.25/12.0,7.0,615,1,3,4,32,-0.010625849530477724,0.8358605579517875,0.5625,0.07358388241828104,-0.14440457857436806,-0.4046216291653793
