mk,tf,read,n,band,stop,tp,cnt,mu,tot,pf,hold,cr
US30L,30,B channel break,20,1.5A,1.5,2.0,3510,-0.012873690502412443,-45.18665366346767,0.9038692981543144,120.0,0.03187756396360962
US30L,30,B channel break,20,1.5A,2.5,0.0,3227,-0.011490156829701904,-37.07873608944804,0.9206248218266996,150.0,0.019408282641830792
US30L,30,B channel break,20,1.5A,2.5,2.0,3320,-0.013150259402439936,-43.65886121610059,0.9092846948067015,150.0,0.01924830705431723
US30L,30,R channel revert,20,1.5A,1.5,0.0,3852,-0.005509821997622669,-21.223834334842522,0.9576471531677677,90.0,0.03166045478083417
US30L,30,R channel revert,20,1.5A,1.5,2.0,3856,-0.006795006636528184,-26.201545590452675,0.947548638621951,90.0,0.031652038081180535
US30L,30,R channel revert,20,1.5A,2.5,0.0,3517,-0.004242788252211457,-14.921886283027696,0.9694169979297311,120.0,0.019072408158766554
US30L,30,R channel revert,20,1.5A,2.5,2.0,3518,-0.0038251572602347544,-13.456903241505866,0.9724195391997802,120.0,0.01906735820626907
US30L,30,S slope state,50,2.0s,1.5,0.0,2842,-0.0102100355129959,-29.01692092793435,0.9503402651950088,240.0,0.030910580918529273
US30L,30,S slope state,50,2.0s,1.5,2.0,5622,-0.01207427874653819,-67.8815951130377,0.9385678857455791,150.0,0.02972707298049348
US30L,30,S slope state,50,2.0s,2.5,0.0,2093,-0.01580339565349944,-33.07650710277433,0.940897013169358,510.0,0.01810477549992543
US30L,30,S slope state,50,2.0s,2.5,2.0,3025,-0.018911144748055383,-57.20621286286753,0.9300292006137723,420.0,0.017340947346600345
US30L,30,X slope cross,50,2.0s,1.5,0.0,1063,0.016346153211099265,17.375960863398518,1.0714683761085404,450.0,0.03110558683140481
US30L,30,X slope cross,50,2.0s,1.5,2.0,1276,-0.0056001061108037565,-7.145735397385593,0.9729290739125218,240.0,0.030833929778927786
US30L,30,X slope cross,50,2.0s,2.5,0.0,916,0.025756002969866503,23.592498720397717,1.0875351864179996,990.0,0.01806330398906715
US30L,30,X slope cross,50,2.0s,2.5,2.0,1077,0.00010251319280140215,0.11040670864711011,1.000358271549864,660.0,0.017908368519464462
US30L,30,V close>value,50,2.0s,1.5,0.0,6512,-0.0038356939342198172,-24.97803889963945,0.9735712524045699,150.0,0.03469911545418553
US30L,30,V close>value,50,2.0s,1.5,2.0,8639,-0.0063820017774471735,-55.13411335536613,0.9558413444449025,120.0,0.03331812800718159
US30L,30,V close>value,50,2.0s,2.5,0.0,5952,-0.0062334407229717005,-37.10143918312756,0.960798207948811,180.0,0.020814916542084175
US30L,30,V close>value,50,2.0s,2.5,2.0,6756,-0.005531763108644361,-37.372591562001304,0.9659425167555784,180.0,0.02009227251734788
US30L,30,B channel break,50,2.0s,1.5,0.0,2324,-0.004391698916316984,-10.206308281520672,0.9753034320258895,270.0,0.030104156505512514
US30L,30,B channel break,50,2.0s,1.5,2.0,2788,-0.00036858601919388954,-1.027617821512564,0.9978490244722376,180.0,0.02926480259691578
US30L,30,B channel break,50,2.0s,2.5,0.0,2157,-0.012067993352574148,-26.030661661502435,0.9415039419063279,360.0,0.018197219373742683
US30L,30,B channel break,50,2.0s,2.5,2.0,2373,-0.007911740114210362,-18.77455929102119,0.9610987880207604,300.0,0.01766385269071118
US30L,30,R channel revert,50,2.0s,1.5,0.0,3224,-0.0013013364232355188,-4.195508628511313,0.9925021473610425,150.0,0.028816622888528022
US30L,30,R channel revert,50,2.0s,1.5,2.0,3239,-0.007222592916765661,-23.393978457403975,0.9580391098269803,150.0,0.028816687869706713
US30L,30,R channel revert,50,2.0s,2.5,0.0,2735,-0.0024412307020784184,-6.676765970184475,0.9877816036382867,240.0,0.017600219312588646
US30L,30,R channel revert,50,2.0s,2.5,2.0,2739,-0.0007259074897968859,-1.9882606145536705,0.996357457797324,240.0,0.017600219312588646
US30L,30,B channel break,50,1.5A,1.5,0.0,3499,0.0008477944467162266,2.966432769060077,1.0050222657081231,270.0,0.035687881941548115
US30L,30,B channel break,50,1.5A,1.5,2.0,4704,-0.003252503654902897,-15.299777192663228,0.9800576611699775,180.0,0.0337857331610875
US30L,30,B channel break,50,1.5A,2.5,0.0,3049,-0.0014576907485125174,-4.444499092214666,0.9927050941246086,360.0,0.021490697834956825
US30L,30,B channel break,50,1.5A,2.5,2.0,3550,-0.004296657236583847,-15.253133189872656,0.9780885143904436,300.0,0.02062508270283611
US30L,30,R channel revert,50,1.5A,1.5,0.0,5435,-0.006947436602376567,-37.75931793391664,0.9576675514610937,150.0,0.033054812551043554
US30L,30,R channel revert,50,1.5A,1.5,2.0,5583,-0.01057880775897954,-59.061483718382775,0.9344630958437344,150.0,0.033076938271075634
US30L,30,R channel revert,50,1.5A,2.5,0.0,4254,-0.008734584876377426,-37.15692406410957,0.9547986102633682,240.0,0.020031390954040995
US30L,30,R channel revert,50,1.5A,2.5,2.0,4282,-0.00812952466261555,-34.81062460531979,0.9578805163042708,240.0,0.019963119164703377
US30L,30,S slope state,100,2.0s,1.5,0.0,1888,0.012884609028518072,24.32614184584212,1.0579029362901269,270.0,0.030531920348436985
US30L,30,S slope state,100,2.0s,1.5,2.0,5024,-0.0062292135389684575,-31.29556881977753,0.9706327836075247,180.0,0.02922032394658649
US30L,30,S slope state,100,2.0s,2.5,0.0,1335,0.012113958336587863,16.172134379344797,1.0395635161930423,630.0,0.01792468661224305
US30L,30,S slope state,100,2.0s,2.5,2.0,2462,-0.005108741747908405,-12.577722183350494,0.9836792986829128,510.0,0.01695301217549945
US30L,30,X slope cross,100,2.0s,1.5,0.0,543,0.10325335982883423,56.06657438705698,1.4443132508674708,510.0,0.03216192994899939
US30L,30,X slope cross,100,2.0s,1.5,2.0,655,0.010383539179083197,6.801218162299493,1.0540029272344906,240.0,0.03271731373551372
US30L,30,X slope cross,100,2.0s,2.5,0.0,498,0.11268173789026087,56.11550546934991,1.3394019353103017,975.0,0.019341565328425403
US30L,30,X slope cross,100,2.0s,2.5,2.0,620,0.000980190189657535,0.6077179175876717,1.0031325318652067,630.0,0.019397981015952897
US30L,30,V close>value,100,2.0s,1.5,0.0,4552,-0.005165920337570925,-23.515269376622854,0.9700567380500195,150.0,0.03400661803433826
US30L,30,V close>value,100,2.0s,1.5,2.0,6899,-0.010496400509071097,-72.4146671120815,0.938504139841374,120.0,0.03202170253188415
