sym,n_entry,fast,slow,mode,atr,stop,targ,n,exp,excess,z,p,pf,wr,sel
NAS,10,8,21,sep0.25,pct0.2-0.8,1.0,2.0,1007,-2.9884774887671246,-0.18912470250521363,-0.2153009104019907,0.5533333333333333,0.7323655260275007,0.3157894736842105,0.40793060718711277
NAS,10,8,21,sep0.25,pct0.2-0.8,1.5,2.0,1007,-3.001033394549057,-0.13604813562429197,-0.12992932360707657,0.5666666666666667,0.7785769965008423,0.4051638530287984,0.40793060718711277
NAS,10,8,21,sep0.25,pct0.2-0.8,2.0,3.0,1007,-2.405970661005882,-0.32761236445489983,-0.2417504965195217,0.5866666666666667,0.8574800587896348,0.4041708043694141,0.40793060718711277
NAS,10,8,21,sep0.25,exp>1.2,1.0,2.0,1154,-3.2520409278649436,-0.5836617597297518,-0.6874238079487112,0.7666666666666667,0.7402491673092422,0.3379549393414211,0.4982651796778191
NAS,10,8,21,sep0.25,exp>1.2,1.5,2.0,1154,-3.2229464204345897,-0.7992246719360518,-0.726252483194288,0.7866666666666666,0.7801472485771549,0.4098786828422877,0.4982651796778191
NAS,10,8,21,sep0.25,exp>1.2,2.0,3.0,1154,-3.0799922662556996,-1.050760034507387,-0.8647521275679689,0.7866666666666666,0.8190903604884068,0.40814558058925476,0.4982651796778191
NAS,10,8,21,sep0.5,none,1.0,2.0,1054,-1.8989275915945882,0.7256560439596356,0.8078667918476867,0.2,0.8266053779295428,0.3444022770398482,0.5218091697645602
NAS,10,8,21,sep0.5,none,1.5,2.0,1054,-2.81884690893301,0.06140569017901276,0.06083151812373714,0.46,0.7889673026698684,0.4089184060721063,0.5218091697645602
NAS,10,8,21,sep0.5,none,2.0,3.0,1054,-1.9047599929767578,0.3464524983852806,0.2847825341843254,0.4,0.8798924160652498,0.4117647058823529,0.5218091697645602
NAS,10,8,21,sep0.5,pct<0.8,1.0,2.0,792,-1.878736526099351,0.7168617336046148,0.7244214121659178,0.24666666666666667,0.8162013813423975,0.32954545454545453,0.32292441140024786
