,rng.width,rng.width_pct,rng.brk,rng.brk_pct,rng.ext,rng.mins,mom.gap,mom.age,mom.age_opp,mom.slope,mom.gate,mom.ret30,mom.side,vol.park30,vol.rv30,vol.atr_tod,vol.rng_tod,vol.atr_pct,pre.gap,pre.h8dir,pre.h8rng,pre.h8act,vlm.bar_tod,vlm.v10_tod,flow.cpos,flow.cvd10,flow.cvd30,flow.cvd_bar,flow.up10,tf.min
pre.h8rng,0.07140219168352574,0.35357944735681457,-0.010504466126527931,0.03026188589706585,-0.018118958564833518,-0.038683079797591655,0.02718491552037035,0.14061621059417928,0.12051335693475405,0.0034046389348201156,-0.10919122842702768,0.08861794546559827,-0.011133539648214352,0.20283899865223567,0.1789217956262761,0.36382091212303896,0.1907702921750766,0.1737459798734507,0.021323698846583066,0.019151542415803424,1.0,0.04551337036643866,0.3370353812009907,0.43773601338621704,0.004968874186746572,0.016766193148567074,-0.004102858865374792,0.06572459475129658,0.029775294250085044,0.005957522627560532
pre.h8act,0.13596008484821712,0.1846283487418775,0.012837499061758281,0.020324122364122517,0.0044459180213985905,0.031723109774860286,0.022008476767671408,-0.0761749676372834,-0.0656067818488129,0.07748288226039281,0.036522393315921366,0.057505343905864606,-0.002938695849466997,0.00010224544146334256,-0.035266647038639756,-0.02188869167751524,0.019692902823703843,0.003430042527255826,-0.0005089229128399005,-0.0020292144506509338,0.04551337036643866,1.0,0.01602682442332402,0.025113373564807185,-0.02361053990984898,0.04674780522685893,0.01844563659825836,-0.013510881208797431,0.07039482970931389,-0.004774778981622744
vlm.bar_tod,-0.0771735834501256,0.28715127241531624,0.03392916683609673,0.10463176127425289,0.00035672369312099385,0.04872206084941528,0.033547427069454516,0.06950823749167578,0.07757195992409707,0.03318533918669491,-0.05344991222618905,0.15201591536410175,0.03669273974680686,0.3047783241275814,0.32342562339160524,0.42293770740285014,0.3550986853505285,0.2484367743888544,0.07302837799371052,0.10096418667197356,0.3370353812009907,0.01602682442332402,1.0,0.780441180481667,0.09375621230828937,0.07047253526881297,0.037319113488905487,0.07581141999964947,0.05078461829961449,0.11702143885697024
vlm.v10_tod,-0.0474729910734122,0.43753350091811727,0.015173456385545573,0.08159521643741666,-0.0035483009195269644,0.0784468074636574,0.07578356359519527,0.09695906274487259,0.09744992830957964,0.050507047473429545,-0.09961358822833988,0.15862462509122852,-0.03092306123212341,0.41170901934634097,0.3849209390771924,0.4575436622484978,0.3477451409068491,0.3131769595819859,0.07534193512003519,0.08173789367301941,0.43773601338621704,0.025113373564807185,0.780441180481667,1.0,0.03897764963287231,0.027437816900378754,-0.00016030095725814606,0.03667071729814612,0.0532929631012451,0.12104100756983117
flow.cpos,-0.000317461636368457,-0.029050877507703677,0.5633038053242967,0.5785092584031087,0.1315807788631785,-0.009803633652655321,-0.05152029555091092,-0.1572247191583237,-0.1381271992422105,0.4066678737847726,0.15435610765779026,0.5329326143638485,0.01762506108389091,0.009696706707645653,0.06050333923923184,0.12982081986882524,-0.019668526647922145,-0.021031866667911236,-0.09367916850101565,-0.03493154431439827,0.004968874186746572,-0.02361053990984898,0.09375621230828937,0.03897764963287231,1.0,0.4360934830771849,0.24812186116734158,0.6850760520304912,0.2979815405906933,-0.14206288026545968
flow.cvd10,0.02676552017240236,-0.04437847997173878,0.4440667293238515,0.4427881113938597,0.23155700539722396,-0.03285658218729302,0.09721002974069483,-0.16399287642274388,-0.11211927273351503,0.5572649717982815,0.17888113815041587,0.43102007520060076,0.16497310142544172,-0.022082249463346647,0.0025926846548357555,0.10879134844707138,0.01482855061737035,-0.052094048817196766,0.013862281587039582,0.07440967053379172,0.016766193148567074,0.04674780522685893,0.07047253526881297,0.027437816900378754,0.4360934830771849,1.0,0.530023473557403,0.5592851377884976,0.8833790307945204,-0.1481439526141838
flow.cvd30,0.07531783663925645,-0.02456769293279455,0.5367890835075658,0.5136339021490394,0.467012873841508,-0.11775400500060304,0.22439261538566782,-0.12415791056884734,0.02685035022007795,0.3726445902301659,0.05151989987526524,0.5645474740209243,0.08226463818748544,-0.09635246507401736,-0.07403566072605315,0.07953927559622948,0.11444768907695951,-0.08207951611147064,0.07124738257310613,0.050000908254341885,-0.004102858865374792,0.01844563659825836,0.037319113488905487,-0.00016030095725814606,0.24812186116734158,0.530023473557403,1.0,0.28424726844700504,0.4836731228693459,-0.0424892312253474
flow.cvd_bar,0.03387494773464525,-0.05409016970449973,0.38069786522670956,0.38143729417245054,0.08632679053893562,-0.012257836727888763,-0.08984612220546719,-0.19721487422121514,-0.2506716716986724,0.350173065479173,0.18984394523107545,0.3649883795783765,0.041499011909767757,0.012529450008275338,0.041887322986208425,0.11661092058120005,-0.0743944750845057,-0.0772132772003307,-0.04491303841322603,-0.019523545642737464,0.06572459475129658,-0.013510881208797431,0.07581141999964947,0.03667071729814612,0.6850760520304912,0.5592851377884976,0.28424726844700504,1.0,0.38523845586049793,-0.2677643255143156
flow.up10,0.005093185857196211,-0.01688597765648577,0.3630200239218315,0.3688243024721168,0.2085288866416961,0.012463215654840546,0.14604894008843577,-0.1283988783547699,-0.05450816098095225,0.4778563881677424,0.14636529645893506,0.37023529669878863,0.05180231630400921,0.015106530957868907,0.026897896562108142,0.13177989451626024,0.06700061846552942,-0.010591784531829213,0.03266214051489541,0.10368404618861025,0.029775294250085044,0.07039482970931389,0.05078461829961449,0.0532929631012451,0.2979815405906933,0.8833790307945204,0.4836731228693459,0.38523845586049793,1.0,-0.08658786440418123
tf.min,-0.6484600422323612,0.250228578585703,-0.20876035488688444,-0.03760295005388883,-0.02916470433713763,0.726523921326611,-0.17943922608299834,0.5918846736202538,0.640428727816331,-0.34126430235213473,-0.20357119978090768,0.00892860804238864,0.0017648238724503208,0.5741067000123528,0.543909351818427,-0.17578118445066018,-0.10939584721615805,0.8118142814601772,0.003249953831323352,-0.008940633755410304,0.005957522627560532,-0.004774778981622744,0.11702143885697024,0.12104100756983117,-0.14206288026545968,-0.1481439526141838,-0.0424892312253474,-0.2677643255143156,-0.08658786440418123,1.0
