stop,tgt,be,arm,tr,n_r,pts_r,pf_r,sh_r,dd_r,n_l,pts_l,pf_l,sh_l,dd_l
1.5,2.0,1.0,1.0,1.5,187,-3.575319558331844,0.7818333056469602,-0.9455840280121606,1019.1295742625286,96,3.9769515456804627,1.2387081676026546,0.744579894457161,384.3907608157667
1.5,2.0,1.0,1.5,0.75,187,-3.3172696745730317,0.7975795597088245,-0.8917458284478049,1007.0502735505747,97,3.63105482937396,1.220216718808749,0.7631457394782473,350.65512967268467
1.5,2.0,1.0,1.5,1.0,187,-3.282241031051335,0.79971701434473,-0.8704137759771383,975.5755978549557,97,4.156050897471885,1.2520567534369105,0.8016203724313501,339.8967542738518
1.5,2.0,1.0,1.5,1.5,187,-3.575319558331844,0.7818333056469602,-0.9455840280121606,1019.1295742625286,96,3.9769515456804627,1.2387081676026546,0.744579894457161,384.3907608157667
1.5,2.0,1.5,0.0,1.0,187,-5.00305478783159,0.7396552693068991,-1.1859711489216276,1164.3779194843362,96,6.387525840889971,1.336987005192226,1.0026395653774869,500.1287876946004
1.5,2.0,1.5,1.0,0.75,187,-3.038165416212445,0.8146105558010441,-0.8216372355286772,1018.1333002098424,97,4.132438583949781,1.2506247105591062,0.8803378245517139,321.77021319707444
1.5,2.0,1.5,1.0,1.0,187,-3.630676455911229,0.7787139866090873,-0.9623523385430375,1003.7649260196292,97,3.4685529652227918,1.2099348760102666,0.6703651441011067,367.3549991660783
1.5,2.0,1.5,1.0,1.5,187,-3.8964572104300808,0.7784152166533302,-0.9765863331530282,1049.2835851524094,96,5.249172653447495,1.2909257985089488,0.8592966980559176,521.8427986942796
1.5,2.0,1.5,1.5,0.75,187,-4.841019516304251,0.7480871236274175,-1.179746643211317,1191.6548954888353,97,6.565282231613442,1.3499728753559703,1.112767205340717,377.7024528429855
1.5,2.0,1.5,1.5,1.0,187,-4.546312483138966,0.7634228387927581,-1.0811609077089697,1104.533246987158,97,6.909748333990549,1.368335192170179,1.107124786684818,402.8473642350208
1.5,2.0,1.5,1.5,1.5,187,-4.915189020501924,0.7442275537416452,-1.1644916982869484,1148.087223394731,96,6.494302428148091,1.3426202226947552,1.019180902681376,492.64370451471007
1.5,3.0,0.0,0.0,1.0,185,-7.148079173065388,0.6648001605558859,-1.6698318437570314,1431.9246470171006,95,8.15057274656081,1.3791867367918702,1.0442340726655623,716.9427686989768
1.5,3.0,0.0,1.0,0.75,187,-3.0227000698215094,0.8155542542436833,-0.8165342451436621,1080.6811662341775,97,4.5450971832564715,1.2756516867403505,0.9335125241109173,327.0264153024817
1.5,3.0,0.0,1.0,1.0,187,-4.081244366798829,0.7512523336711459,-1.0980042643585735,1114.4415547737958,97,2.8416066457532545,1.171988822090206,0.5749213794200497,373.56631055379853
1.5,3.0,0.0,1.0,1.5,187,-4.650472264143552,0.7356173745526828,-1.1857742322665803,1196.9585156075489,96,6.328861038401771,1.3504996038286174,0.9408826382225838,519.6794934985073
1.5,3.0,0.0,1.5,0.75,187,-5.157000352533361,0.7316443803034127,-1.2825005292962657,1267.9780681788147,97,6.339357625204845,1.3379296026787115,1.0937796669509732,378.8039147460721
1.5,3.0,0.0,1.5,1.0,187,-5.1633330060356455,0.7313148470401283,-1.2573231656205268,1205.2673157359372,97,5.434523011524117,1.2896959456476977,0.9453856325857409,385.2058538781264
1.5,3.0,0.0,1.5,1.5,187,-5.642335709514912,0.7064719004888669,-1.3658227273615318,1270.909259874238,96,6.613475676811265,1.3486556271011476,0.9645937128387804,490.8994784428139
1.5,3.0,1.0,0.0,1.0,186,-4.535516483673168,0.7247218924630117,-1.1888638165705272,1231.230287385126,96,6.404558321295428,1.3844201679654067,0.9947684017235817,393.38843763049795
1.5,3.0,1.0,1.0,0.75,187,-3.0227000698215094,0.8155542542436833,-0.8165342451436621,1080.6811662341775,97,4.5450971832564715,1.2756516867403505,0.9335125241109173,327.0264153024817
1.5,3.0,1.0,1.0,1.0,187,-3.6294829150448567,0.7785282470930736,-0.9764480467695802,1067.7022993027153,97,3.5703222555253613,1.2165334012147664,0.7238629791495759,362.0969590992662
1.5,3.0,1.0,1.0,1.5,187,-4.221843372920129,0.7423822968215968,-1.1256301390995247,1155.370404766544,96,6.721307931728108,1.4034323983702162,1.0428622083024466,370.88401014446777
1.5,3.0,1.0,1.5,0.75,187,-3.35757891766152,0.7951198818610096,-0.9032114593062784,1080.027987807562,97,4.086545801900452,1.2478413987241674,0.8280704746681274,351.75659157577127
1.5,3.0,1.0,1.5,1.0,187,-3.7328089419389356,0.7722232728494196,-1.0051412753732463,1086.2522266091223,97,3.7750099568128084,1.2289473294191495,0.757323806159857,322.2552439169575
