,0
20182,-302.2997075079063
20185,0.0
20186,0.0
20187,0.0
20188,196.9683603390318
20189,40.83027132072428
20192,0.0
20193,31.03
20194,0.0
20195,0.0
20199,179.47055517400673
20200,0.0
20201,9.28
20202,0.0
20203,-5.5128660386848765
20206,0.0
20207,0.0
20208,0.0
20209,166.1123256008055
20210,0.0
20213,44.53
20214,-79.19618810932181
20215,0.0
20216,0.0
20217,17.30661722555422
20220,0.0
20221,0.0
20222,0.0
20223,16.03
20224,17.132111743213756
20227,-55.35998773762432
20228,0.0
20229,0.0
20230,0.0
20231,23.03
20234,-37.293096311253464
20235,81.28
20236,-22.72
20237,0.0
20238,4.78
20241,183.93513848520394
20242,-45.28618081632041
20243,42.28
20244,0.0
20245,0.0
20248,-58.634263059537915
20249,-38.68003995522915
20250,0.0
20251,90.53
20252,-47.990090381922926
20255,0.0
20256,12.767136601743259
20257,0.0
20258,0.0
20259,-52.3841917287634
20262,-59.12782396418217
20263,-34.47
20264,-15.97
20265,23.03
20266,0.0
20269,6.728510210208042
20270,-65.02981077109027
20271,0.0
20272,-28.971144262347224
20273,2.0300000000000002
20276,0.0
20277,0.0
20278,0.0
20279,0.0
20280,10.53
20283,0.0
20284,37.46908003697405
20285,0.0
20286,7.476320337174257
20287,55.28
20290,0.0
20291,25.168530482250645
20292,5.742365595969459
20293,-37.47
20294,3.0300000000000002
20297,4.53
20298,-29.72
20299,20.28
20300,0.0
20301,0.0
20304,157.23375496507768
20305,6.4977720106265044
20306,0.0
20307,-131.55129475806956
20308,0.0
20311,0.0
20312,0.0
20313,-26.65574040837484
20314,0.0
20315,0.0
20318,-4.72
20319,-30.922646438905502
20320,232.89410373913168
20321,-1.6497583181202948
20322,200.35944464358778
20325,0.0
20326,-45.22
20327,0.0
20328,49.78
20329,188.14698100116337
20332,-20.47
20333,-49.22
20334,-128.03263592249044
20335,50.03
20336,315.7381317400418
20339,0.0
20340,49.12569837845993
20341,46.520055622063666
20342,-23.686102002460245
20343,13.372191033410926
20346,-34.53129977049932
20347,52.05220703069179
20348,0.0
20349,0.0
20350,33.53
20353,0.0
20354,0.0
20355,0.0
20356,0.0
20357,0.0
20360,0.0
20361,0.0
20362,0.0
20363,0.0
20364,-33.78491649552117
20367,0.0
20368,57.03
20369,64.34435011469512
20370,44.88236993828221
20371,0.0
20374,0.0
20375,0.0
20376,28.395655835073995
20377,0.0
20378,0.0
20381,0.0
20382,0.0
20383,89.24859643865537
20384,0.0
20385,-100.75958430527811
20388,-54.98426101956167
20389,4.53
20390,0.0
20391,65.03
20392,0.0
20395,0.0
20396,9.48212591198768
20397,-66.18073834984418
20398,0.0
20399,-129.22
20402,-48.19642776318025
20403,0.0
20404,179.01260081671106
20405,0.0
20406,0.0
20409,0.0
20410,66.93045505482704
20411,0.0
20412,57.03
20413,41.91254518735994
20416,0.0
20417,211.1042910262088
