trial,fast_type,fast_len,slow_type,slow_len,gate,exit,nR,mR,pfR,tR,nH,mH,pfH,tH
2514,linreg,4,tema,166,state,state,62.0,0.03635182997962352,2.60972854848174,2.5803987812937446,55.0,-0.007567596848494712,0.8475553496615199,-0.4791169045142135
2515,hull,2,tema,129,state,state,61.0,0.023116900903004885,1.919829506989861,1.7506693679837848,58.0,-0.011032278401336842,0.7416538094341842,-0.8341462712629288
2516,ema,26,sma,190,14.5,cross,8.0,-0.014199764691263602,0.7756580108988652,-0.2618899352590459,10.0,-0.011320171933022833,0.8306893251110673,-0.23165820507812906
2517,sma,2,tema,153,state,off,53.0,0.01988514756535674,1.4727062042886045,1.0320023002615353,50.0,0.011891917789145287,1.2493020507623422,0.5926679505024142
2518,tema,2,tema,232,state,state,62.0,0.02489296000809923,1.7982269341738693,1.6641704368290466,54.0,-0.009441779023099124,0.8146394170594357,-0.5920319069143443
2519,sma,30,tema,196,state,cross,39.0,0.020322306597423595,1.4147023851120222,0.8554347107301004,40.0,0.002534818607082381,1.056541655255161,0.12284822104366121
2520,sma,8,tema,210,state,state,50.0,0.006300131975220011,1.1435005797441173,0.33741410867972155,49.0,-0.007471436102330393,0.8592804562086901,-0.4020789083248096
2521,sma,2,tema,220,state,state,59.0,0.037987888062701564,2.5498772320083005,2.4988398590115093,54.0,-0.005840796242750642,0.8846758082768459,-0.34947220805084694
2522,sma,3,tema,171,state,state,58.0,0.04558537472400884,3.182283604305028,2.988008598940066,53.0,0.004679466914877707,1.1007591073957936,0.269513464958103
2523,linreg,26,dema,183,state,state,49.0,0.0009876427951598897,1.0196093692991108,0.050957739766438415,54.0,-0.005554161211103323,0.882002097515998,-0.3338709603807813
2524,hull,25,ema,198,state,state,42.0,-0.03385261006194255,0.5512259575819396,-1.5189874806213695,47.0,-0.02899054578530578,0.5545550470687599,-1.5167324541959963
2525,dema,4,tema,162,state,state,61.0,0.03845977013822906,2.7697587708534486,2.6567885655621164,53.0,0.007071058834505947,1.1619545273369238,0.4244662422600715
2526,sma,3,tema,142,state,state,60.0,0.039202879938561155,2.7844565594490622,2.6749351522309612,53.0,0.01121243223004847,1.277434691954791,0.6750758718471498
2527,dema,4,wma,171,state,state,58.0,-0.005337177128021855,0.8905053160755985,-0.32627851638006766,60.0,-0.024086485237302998,0.6081114919707996,-1.5253737249939985
2528,sma,4,tema,210,state,state,54.0,0.023298073499182892,1.7611379796322038,1.446479550596798,53.0,-0.01266895917167218,0.7690220175053957,-0.7333566525534313
2529,hull,8,hull,178,state,state,58.0,0.01896861337358191,1.5537419398325631,1.201957216164634,54.0,0.002525351064585018,1.0531780071994201,0.1465009233637034
2530,linreg,27,linreg,188,8.0,state,22.0,0.012435422535000846,1.3971981658870702,0.5052227227694097,23.0,0.007797538421994186,1.1836484618868934,0.29039123131222255
2531,linreg,13,tema,202,state,off,51.0,0.009297827613079703,1.1951151389842412,0.4674538917779191,50.0,0.0067020063513309625,1.1363386637909614,0.3387377714712642
2532,ema,34,linreg,184,state,state,41.0,0.0163296148510527,1.3627610656764808,0.7421537741854074,50.0,0.015367691829284668,1.396412301424792,0.8506711132890836
2533,tema,5,tema,157,state,cross,62.0,0.03192340444644145,2.3266509512212714,2.2708167281024014,53.0,0.0020398543025399946,1.0447324859464506,0.12493595370474857
2534,sma,3,hull,218,state,state,58.0,0.023186832807712512,1.7646668440643267,1.4972249872438277,53.0,0.007641581341582552,1.16291032539488,0.43314265545139535
2535,sma,48,dema,188,3.0,off,2.0,-0.19576680820294823,0.0,-89.43220810343858,2.0,0.18485965510144325,inf,98.61346889285423
2536,wma,24,ema,197,state,state,44.0,-0.03286841649557312,0.5469386283352635,-1.523949338794484,44.0,-0.048588011124502575,0.4092904233485668,-2.3471776099965123
2537,ema,18,dema,175,state,state,46.0,0.011033781029077294,1.2114438871103308,0.5108981260162827,51.0,-0.011684629167642468,0.7751082953961946,-0.6651166545116678
2538,sma,2,tema,228,state,state,59.0,0.037987888062701564,2.5498772320083005,2.4988398590115093,53.0,-0.0026698459872834955,0.9447773351785981,-0.15849381527091058
2539,dema,24,tema,196,state,state,52.0,0.018663703866028277,1.5025011026113753,1.0463564251644366,50.0,-0.00514392777896537,0.896875726441526,-0.2872395974974772
2540,wma,33,linreg,186,11.0,off,14.0,0.005150578637927158,1.1024491825552603,0.13214747471809987,17.0,-0.0039419426697954165,0.8943034242984993,-0.13946690774036338
2541,sma,5,tema,170,state,state,53.0,0.02606706769460144,1.803256127477303,1.5249318806213608,51.0,0.0007314233141607206,1.015346990312343,0.04117485784639405
2542,sma,4,tema,211,state,state,54.0,0.023298073499182892,1.7611379796322038,1.446479550596798,53.0,-0.01266895917167218,0.7690220175053957,-0.7333566525534313
2543,tema,10,tema,203,9.0,state,34.0,0.018042553982897926,1.5435089679404521,0.869520191427061,37.0,-0.0036475722323754496,0.9259803648896809,-0.18270272139626445
2544,dema,46,dema,187,state,state,43.0,-0.0030563421267695815,0.953756093042054,-0.12919265439039584,47.0,-0.015233476058906468,0.7226046418465945,-0.8102000312410237
2545,ema,53,ema,182,state,cross,43.0,-0.015759376113525493,0.7577758298143362,-0.6966369330244381,43.0,-0.03137474999923127,0.5527424063808152,-1.485591202679819
2546,hull,42,hull,195,10.0,off,31.0,0.03521341973546994,2.3062192681387232,1.5670767801939518,17.0,-0.004178841555607908,0.9292789078517113,-0.11567886974127507
2547,sma,3,wma,151,3.5,state,25.0,0.011386371172037018,1.3253814329673,0.4652238232447484,29.0,0.014225274190426644,1.2779673165068246,0.5478497192742838
2548,linreg,7,linreg,167,15.0,cross,46.0,0.018301094427829737,1.5717934266965623,1.0584769534849996,40.0,-0.005546723306942956,0.8723700289792597,-0.31739376964633986
2549,wma,41,dema,181,6.5,cross,9.0,0.059554935334999164,3.2975354118190676,1.3796142088257568,13.0,0.06938474727485805,3.319503896646269,1.7361181617766717
2550,sma,4,tema,160,12.5,state,41.0,0.019706911713503944,1.816572392970794,1.200764591054566,38.0,-0.005732471658223855,0.8615146627891839,-0.3183438907614634
2551,sma,2,tema,233,state,state,59.0,0.0380559128961874,2.556973759792086,2.5053868491457205,54.0,-0.002607738625420805,0.9452224296579795,-0.15770143639231415
2552,sma,18,linreg,202,2.0,state,5.0,0.03451104490007913,1.8406310573966018,0.47281955799343106,6.0,-0.013314511673817355,0.7012202930004393,-0.2668280661288207
2553,tema,4,tema,215,state,state,61.0,0.03739365058240158,2.628139422456028,2.5751098581484193,54.0,-0.009924375005430353,0.8094031360814673,-0.6166644741819463
2554,dema,2,tema,170,state,state,63.0,0.028865152667232854,2.102073839570034,2.028866969536803,54.0,-0.006465736114315351,0.86798288771405,-0.40865087295391017
2555,tema,15,hull,176,state,off,52.0,-0.006270505055047082,0.8922334844696377,-0.30957728930348805,50.0,0.00042126217419001397,1.0075988581953677,0.020506642664583498
2556,sma,2,sma,143,state,state,57.0,-0.0041173878992359116,0.9147423107648811,-0.25014818313393344,57.0,-0.02763375477578263,0.5659776095212141,-1.6878841480659645
2557,tema,38,hull,494,state,cross,48.0,0.0035900198267736377,1.062926173674892,0.16729520401499498,49.0,-0.01686206383578532,0.7126901619899767,-0.8941815817820571
2558,dema,37,dema,192,1.0,off,8.0,0.023351767134723485,1.9100956870069992,0.5223886412238776,9.0,0.012681342483349416,1.181507621150829,0.21545573487497957
2559,sma,4,linreg,209,state,state,53.0,0.01736205854596319,1.4625696734212277,1.0049248055393094,52.0,-0.007059624913370898,0.8700968995797865,-0.3877518620722093
2560,sma,3,tema,154,state,state,60.0,0.0430827706591216,3.034400726029659,2.9336199226205473,53.0,0.007734772315605695,1.1782114126057521,0.45671886792201466
2561,sma,2,tema,220,state,state,59.0,0.037987888062701564,2.5498772320083005,2.4988398590115093,54.0,-0.005840796242750642,0.8846758082768459,-0.34947220805084694
2562,dema,9,tema,169,5.0,off,29.0,0.009856375583510794,1.2651786679829142,0.4150348464926378,22.0,0.014244903440478247,1.2679080584049094,0.4390310591586464
2563,sma,2,tema,210,state,state,59.0,0.03855734324720442,2.618043830031732,2.5556940420890335,54.0,-0.004810457661418065,0.9044968878711619,-0.28813873070467316
2564,hull,40,linreg,189,state,off,43.0,0.022177538780785367,1.4923972812034436,0.9936354851329258,47.0,-0.0005147990832759969,0.9892986263618075,-0.026450977679614095
