tf,stop_atr,tp_r,block,n,n_signals,p_lower,p_upper,ambiguous,p_star,reach_t,reach_s,win,pf,pts,pf_theory_up,pf_theory_lo,hit_tp,hit_sl,flat,t_tp,t_sl
5,2.0,5.0,locked,1057,12876,0.0681112146629388,0.13560111835973904,0.06748990369680023,0.1727062677257594,0.13560111835973904,0.6234855545200373,0.271523178807947,0.8960550468818653,-3.044997929374889,0.7479333991158172,0.34847240458771933,0.06906338694418164,0.6773888363292336,0.2535477767265847,121.0,26.0
5,2.5,0.5,research,5293,23832,0.2942682108089963,0.7333417254112118,0.4390735146022155,0.6931189427845874,0.7333417254112118,0.5797247398455858,0.6410353296807104,0.8982875712169277,-1.3133017689608857,1.2463216813189815,0.18896548529507326,0.6098620819950878,0.29812960513886266,0.0920083128660495,11.0,18.0
5,2.5,0.5,locked,2802,12876,0.2955886921404163,0.7169928549238894,0.42140416278347315,0.6859933900557634,0.7169928549238894,0.5664026095060578,0.6402569593147751,0.9045612590826386,-1.772598548693207,1.1481436979256572,0.19016925964489084,0.6038543897216274,0.30264097073518914,0.09350463954318344,10.0,18.5
5,2.5,1.0,research,3239,23832,0.22566297415240014,0.5675562269217859,0.34189325276938576,0.5198392070884406,0.5675562269217859,0.5797247398455858,0.4949058351343007,0.9203955016163212,-1.425305996410913,1.2305229027331404,0.2732377735894417,0.41895646804569314,0.42976227230626735,0.1512812596480395,27.0,24.0
5,2.5,1.0,locked,1709,12876,0.2201770736253495,0.535803044423734,0.31562597079838456,0.5144950425418225,0.535803044423734,0.5664026095060578,0.4897600936220012,0.9035474031968191,-2.4865165985663964,1.082214492342162,0.26471987706999367,0.40842598010532477,0.435927442949093,0.1556465769455822,25.0,22.0
5,2.5,1.5,research,2518,23832,0.1822339711312521,0.45073850285330647,0.26850453172205435,0.41587136567075234,0.45073850285330647,0.5797247398455858,0.42414614773629866,0.9419984420893308,-1.1665426141255077,1.1669149697777306,0.31687938279434025,0.30659253375694995,0.4984114376489277,0.19499602859412232,48.0,28.0
5,2.5,1.5,locked,1336,12876,0.18018018018018017,0.4181422802112457,0.23796210003106555,0.41159603403345807,0.4181422802112457,0.5664026095060578,0.4273952095808383,0.9186561673060859,-2.365479165620026,1.0218825716268074,0.3125232363955081,0.29790419161676646,0.5037425149700598,0.19835329341317365,48.0,26.0
5,2.5,2.0,research,2170,23832,0.14988251090970126,0.35876132930513593,0.20887881839543468,0.3465594713922937,0.35876132930513593,0.5797247398455858,0.3815668202764977,0.9344414984576955,-1.398226510675629,1.0665830548783868,0.3361094857951611,0.22995391705069124,0.5423963133640552,0.22764976958525346,66.0,31.0
5,2.5,2.0,locked,1141,12876,0.15159987573780678,0.3333333333333333,0.18173345759552653,0.3429966950278817,0.3333333333333333,0.5664026095060578,0.37510955302366344,0.9116342007152842,-2.7136240154380844,0.9531884353597371,0.340648814687332,0.21735319894829097,0.5495179666958808,0.2331288343558282,59.5,31.0
5,2.5,3.0,research,1825,23832,0.10725075528700906,0.22658610271903323,0.11933534743202417,0.2599196035442203,0.22658610271903323,0.5797247398455858,0.3358904109589041,0.927764344320703,-1.6257771398400291,0.8423347151247947,0.3454094931101696,0.1441095890410959,0.5841095890410959,0.2717808219178082,92.0,38.0
