tf,k,stop_atr,tp_r,block,n,pf,pts,R,win,hit_tp,hit_sl,flat,t_tp,t_sl,t_tp_med,t_sl_med,t_flat
5,4,0.75,1.5,locked,62,0.6603311563015274,-2.0763204780436917,-0.3130132115749732,0.3387096774193548,0.3387096774193548,0.6612903225806451,0.0,12.80952380952381,8.487804878048781,9.0,6.0,
5,4,0.75,2.0,research,87,1.1382018691817761,0.5808328830229434,0.05351673615525535,0.42528735632183906,0.42528735632183906,0.5747126436781609,0.0,20.486486486486488,9.68,15.0,6.0,
5,4,0.75,2.0,locked,56,0.5993230082334663,-2.8161504013078935,-0.4081821216272692,0.25,0.25,0.75,0.0,16.857142857142858,11.642857142857142,16.0,8.5,
5,4,1.0,1.0,research,82,1.0278930676398126,0.11201600011835115,-0.018640606316383073,0.573170731707317,0.573170731707317,0.4268292682926829,0.0,14.659574468085106,12.628571428571428,9.0,8.0,
5,4,1.0,1.0,locked,60,0.6866384227152541,-2.0874126521298,-0.2186252827666637,0.45,0.45,0.55,0.0,11.74074074074074,10.878787878787879,6.0,8.0,
5,4,1.0,1.5,research,79,1.1927367753216656,0.9175677440203994,0.03687449914388783,0.4810126582278481,0.4810126582278481,0.5189873417721519,0.0,20.789473684210527,14.512195121951219,16.0,10.0,
5,4,1.0,1.5,locked,49,0.7016628927631592,-2.3977645261011324,-0.30161247657340123,0.32653061224489793,0.32653061224489793,0.673469387755102,0.0,20.0,16.151515151515152,22.0,15.0,
5,4,1.0,2.0,research,72,1.3025507060391435,1.6155984611010983,0.08777570329434073,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.0,26.833333333333332,20.023809523809526,23.0,12.5,
5,4,1.0,2.0,locked,43,0.6538579992582462,-3.0952396271869826,-0.35183330567874904,0.2558139534883721,0.2558139534883721,0.7441860465116279,0.0,25.727272727272727,18.8125,31.0,15.5,
5,4,1.5,1.0,research,72,1.1896669680938439,1.0707587820877527,0.05639733769626197,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.0,22.5,20.166666666666668,17.0,13.0,
5,4,1.5,1.0,locked,43,0.614817048151002,-4.129444710278008,-0.2870637495069741,0.3953488372093023,0.3953488372093023,0.6046511627906976,0.0,25.941176470588236,23.0,23.0,21.0,
5,4,1.5,1.5,research,68,1.3005744510771795,2.0811280133800674,0.10601730825956103,0.4852941176470588,0.4852941176470588,0.5147058823529411,0.0,32.75757575757576,27.02857142857143,26.0,17.0,
5,4,1.5,2.0,research,65,1.5031472919637179,3.778789655253608,0.2312372452944287,0.4461538461538462,0.4461538461538462,0.5538461538461539,0.0,43.06896551724138,29.25,38.0,19.0,
15,0,0.75,1.0,research,6028,0.8487573050945414,-1.3083013108813795,-0.08987943999900566,0.4905441274054413,0.4558725945587259,0.46383543463835436,0.08029197080291971,10.066957787481805,9.458869814020028,6.0,6.0,3.78099173553719
