feat,fam,dir,n,thr,mfe,mae,mfe_pts,mae_pts,atr_pts,ratio,tf,win,hz,base_mfe,base_mae,base_n
loc.bb_pos,loc,low,4767,0.15849021353217604,1.8570528119634415,2.099703609894592,29.65360813929096,33.569435703796934,14.186452402835966,0.8844356904528388,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
loc.d_hi20,loc,high,4767,3.684795967088186,1.7699283505188665,2.1046624558166585,30.985525487728133,35.761537654709464,15.891596811802952,0.8409559193814253,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
loc.d_hi20,loc,low,4767,0.7047549524820663,1.844033821666262,2.0231996089349775,26.78749737780575,29.601898468638556,13.170071977875402,0.9114443347668353,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
loc.d_lo20,loc,high,4767,4.016553207819408,1.916446555568944,2.086559320588566,30.57557163834697,33.25272708202223,15.258797306824414,0.9184721165887402,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
loc.d_lo20,loc,low,4767,0.9237885980972511,1.9019423745742021,2.1185998195645412,28.61590098594504,32.27695615691211,13.037175166436127,0.8977355501545964,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
bar.close_pos,bar,high,4770,0.8363636363636363,1.9095731622306782,2.0084605449806947,28.68155136268344,30.37961215932914,13.538485753371512,0.9507645878346258,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
bar.close_pos,bar,low,4776,0.1935483870967742,1.9464025768645299,2.032146465439472,29.355632328308207,31.135573701842546,13.271727030696645,0.957806245744005,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
bar.body_frac,bar,high,4772,0.71,1.9088572389710212,1.9889849097911654,29.21678541492037,30.84875314333613,13.551558561966974,0.9597142892207476,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
bar.body_frac,bar,low,4774,0.19444444444444445,1.9935333791741756,1.9981689178233681,29.152178466694597,30.484394637620444,13.419991895735816,0.9976801067177834,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
bar.upper_wick,bar,high,4777,0.44,1.9723109216923633,2.017417727530396,28.71697718233201,30.159357337240944,13.226944200904594,0.9776413158155155,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
bar.upper_wick,bar,low,4787,0.07692307692307693,1.9362171482144712,2.018592019626263,28.77277000208899,30.736212659285567,13.287542587542925,0.9591919166374971,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
bar.lower_wick,bar,high,4785,0.46153846153846156,1.9511245619402975,2.034017071374609,28.855067920585164,30.817136886102404,13.443539530450481,0.9592468959081588,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
bar.lower_wick,bar,low,4767,0.0852383308593106,1.9226650661266413,1.9909046828622843,28.676945668135094,30.37151248164464,13.296184251309246,0.9657243175310953,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
bar.gap_atr,bar,high,4767,0.02508662329190502,2.1065092897638467,2.125538644133911,23.795259072792113,24.793423536815606,9.729518260826131,0.9910472790402651,5,07:00-11:00,30,1.9540444307279325,2.031917236439509,23835
