kind,tf,ent,exn,stop,tp,piv,win,sess,sh,eh,flat,r_pf,r_retdd,r_n,r_pyr,r_tot,r_dd,l_pf,l_retdd,l_tot,l_n
RETDD,30,24,11,1.6775716209713136,0.0,45,300,False,11,19,False,2.0752191550904318,11.875395307138353,147,76.48397435897435,22.444581875484737,357.274509850035,1.1523021391933805,0.27116652218657195,1.2992493104615412,86
RETDD,30,16,10,3.2847086170775115,3.0,30,150,False,4,18,False,0.985547567438388,-0.07825198196765536,227,118.10790598290598,0.4814653321911315,1336.5154140719767,1.079156120331716,0.4979412163609108,2.3804634822775657,111
RETDD,30,33,18,1.3533464485918216,0.0,45,150,False,10,19,True,2.3562308549287048,16.603372003518075,93,48.38782051282051,16.02886012254195,184.6437055830213,0.9948274309248146,-0.009217305000256198,-0.31472807853889284,54
RETDD,30,32,22,1.8966783975947012,4.0,60,150,False,11,12,True,1.9985536651642293,8.991329679887318,96,49.94871794871795,15.071123462691165,296.7817080614718,0.6824917417712887,-0.5156316347582479,-4.711796494998525,55
RETDD,30,36,8,1.034178764745902,0.0,45,150,False,11,17,True,2.0166592674223556,8.821123726106356,96,49.94871794871795,10.80465158333726,221.27134162290963,1.1015097963466072,0.2051277215298366,0.5770285977528867,55
RETDD,30,12,9,1.4468537684796852,3.0,60,600,False,12,15,True,1.1716481318650425,2.4679730389026844,358,186.26709401709402,6.909823806543184,578.1254434801417,1.778212299227403,5.471145520839567,18.25436458608916,194
RETDD,30,14,10,2.612986243833974,0.0,150,300,False,6,19,False,1.3382062982218903,2.0371738708573006,106,55.1517094017094,5.62192251957225,557.1878303217716,1.493847713601964,1.8226438076906046,3.8975336675842356,47
RETDD,30,27,17,1.3709033868684588,0.0,30,600,False,12,19,True,1.337535597710893,3.9164592134800977,313,162.85363247863248,15.366814687056166,775.6695933812596,1.4400360083206194,2.0710733197467803,12.921018570996594,160
RETDD,30,39,8,1.4672435297221247,4.0,60,900,False,7,15,True,1.2967482019649774,3.8918671673926295,266,138.39957264957263,10.20102215503868,490.6314776567542,1.3231480899623251,1.0693553447740247,6.3165640855642975,142
RETDD,15,32,48,3.402963293700786,3.0,45,900,False,11,19,True,1.1869582671766103,3.6464899480097017,535,278.3600427350427,16.23409448738991,810.8596271047286,1.2942164591939802,2.425586260791095,15.784260670164866,240
RETDD,30,26,18,2.1065797524682086,4.0,120,600,False,6,19,False,1.3201662636479625,2.4028188611715158,156,81.16666666666666,7.370891442607029,641.4753498365326,1.2779912937143179,1.2738295700014013,4.6791004067799875,74
RETDD,30,25,34,1.6955522481956118,0.0,60,900,False,11,17,True,1.252476147283548,1.9733416371454018,221,114.98611111111111,10.26111531724104,1030.572746426948,1.1841594244212574,0.47353632894014897,5.31193801726347,109
RETDD,15,44,49,3.5073009506628594,6.0,30,900,False,11,14,True,1.2073440421424257,2.971440390323963,425,221.12713675213675,18.377254005736518,1111.4124333821517,1.2102218198907067,1.4192729435608826,12.535988437586214,210
RETDD,30,16,8,2.040796006225688,4.0,45,1200,True,11,14,True,1.3234384672878086,2.1853776955398785,109,56.712606837606835,4.920604060192387,387.21126936711335,2.6658774150930733,13.702270189719332,7.860976715922702,66
RETDD,30,21,10,1.013458076967606,0.0,60,150,False,11,20,True,2.131842205444827,13.68996810500556,116,60.35470085470085,15.67461099633398,205.82917772485234,1.0156514191910735,0.025640097031920762,-0.5451558792198411,71
RETDD,30,46,19,1.7951695379007147,4.0,60,150,False,5,16,True,1.829264795427764,6.058221305311411,77,40.06303418803419,10.341914174239214,298.9501439027472,0.8874050569578513,-0.19975073569491564,-1.1895151739042749,44
RETDD,15,25,17,1.0445197020536976,6.0,45,150,False,10,20,True,1.1157725651418648,0.5875112102251803,235,122.27029914529913,3.0141225881235156,873.2225029837589,1.2513519673211737,0.8043388507061199,2.210210843779212,106
RETDD,30,25,24,1.151454863013309,0.0,45,150,False,9,20,True,1.9198229856722544,9.212174959975235,102,53.07051282051282,12.581820515160437,246.46316572923138,0.7855514584588101,-0.3800565299840868,-2.7043544523651915,63
RETDD,30,14,13,1.3114755755022216,4.0,60,150,False,12,20,True,1.729266226910888,7.0107474334335755,133,69.19978632478632,13.293540737136286,340.3654574830937,0.9276241636863617,-0.14492006445136044,-1.6781484224371523,77
RETDD,30,11,26,1.338793578709708,0.0,45,900,False,12,14,True,1.3127024551449522,2.7701739935407406,334,173.77991452991452,14.977254675394448,1126.658314734175,1.4381991633209819,1.608975021304656,13.139338642571463,164
RETDD,30,27,19,1.2132268049715191,3.0,45,150,False,12,20,True,1.7737756250286119,9.475795364194203,108,56.19230769230769,10.168062221200628,193.81243786901246,0.9441666634712595,-0.13163786616043385,-0.7556680693906888,64
RETDD,15,35,34,1.5513994829494184,6.0,30,1200,True,8,19,True,1.1215479520023206,1.362035613366961,508,264.3119658119658,10.235336319840446,1187.9163293714619,1.4649771191995082,2.6490357069871386,16.94600939999636,241
