sweep_bar,inv_bar_1m,gap_bars,level,src,side,pen_atr,sweep_ext,atr,zlo,zhi,tf,defn
953891,953894,0,24174.25,prevday,-1,5.060249382382838,24300.5,24.9493632546129,24281.25,24284.0,5,close
956253,956269,3,24349.75,asia,-1,3.5162425712698457,24362.5,3.6260297011862583,24349.0,24350.75,5,close
956998,957054,11,24379.25,240m,-1,0.4951461296132313,24384.0,9.593127595908548,24387.75,24389.5,5,close
957109,957144,7,24384.0,prevday,-1,2.304983997788238,24390.75,2.9284368162542584,24377.5,24381.0,5,close
957443,957494,10,24415.25,60m,-1,0.19943553414653323,24415.5,1.2535378966935504,24409.5,24409.75,5,close
957616,957624,1,24442.75,asia,-1,0.6786028152290268,24445.5,4.052444137108217,24439.75,24440.25,5,close
957887,957899,2,24448.0,60m,-1,0.2402252945347143,24449.0,4.162758971476639,24445.0,24445.25,5,close
959018,959069,10,24417.0,asia,-1,0.27295269527443244,24418.25,4.579548110866696,24421.75,24422.75,5,close
959372,959379,1,24470.0,london,-1,2.0868311832011015,24490.25,9.703707785762262,24455.0,24457.0,5,close
959437,959454,3,24498.5,prevday,-1,0.2521315632312948,24501.5,11.89854995365228,24479.0,24495.5,5,close
960659,960669,2,24533.75,60m,-1,0.5700052309582643,24535.5,3.0701472634873674,24529.5,24531.5,5,close
960730,960744,2,24540.0,60m,-1,0.8523731401156959,24543.5,4.106182885496523,24539.5,24540.0,5,close
961738,961754,3,24647.0,asia,-1,1.017954432246248,24650.0,2.9470867309650712,24638.0,24639.25,5,close
962663,962714,10,24803.5,prevday,-1,0.7587884423011156,24805.75,2.9652533889111554,24799.25,24799.5,5,close
964531,964564,6,24808.25,asia,-1,0.37340845887142393,24809.5,3.3475406630528783,24792.25,24796.75,5,close
964947,965004,11,24679.5,london,-1,2.210047364590673,24699.5,9.049579805591287,24681.25,24687.5,5,close
965752,965774,4,24903.75,240m,-1,0.31256854874406437,24904.5,2.399473661101171,24898.5,24900.0,5,close
965812,965824,2,24857.0,prevday,-1,4.596745449347915,24872.25,3.317564604793014,24862.25,24864.5,5,close
966262,966279,3,24910.0,asia,-1,3.510033902170233,24938.75,8.190804078052935,24909.75,24918.75,5,close
967677,967694,3,25039.5,london,-1,1.2293368949925756,25057.5,14.64204000816937,25031.0,25043.25,5,close
969928,969954,5,25264.25,60m,-1,0.6605512545770365,25266.25,3.027774129776861,25258.5,25259.75,5,close
970083,970109,5,25271.5,asia,-1,0.4116863349068612,25273.5,4.8580674907571915,25275.5,25278.25,5,close
971341,971369,5,25119.5,60m,-1,0.6056361210742238,25121.0,2.4767347055513014,25121.5,25123.25,5,close
971464,971509,9,25149.5,asia,-1,2.244767302487263,25159.5,4.454804731394532,25143.75,25146.75,5,close
974116,974149,6,24921.75,60m,-1,1.1107678584784502,24928.75,6.301946843860541,24905.5,24916.25,5,close
974494,974509,3,24953.25,prevday,-1,3.1165155419506596,25004.0,16.284212068531847,24959.25,24976.25,5,close
975140,975174,6,25050.0,asia,-1,0.9970905415843573,25054.25,4.262401279272827,25051.5,25055.0,5,close
975739,975754,3,25155.75,prevday,-1,0.2867726797410035,25156.75,3.4870825243992636,25146.75,25152.75,5,close
976012,976029,3,25170.0,60m,-1,2.534373282100762,25195.25,9.963015384643764,25173.75,25178.0,5,close
977391,977414,4,25101.5,london,-1,0.6248765002107868,25111.0,15.203004108484489,25092.0,25093.5,5,close
977663,977704,8,25119.25,60m,-1,0.3467074719721262,25122.25,8.652827650167248,25126.5,25153.75,5,close
978688,978704,3,25062.0,london,-1,0.7930284394719198,25076.5,18.284337961013854,25043.75,25061.75,5,close
980070,980074,0,25293.25,60m,-1,7.869750384103091,25396.0,13.056322625880888,25342.25,25344.75,5,close
980942,980984,8,25436.5,60m,-1,1.0399888839381244,25439.0,2.4038718476809615,25437.75,25439.0,5,close
982669,982694,5,25424.5,prevday,-1,1.2601415719204965,25433.25,6.943664263583271,25401.25,25403.0,5,close
982758,982769,2,25453.0,london,-1,3.5743688380886076,25478.75,7.20406907244911,25459.0,25467.75,5,close
