draw,cost_rt,slip,R_res,R_lck
144,0.5728356006472208,0.0020775473224177612,-0.09309712632228746,0.12617279805263526
145,0.2535386433139017,0.05515834538904351,-0.03335074281103496,0.14917456041570104
146,0.42700691374166394,0.08824767119416141,-0.0956248805080828,0.10432513478686119
147,0.4892660165813324,0.028222895290817885,-0.07830119020927417,0.13467339040613518
148,0.5864875132103947,0.0037751439039079627,-0.09773327260166907,0.12334928707695691
149,0.18287162301419868,0.050197403759500096,-0.010987347688817067,0.16279188442366063
150,0.28581120771342444,0.007303303429435338,-0.010785897998931633,0.17571423906953124
151,0.2512537298945981,0.06975610027622874,-0.03840871416031006,0.13944260710600195
152,0.5367678595422185,0.08248960392473925,-0.12483611993664233,0.08659068599046627
153,0.25021425733940617,0.0019279680536230083,0.0018281912198667917,0.1833644473277583
154,0.26930280549828634,0.037804762823708586,-0.026326451408054022,0.1580785408986772
155,0.5420285664802961,0.050005833564206986,-0.11464233299002348,0.0998683571179803
156,0.4078381840954916,0.04198198592721713,-0.06809550623851632,0.125340442830076
157,0.5651756071352272,0.06916976507901025,-0.12821124427455374,0.08477287722087055
158,0.34777309333381984,0.015335791050396086,-0.03210670083272466,0.1627663941946345
159,0.5857191160150919,0.08736131371974465,-0.14051724508390073,0.07693105528226207
160,0.26302212828023963,0.028496694880025687,-0.012534672497818087,0.17445889453980398
161,0.43340639284814847,0.03732755901197415,-0.07375822268697338,0.12934552703210433
162,0.5912007742425418,0.07334820937729672,-0.13715288787301935,0.07924943418402002
163,0.3586635290990959,0.08534270366885177,-0.07507336692132,0.11691182462553341
164,0.2614717016944362,0.04044623786603423,-0.025083888899963377,0.15142881171099948
165,0.46645125730977127,0.05984686334485996,-0.09646310368715796,0.11076508038484992
166,0.4294941351632032,0.09707739208856787,-0.09955873567507113,0.1017883131946362
167,0.45180131348998576,0.02473744837679557,-0.06608531402385844,0.14211442603337854
168,0.44434344821123656,0.09930756261499658,-0.10791668340796197,0.09868169903314421
169,0.3600377621192829,0.09811901351471342,-0.0802264758164347,0.11359396672393393
170,0.5268220362991274,0.010896201910915438,-0.08284806596427605,0.13220320900701876
171,0.4701145669098723,0.05539567666548725,-0.09587155783129964,0.11118727152852369
172,0.4953781397490262,0.08756045060230465,-0.11485056103123165,0.09259755472095417
173,0.16090047828097329,0.09362422521671829,-0.021949825259321157,0.1492664095022488
174,0.24326189417307714,0.014721250613219173,-0.001282722986931477,0.18138177979017525
175,0.4357567704919291,0.07618694420360488,-0.0936880578857737,0.10568696509907136
176,0.3692693715508091,0.06474540607949035,-0.07035403010504879,0.12658186407829625
177,0.42522318014048255,0.07067087804435676,-0.08863114377223626,0.10884907260368894
178,0.5647637681393229,0.03533091020893353,-0.11115231720056439,0.11969230525422803
179,0.4272633477223451,0.005557756411473025,-0.051628207142602654,0.15111030826951224
180,0.3496358996571503,0.04420504122736512,-0.05684039935492462,0.13501856665692136
181,0.3476720640301234,0.07714465528893426,-0.06885225671111114,0.12081199805782528
182,0.5382768711700793,0.021950003452205904,-0.09027542907753257,0.12753466770151906
183,0.411452029416852,0.02236167801821344,-0.053418185801095426,0.14980537416897283
184,0.2733480971648112,0.011113222277368962,-0.008650062154439695,0.1769671352382488
185,0.22709305094689214,0.04856652630934673,-0.023109843070492686,0.15544455842231494
186,0.4387314676338874,0.0971148440974979,-0.10219485214672885,0.10017602236251162
187,0.34305943116296683,0.05010319170731148,-0.057213381518062933,0.13473010680042813
188,0.43117577944766305,0.031227332520946074,-0.06251841370376607,0.14417937112529727
189,0.426816890418608,0.05537937767517353,-0.08338500029017937,0.11877385191033603
190,0.4215321240505168,0.09346377338811601,-0.0959776003920509,0.10403170040081058
191,0.5071892580347415,0.07634571063024563,-0.11417945133247881,0.09319502219634967
192,0.47551625145965193,0.0017751912152873528,-0.06436637465844314,0.14348687381670586
193,0.42738792191108654,0.03260293875985281,-0.07022854540176487,0.14451351370817217
194,0.4586092074275097,0.08804050828203464,-0.10455026569435708,0.0988786231076775
195,0.40118903763557595,0.09957326889270303,-0.09577258766150996,0.10610536538673025
196,0.29704748174326817,0.0624795627440126,-0.04873194123747442,0.13975920848302206
197,0.4501845349766038,0.060162215045004214,-0.09189900380438921,0.1135356452876453
198,0.4773592489882764,0.0685061045162874,-0.10278298614931751,0.10026519067129476
199,0.35720779456469964,0.008203662794376865,-0.03208978645363556,0.16285802363300403
200,0.3198074123753511,0.004254221457829788,-0.019557526450267922,0.17045639097672535
201,0.31895958955903814,0.08346518829641614,-0.0630422298117865,0.1242773544738663
202,0.3672855000280435,0.019131860184802174,-0.03928390286870096,0.15838736449917834
203,0.373550072531952,0.045703895417275146,-0.06433663544686093,0.13045513490371996
204,0.3256856171857488,0.04452952306388496,-0.05003428566891805,0.13914336233114452
205,0.57279817279784,0.027954627712794656,-0.1025259948583542,0.12002244659664128
206,0.5688256393519961,0.08027864534834182,-0.13320377301334219,0.08152673835923097
207,0.5873360226146566,0.09822441231259212,-0.14476969414838875,0.07412435147194783
208,0.26359885716064535,0.014968976857820272,-0.007333024299268677,0.1777269910588229
209,0.42892936625856554,0.09363358073585615,-0.0981424463895472,0.1027062622680848
210,0.5608716028053703,0.07765115396181689,-0.12999903457116774,0.08352909718846019
211,0.5206240088275652,0.08499588481601367,-0.1211259458914885,0.08881065227913454
212,0.5023978327284812,0.08440981659888236,-0.11571800451080677,0.09212097152175622
213,0.3861113395004627,0.025391047305811723,-0.04718372642101989,0.15353510242044083
214,0.4414318235831798,0.04219732000243331,-0.0779085293997519,0.11938825357667586
215,0.17024161777631408,0.06787584522481403,-0.014430786829439848,0.15405713884249791
216,0.5052613248619648,0.07349552687790119,-0.11259686672485762,0.09420717406509646
217,0.39719925460830463,0.07661249912862977,-0.08281685271936932,0.11230691439096643
218,0.20891517428449158,0.036488534395524366,-0.008279167531435854,0.16902328697865396
219,0.5772458434489823,0.036906847026454075,-0.11534590383791471,0.10415628195632257
220,0.3577579134086282,0.00013553526456797638,-0.02909298138208489,0.16475571030954905
221,0.4666578632708469,0.09327668632269223,-0.10873807470832,0.0962371906493504
222,0.2794768190457774,0.07333438398333396,-0.04788319335596629,0.13363512726477733
223,0.35315553974268316,0.027067866607161296,-0.03822503820810204,0.15893272657749344
224,0.472515254432619,0.027515798295539698,-0.07316053946916483,0.1377941520342962
225,0.5846715531819591,0.08457214498915608,-0.13924006462442148,0.07776371911346244
226,0.4205125647854994,0.022919930088166552,-0.05627397246873077,0.14807164836640677
227,0.4252735637180276,0.05514984974600643,-0.08285404458232239,0.11909939309924562
228,0.24342034642444732,0.04449648434343149,-0.02621306169833197,0.15359227070221823
229,0.5548409076699912,0.09650978941051348,-0.13494563694796324,0.08016335238535119
230,0.35523754318758904,0.08386193484488827,-0.07354136063143733,0.11786608513687098
231,0.22535080239799293,0.062248853074051085,-0.028028306293435442,0.15235339404630555
232,0.5109757780956361,0.07697113838371653,-0.11548818905093271,0.09238675369241918
233,0.29197690847148355,0.09334181297814631,-0.05910218136112919,0.1265665124164861
234,0.5803743500558554,0.02141882145394125,-0.1023691753445117,0.12023489062152688
235,0.41003145342820896,0.05322627862453447,-0.07773499383671265,0.1222332730896227
236,0.30820630947300487,0.012946682667997922,-0.01958872089946268,0.1703485623714506
237,0.3444983575233023,0.06853204740742151,-0.06467984013608158,0.12346132269438272
238,0.5401089623831218,0.01191870215459805,-0.08711962816239306,0.1296089493238326
239,0.5505581154395657,0.02634623439672297,-0.09546403860644065,0.12432249468759805
240,0.44734187227540806,0.05407137154385349,-0.08881357917036696,0.11549322028969859
241,0.32412313238990614,0.085902294717357,-0.06543701233806659,0.12278631452710057
242,0.26034836484804497,0.044162078692192665,-0.030979912667404692,0.1507036871733352
243,0.34397376324683754,0.06765233907787116,-0.06419474754236935,0.12376746049848923
244,0.44837739872494986,0.04702938074068008,-0.08647966362163657,0.1170042994886715
245,0.36726097915389566,0.001661036530179927,-0.03248626933579164,0.16269432167253395
246,0.2540078541788571,0.0895379104283293,-0.046848760670270294,0.13409394819896558
247,0.3766333044191417,0.03034656173834284,-0.04631867401529371,0.1539957506664969
248,0.157441686754978,0.003650436796993029,0.028395656592232556,0.1993606488684848
249,0.5763608707583584,0.07374997383930011,-0.1330458726756021,0.0817440719375981
250,0.33102200540704113,0.016483390555930812,-0.027654611327973675,0.16544181429295987
251,0.55130755769889,0.05615474058591179,-0.11954970005656212,0.09678895020015131
252,0.3516041074216988,0.03515472940344836,-0.04918361911128718,0.15722647344042043
253,0.3323971516846091,0.08601737384730737,-0.06783892544024474,0.12131880343062734
254,0.4202680295510719,0.0054080326139097305,-0.049516468124359704,0.15238526775457392
255,0.3629212402446845,0.07910026120403973,-0.07394785082396883,0.117680232938398
256,0.34770607817405175,0.021166501961984854,-0.034353350793469684,0.16134252631623178
257,0.5855095205029675,0.04570508796930639,-0.12565282413973777,0.09325729349636339
258,0.5528935274858501,0.08552984279688583,-0.13051669202838112,0.08306980107228379
