draw,n_res,R_res,pf_res,n_lck,R_lck,pf_lck
169,409,-0.043648496180657026,0.9169381070456007,229,0.09982186892890647,1.2122124391544626
170,277,-0.09435410731498871,0.8227259849900905,158,0.06530029286573698,1.1411968560085266
171,338,-0.11631337169674029,0.7909991317188036,194,0.13037951613078538,1.2881953048638408
172,356,-0.03128801935146631,0.939884846339224,206,0.08598504903051465,1.183870353024977
173,342,-0.10074206460819321,0.8184479434118519,192,0.1103247164992478,1.2376864567715655
174,294,-0.02806334006482013,0.9475241513156973,176,0.10241210406602223,1.2276887892084742
175,461,-0.10955123990222548,0.7972698142822099,265,0.15881520803044408,1.3538119346084263
176,450,-0.06307110106407073,0.8831534476032342,253,0.152911830978349,1.3318420468896113
177,325,-0.047919201099506634,0.9069668771520674,181,-0.02871264891417431,0.9400058488393644
178,388,-0.053837957564531844,0.8976666606660899,220,0.07834280968311362,1.163354080405913
179,316,-0.01924473282337527,0.9631516942254087,179,0.11708152917539183,1.2730718557097673
180,504,-0.1555652323658238,0.7052784618449612,274,0.16259835850972365,1.3716588208064133
181,378,-0.10842988097220567,0.790656219224623,204,0.08614098885570644,1.1967047291858952
182,437,-0.11203961365965208,0.7907535437335264,250,0.17867503782209537,1.4190367347911166
183,421,-0.09768798113006678,0.8165221373513885,239,0.12485147379477281,1.2891096647526505
184,421,-0.08481162017169652,0.8381464800676094,240,0.12209764614729576,1.2721218824609977
185,373,-0.10458967491039886,0.8088430001193958,216,0.17106443285387657,1.3975516556072973
186,320,-0.06688111705471608,0.8740821515928087,183,0.14807239729748448,1.3340496844976437
187,417,-0.06788654088120172,0.8673076587024366,226,0.08992615582727072,1.19419840870261
188,350,-0.08795365846105464,0.8419965576803016,193,0.0521412359476844,1.1037467732702806
189,364,-0.02801004506499879,0.9434489031476913,207,0.17104156459141057,1.4086530463479356
190,488,-0.12092915043069688,0.7678343903590328,275,0.10438670931552846,1.2300665373658066
191,424,-0.10038828778421124,0.8204729451588408,248,0.16313977981510613,1.3497993733957505
192,443,-0.13711151007812766,0.744145917060685,260,0.17788245526754332,1.4150506160203442
193,347,-0.024351524491856465,0.9536785374890724,192,0.06908848828472405,1.1484269060857524
194,382,-0.09470544679881028,0.8248923945695671,216,0.1524506568901211,1.34246640588303
195,303,-0.06767791847213056,0.8763017178901642,182,0.12511983754298506,1.2757775274173444
196,378,-0.09990114476552898,0.8159788335520263,224,0.15545176224087826,1.3518030077084375
197,401,-0.03432790433974714,0.933631461309144,227,0.08674095465488528,1.1941567490483345
198,391,-0.06196991140879043,0.8836033946483595,216,0.10636251687548606,1.2300462940936465
199,421,-0.0960863055682708,0.822751278417151,235,0.13819085101582085,1.3029814916078724
200,459,-0.11350861883670256,0.7872787355456251,258,0.14365122600496677,1.3223038053848344
201,410,-0.1397553022837337,0.7527900893612074,237,0.1780667561248407,1.377746456871278
202,434,-0.1120883760441269,0.7930263011931776,243,0.16884279869427588,1.3841381544761224
203,315,-0.035354860752385066,0.9315302841158303,191,0.17498332497559754,1.412762531264136
204,414,-0.04883356225408672,0.9076691898416854,235,0.1348217443471071,1.2905843356563218
205,404,-0.0543187541750521,0.8989851196777674,232,0.18287578683949524,1.4213824629817375
206,419,-0.08586851781466284,0.8414084457106793,237,0.17088238245385567,1.3839321128790105
207,369,0.011285437707981663,1.0212965667720593,212,0.07973386054291036,1.1635709091481483
208,322,0.001331648963063565,1.0025125064906824,180,0.08977310377438545,1.1910483531168743
209,404,-0.017918888801291354,0.9668198324266585,232,0.10217919481473786,1.2119166575469096
210,273,0.027448378103265784,1.0515272674856222,164,0.08020776389339618,1.1672967053503784
211,300,-0.03705125928981115,0.9286036871433848,178,0.13713417754247295,1.3023010226965
212,318,-0.013151132857315402,0.9742532617551228,174,0.05919894029865711,1.1297749335927592
213,390,-0.03238654351999846,0.93922681943982,222,0.06830428576942442,1.138062412753274
214,406,-0.035541119218275914,0.9321510479859875,220,0.04424836425167815,1.0910645204734915
215,301,-0.06890862252060276,0.8765741558754332,173,0.15116395293793985,1.3300524122561892
216,424,-0.01567789271181172,0.9702634691423965,240,0.12471077563218076,1.2699198212187934
217,384,-0.0322832271238613,0.9379134301537987,218,0.16906947731497515,1.3874901137872024
218,409,-0.1274031148247275,0.7580875766005514,225,0.12390764271217458,1.2807913389113808
219,400,-0.07267158894076382,0.854115901891521,224,0.06170782826361625,1.138868135849425
220,403,-0.13374451425435782,0.7579050249821339,226,0.1232902394136385,1.2672687397334481
221,349,-0.029444250801317233,0.942819837957919,201,0.1495162416368866,1.3455221676791582
222,331,-0.05760368045594509,0.8967910997549295,197,0.1537729044663967,1.3357906415810328
223,448,-0.10482054002461057,0.8119428082569007,261,0.1624354148844325,1.3420644510513235
224,400,-0.05781191826961056,0.894087345362704,219,0.07849472313262867,1.1592318140739029
225,395,-0.02289001984441129,0.9562747406467348,215,0.11543451046360473,1.251209494865997
226,369,-0.10283250218664547,0.8127096969563407,217,0.17191985317434938,1.3897745604634169
227,409,-0.05857391960462086,0.8903406457862386,228,0.1722565789189196,1.3871843243401978
228,302,-0.09740473809500161,0.8091737321237473,166,0.11465118767113644,1.2669225900147545
229,393,-0.1389622378880967,0.7456505879558839,230,0.19690165863474113,1.4699338282297039
230,394,-0.08922876671800328,0.8352847297778659,226,0.16822603205359632,1.380032368401755
231,354,-0.0008627847196242133,0.9982896202192255,198,0.031116997883983876,1.06536503906497
232,463,-0.11167097666560494,0.7979787599023102,264,0.12100314317265878,1.2515483723948504
233,308,-0.022804721716481634,0.9570509815605137,172,0.11197419698700739,1.2306482152471994
234,380,-0.09194638319086448,0.8331794247451514,218,0.1640165213323905,1.3673278909100501
235,472,-0.14042366937477593,0.7499849250873725,264,0.18179002125947982,1.3989258646833684
236,358,-0.12617266848227884,0.77904337646775,208,0.14570741479259836,1.3107785863977044
237,315,-0.014620509967257223,0.9713177257948137,192,0.18035831725223858,1.4181882200044176
238,355,-0.08774497556699896,0.8286986165920127,210,0.17549023995761603,1.4165739173641685
239,366,-0.13890494883107354,0.7523182555756021,209,0.13708703485742132,1.3095936894356723
240,401,-0.03760100998181114,0.9278473492228767,229,0.15420245493756496,1.342001038542302
241,387,-0.10981062315993409,0.792457397362632,224,0.1916401837122995,1.4555712277808242
242,334,-0.07993011509359951,0.8450892071319783,189,0.13146544649758413,1.3103270235472884
243,320,-0.07916237258329188,0.8538851114762153,188,0.0875203705582787,1.1794079303371021
244,413,-0.07359503626979096,0.8603063980874699,228,0.0500350040004401,1.1057548837043276
245,248,0.09512524362269863,1.1821824269999046,147,0.028089009489162715,1.0559890755172467
246,395,-0.1538638076488881,0.7301100644139432,228,0.12035407229840554,1.2636268245174125
247,349,-0.06251511682550669,0.8885612055318344,201,0.1426908446220127,1.310471737555933
248,278,0.003484213373334978,1.0065818090779985,169,0.1457590505701772,1.318112268632529
249,417,-0.09928000426966489,0.8234040317631408,242,0.14611888793150596,1.3117344727244435
250,347,-0.08946094969269254,0.8363594098369742,205,0.1459116551368691,1.3289561390948756
251,381,-0.025339183786826237,0.9504009553060145,212,0.05194618140608113,1.1120028705922653
252,332,-0.0278421737441425,0.9462572039135034,191,0.05269794628348185,1.11196452442806
253,286,0.005333937261036626,1.0104911139120272,165,0.0847945655054828,1.1862995247953885
