ticks,draw,n_res,R_res,pf_res,n_lck,R_lck,pf_lck
1.0,72,450,-0.03812447685557483,0.9269837877117453,250,0.13821308058554632,1.3023905924166024
1.0,73,448,-0.034002425024678255,0.9361168723463524,253,0.17589689073024978,1.3915845667739752
1.0,74,460,-0.05024725175036741,0.9064851944548632,256,0.1473417876413115,1.323697601800573
1.0,75,459,-0.06894620480795569,0.8733456387122349,251,0.08152173956109203,1.1756276242102348
1.0,76,456,-0.047080356572036325,0.9099766720227458,258,0.10305444420696516,1.2167856445010272
1.0,77,455,-0.021988145362819445,0.9588362629856687,257,0.11925786617435534,1.260380432139218
1.0,78,453,-0.078806090206843,0.8546647460367653,253,0.13862913497300644,1.302970641813676
1.0,79,451,-0.0652321345968963,0.8792596287308307,254,0.1120242586426173,1.2427899094963109
1.0,80,465,-0.06889497949112723,0.8736714989017507,249,0.15851853533701113,1.350976304482077
1.0,81,452,-0.024843147509510916,0.9527249897630764,248,0.12736426295313755,1.2743221665729674
1.0,82,459,-0.019758360923388098,0.9626946833710789,262,0.12907084763283785,1.2826007381528501
1.0,83,453,-0.0660228019179159,0.8779071714324078,252,0.07380402509114475,1.1567780330909936
1.0,84,460,-0.01990972381779023,0.9620301436340601,255,0.1593556452929414,1.3461950472356279
1.0,85,461,-0.05194960504131361,0.9036911832342837,254,0.13615327898513638,1.302952922348751
1.0,86,459,-0.014622072580799908,0.9723875294320197,248,0.09559504886543649,1.2043631232728713
1.0,87,463,-0.01741584989480533,0.966227292376183,249,0.1294351151693013,1.2820796903826162
1.0,88,457,-0.04742365466242897,0.9120603658842127,250,0.11406394363044962,1.2501994732446424
1.0,89,460,-0.017474351045094733,0.9671312821720394,256,0.12151175434539697,1.2646624536121567
1.0,90,444,-0.08659846978096813,0.8401065001552331,251,0.11661097556480408,1.2501497653258715
1.0,91,455,-0.041795377900755916,0.9198699647169235,252,0.09743316376911808,1.207488038882433
1.0,92,458,-0.05026901156724158,0.9052771801993487,255,0.1139496342337436,1.245724070615459
1.0,93,448,-0.021915479989823666,0.9582105527183739,255,0.15585427954161818,1.3439897809866705
1.0,94,459,-0.04074510183323525,0.9225653822951497,251,0.10802892812866519,1.2352295755481055
1.0,95,459,-0.06515506281024197,0.8808895392138408,253,0.13266334810740882,1.2933464906106127
1.0,96,461,-0.020524777322913617,0.9607676999153852,256,0.09972737368711923,1.2109007652147328
1.0,97,455,-0.06168910219149551,0.8851666333453252,258,0.15434327555489133,1.3359017179571888
1.0,98,444,-0.11810583326827641,0.7860308575464718,249,0.12874915282663713,1.2778711342976765
1.0,99,453,-0.06721823958875377,0.8759022506844947,251,0.1303155765600623,1.2794139859316485
1.0,100,450,-0.019651301269645455,0.9625192702978215,248,0.1266734842491818,1.2762446560016876
1.0,101,447,-0.047683861959207305,0.9103994805764531,256,0.1434887818463342,1.31550531612172
1.0,102,460,-0.09352057043219335,0.8280423533672642,252,0.14620240326622647,1.3270342728233844
1.0,103,448,0.0007565680384735073,1.001492429314228,247,0.0981855641652481,1.2124996794030374
1.0,104,446,-0.03395282589686494,0.9364660077388464,249,0.10319034970564146,1.2200976910188037
1.0,105,455,-0.038561336769326195,0.9280803085572819,244,0.10316841898070223,1.2276167018939836
1.0,106,453,-0.025383735903465158,0.95198020783681,250,0.11624643804673389,1.2549583290449546
1.0,107,457,-0.057908317850080576,0.8923856975445129,252,0.1016983073296233,1.2238561123079188
1.0,108,463,0.01578616037299566,1.0306082441629314,257,0.14501610771197634,1.3184923862047153
1.0,109,456,-0.07923505596300383,0.8547106112778134,253,0.0705700319483307,1.1459935816831803
1.0,110,455,-0.027215847819215405,0.9495828256460562,252,0.13268656756505035,1.2963505868473943
1.0,111,451,-0.06155447225620912,0.8856418852129483,252,0.1471131685179489,1.3215502170293474
1.0,112,449,-0.05376050524330623,0.8994421935708358,261,0.12561074392447796,1.2737092409410824
1.0,113,472,-0.06627934591810243,0.8770291053477963,250,0.17478286476218297,1.410918017943467
1.0,114,447,-0.08496347093935305,0.8447243607474022,254,0.10886480068556191,1.236926571195567
1.0,115,463,-0.062005263987726454,0.8859122023412684,250,0.14865264846803303,1.3290481053462362
1.0,116,467,0.0014240271999624904,1.0027394499294153,256,0.1216283772464807,1.263719722470068
1.0,117,463,-0.03617469600613455,0.9330644564282793,254,0.12804722781927005,1.281474414753952
1.0,118,450,-0.06803242318796691,0.8752691153341904,252,0.07280035208254046,1.152332093323825
1.0,119,456,-0.051326175364447946,0.90549437209313,257,0.07093855631155624,1.149476021140497
2.0,0,454,-0.1061482596558382,0.8095235751460288,251,0.13827818577357656,1.2968971573970862
2.0,1,457,-0.04267606285074367,0.9213170231027864,262,0.053496352015343994,1.1131535277103437
