sym,rsi,stoch,k,d,os,ob,reset,n,net,ex_crisis
US30,21,21,3,3,20,80,16,1605,-1.9514429620826899,0.9698352567049642
US30,21,21,3,3,30,70,4,1337,-2.925429578543438,0.5008939105880841
US30,21,21,3,3,30,70,8,1480,-2.4095936732496273,1.0228027302390157
US30,21,21,3,3,30,70,16,1827,-2.9477457935379827,-0.16693827357008426
US30,21,21,5,3,10,90,4,481,-0.3817087236312505,1.1681173136056844
US30,21,21,5,3,10,90,8,526,-0.48294588055135607,0.7750499321020867
US30,21,21,5,3,10,90,16,752,-0.7767497885184361,0.7993291382966332
US30,21,21,5,3,20,80,4,813,-0.970355963927283,1.2268238595615462
US30,21,21,5,3,20,80,8,868,-1.1195542073322828,1.399682498221698
US30,21,21,5,3,20,80,16,1140,-0.33497982563393164,0.718646682618214
US30,21,21,5,3,30,70,4,1023,-0.21130971555380412,0.4435591819557999
US30,21,21,5,3,30,70,8,1080,-0.08553022301529227,0.9790499885413879
US30,21,21,5,3,30,70,16,1336,-0.019175275925149195,0.8094799622761707
