sym,rsi,stoch,k,d,os,ob,reset,n,net,ex_crisis
NAS,21,14,3,3,10,90,8,1132,-0.7155953971405009,-0.6525630481511652
NAS,21,14,3,3,10,90,16,1570,-0.6901773189204651,-0.4577247509682588
NAS,21,14,3,3,20,80,4,1311,-0.6509427147523955,-0.9788828630689029
NAS,21,14,3,3,20,80,8,1473,-0.25507566840663476,-0.6050880259746519
NAS,21,14,3,3,20,80,16,1909,-0.6976806869854848,-0.7452763658941189
NAS,21,14,3,3,30,70,4,1539,-0.3919209534967209,-0.7551021993755616
NAS,21,14,3,3,30,70,8,1710,-0.08202753065325637,-0.5772766746304245
NAS,21,14,3,3,30,70,16,2091,-0.8479684256817486,-1.0138061460338044
NAS,21,14,5,3,10,90,4,607,0.7062812374165198,-0.3435733244984576
NAS,21,14,5,3,10,90,8,667,0.38277295033134273,-1.046986387103679
NAS,21,14,5,3,10,90,16,956,1.167903460950782,-0.2862331639014898
NAS,21,14,5,3,20,80,4,994,-0.196724223270545,-0.8943779524070571
NAS,21,14,5,3,20,80,8,1085,-0.1042054476422667,-0.8223045242409377
NAS,21,14,5,3,20,80,16,1391,0.14083390665342943,-0.7388407821975254
NAS,21,14,5,3,30,70,4,1213,0.02632074163285127,-0.973998014713677
NAS,21,14,5,3,30,70,8,1304,0.2889842055260619,-0.9611491521670521
NAS,21,14,5,3,30,70,16,1610,0.22819287734376753,-0.8451372760618383
NAS,21,21,1,3,10,90,4,1511,-0.9788452186088648,-1.2424836766685667
NAS,21,21,1,3,10,90,8,1947,-0.6381781133877752,-0.9837792014565697
NAS,21,21,1,3,10,90,16,2665,-0.5547801951660416,-0.39635461993510374
NAS,21,21,1,3,20,80,4,1785,-0.7857866889844463,-1.1429733484072742
NAS,21,21,1,3,20,80,8,2221,-0.33257040440468605,-0.4367664741653072
NAS,21,21,1,3,20,80,16,2933,-0.7700887965973406,-0.43864725430522583
NAS,21,21,1,3,30,70,4,2099,-0.9407195930458954,-0.7935243105714636
NAS,21,21,1,3,30,70,8,2530,-0.9239356355443354,-0.6408442924117806
NAS,21,21,1,3,30,70,16,3181,-1.1208213533597111,-0.7640280610311904
NAS,21,21,3,3,10,90,4,808,-1.8777710763124311,-1.9314382568490107
NAS,21,21,3,3,10,90,8,935,-1.0979986143645875,-1.3811677960032889
NAS,21,21,3,3,10,90,16,1306,-1.5081516133219404,-0.9224354875960334
NAS,21,21,3,3,20,80,4,1157,-0.40513522309471833,-0.7274570052332647
NAS,21,21,3,3,20,80,8,1301,0.09360050665031325,-0.3568889438503541
NAS,21,21,3,3,20,80,16,1688,-0.8927595773246538,-0.926559616476579
NAS,21,21,3,3,30,70,4,1373,0.3040612667766262,-0.3425395015057192
NAS,21,21,3,3,30,70,8,1536,0.5475626916966173,-0.02185541898301513
NAS,21,21,3,3,30,70,16,1892,-0.48317025750184966,-0.6521166162625015
NAS,21,21,5,3,10,90,4,520,0.373486333818907,-0.4955329807465232
NAS,21,21,5,3,10,90,8,569,-0.10148217431174639,-1.17305556748812
NAS,21,21,5,3,10,90,16,810,1.0149209990347634,-0.48856806334343084
NAS,21,21,5,3,20,80,4,857,0.2933721502720778,-0.242533236661241
NAS,21,21,5,3,20,80,8,924,0.18580433463389956,-0.28725044290321117
NAS,21,21,5,3,20,80,16,1178,0.06908922997407164,-0.5871182034676637
NAS,21,21,5,3,30,70,4,1089,0.3226957607077964,-0.6190583798509117
NAS,21,21,5,3,30,70,8,1166,0.28276988884108706,-0.5054685591112151
NAS,21,21,5,3,30,70,16,1421,-0.07866383151507679,-0.831890127050709
