n,pts,sd,t,mde,pf,win,total,dd,ret_dd,sharpe,per_yr,ratio,n_need,yrs_need,block,ch,arm
287,2.731951219512158,83.93373742838402,0.551413414172781,13.882374132223154,1.077590438228086,0.3170731707317073,784.0699999999892,1314.3900000000026,0.5965276668264272,0.4688568077337367,258.1939655172414,0.19679279592176335,7410.772901191887,28.70234742452576,C forward ISO,15,base
83,3.84373493975902,86.8445966656904,0.4032270654593912,26.709876949689605,1.1081629954602932,0.3132530120481928,319.02999999999867,418.31999999999994,0.7626458213807581,0.336388164782689,74.66933497536947,0.1439068756100611,4007.882713794394,53.67508248354482,C forward ISO,15,+adx<=20
178,5.127415730336974,86.31974510819472,0.7924983803593111,18.128767493367413,1.1462653989092726,0.3202247191011236,912.6799999999814,882.4800000000087,1.0342217387362573,0.6758701364775829,160.13423645320196,0.28283311219104607,2225.151050160352,13.895536016813217,C forward ISO,15,+ema align
274,4.612554744525507,84.65653096606081,0.9018957636481706,14.330235172500787,1.1333479640758983,0.3284671532846715,1263.839999999989,1215.9300000000085,1.0394019392563554,0.7654359188784452,246.49876847290642,0.32187571864674186,2644.686088475357,10.729003251657398,C forward ISO,20,base
77,5.620389610389592,87.49038681690989,0.5637044304952733,27.937214675561588,1.160995952501413,0.3246753246753247,432.76999999999856,418.32,1.0345429336393157,0.4715644860769413,69.27155172413794,0.2011793113830383,1902.4974819686563,27.46434047767583,C forward ISO,20,+adx<=20
175,6.11171428571418,86.72802611777645,0.9322289926396777,18.369975149646784,1.175825494573416,0.32571428571428573,1069.5499999999815,830.1900000000087,1.288319541309785,0.7942469054446659,157.43534482758622,0.33270128216976363,1580.9899148033871,10.04215359984629,C forward ISO,20,+ema align
257,4.586264591439622,84.31751943023,0.8719826560287248,14.737349758468696,1.1328411163130359,0.33073929961089493,1178.6699999999828,1192.5900000000047,0.9883279249364645,0.7461893672329365,231.20504926108376,0.31120009137356347,2653.7114094479416,11.47773985874889,C forward ISO,30,base
70,-2.8742857142857305,82.44818071434679,-0.2916741086516606,27.61214771053613,0.922121153473969,0.2857142857142857,-201.20000000000113,712.2700000000007,-0.28247715051876526,-0.24286724605117604,62.974137931034484,-0.10409497096775895,,,C forward ISO,30,+adx<=20
173,5.673583815028758,86.20446086559616,0.8656668492681889,18.364318632681606,1.162754757715894,0.3236994219653179,981.5299999999752,830.1900000000087,1.1822956190751093,0.7437658318429919,155.63608374384236,0.3089460561271195,1812.5115886159656,11.645831384443817,C forward ISO,30,+ema align
244,3.9972950819671804,84.51220358013498,0.7388251943717112,15.159771086578541,1.1142385288864143,0.3237704918032787,975.3399999999921,1192.590000000005,0.8178334549174385,0.6270900728261964,219.50985221674878,0.26367779956163856,3509.4793780019822,15.987798919096562,C forward ISO,40,base
65,0.44999999999998064,84.61460201998233,0.04287694913316983,29.407409470383868,1.012430675081277,0.3076923076923077,29.249999999998742,571.6099999999984,0.05117125312713008,0.03571739557290051,58.475985221674875,0.01530226592903991,277588.7534040905,4747.0556049938705,C forward ISO,40,+adx<=20
168,6.2082142857141385,86.32574741901054,0.9321396730126535,18.661813172643367,1.179157856042266,0.3273809523809524,1042.9799999999752,830.1900000000087,1.2563148194991078,0.7882812252759469,151.13793103448276,0.33266940507232456,1518.0412003425965,10.044078213537599,C forward ISO,40,+ema align
230,3.0365217391303987,83.97587115027221,0.5483852877162078,15.515248318343808,1.0864577930237067,0.3173913043478261,698.3999999999917,1118.9,0.6241844668871138,0.46826607626609373,206.91502463054186,0.1957120941171334,6004.716503726632,29.020205344915784,C forward ISO,55,base
61,-1.968688524590186,82.28713166863555,-0.18685727159696738,29.52127684813754,0.9455860297149481,0.29508196721311475,-120.09000000000134,549.2299999999957,-0.21865156673889313,-0.1551969596929906,54.877463054187196,-0.0666871062087678,,,C forward ISO,55,+adx<=20
166,6.9130120481926225,86.60533780505172,1.0284346436988168,18.834701726275593,1.200728005471406,0.3313253012048193,1147.5599999999754,777.9000000000087,1.475202468183523,0.8694375158701311,149.33866995073893,0.36703591852206163,1232.2276631322545,8.251229661672484,C forward ISO,55,+ema align
