tf,design,stop,tgt,be,be_off,arm,tr,n,R,pts,pf,win,sharpe,p_flat
3,S1 opening drive,1.5,2.0,0.0,0.0,0.0,0.0,721,-0.2648521906957699,-2.6543805238269678,0.6783855318124108,0.3079056865464632,-2.709127023147081,0.0
3,S1 opening drive,1.5,2.0,0.0,0.0,1.0,1.0,788,-0.26461211296307513,-2.7019397477151097,0.5835987666253496,0.383248730964467,-3.484671727236246,0.0
3,S1 opening drive,1.5,2.0,1.0,0.25,0.0,0.0,787,-0.26245856946964,-2.6609400730001154,0.5814862399640237,0.4383735705209657,-3.3612642001469704,0.0
3,S1 opening drive,1.5,2.0,1.0,0.25,1.0,1.0,789,-0.26145021416185804,-2.657822267001529,0.5815267283682947,0.45754119138149557,-3.440972560074262,0.0
3,S1 opening drive,1.5,3.0,0.0,0.0,0.0,0.0,698,-0.22030968432006345,-2.137303166527559,0.7555388659618025,0.24212034383954154,-1.748086807796215,0.0
3,S1 opening drive,1.5,3.0,0.0,0.0,1.0,1.0,787,-0.2461359714305493,-2.5345976101099486,0.6122340890996499,0.38373570520965694,-3.1113656264542526,0.0
3,S1 opening drive,1.5,3.0,1.0,0.25,0.0,0.0,778,-0.23704742226783873,-2.3119858766032197,0.6209378274323617,0.43444730077120824,-2.4539362852949864,0.0
3,S1 opening drive,1.5,3.0,1.0,0.25,1.0,1.0,788,-0.24283078724048432,-2.4842583359811785,0.610872453509883,0.4581218274111675,-3.0596294636988755,0.0
3,S1 opening drive,2.0,0.0,0.0,0.0,0.0,0.0,631,-0.14138854743185347,-2.954518367696965,0.8601303162110254,0.11410459587955626,-1.1202243140989399,0.11568938193343899
3,S1 opening drive,2.0,0.0,0.0,0.0,1.0,1.0,696,-0.1680961299513473,-2.139588879208213,0.722274164520299,0.4109195402298851,-1.8310352374018628,0.0
3,S1 opening drive,2.0,0.0,1.0,0.25,0.0,0.0,688,-0.16615474751905876,-2.677563892679156,0.7215169400030289,0.4680232558139535,-1.5978183871497245,0.04941860465116279
3,S1 opening drive,2.0,0.0,1.0,0.25,1.0,1.0,699,-0.16779640292927622,-2.146751689290368,0.7203277471755984,0.4721030042918455,-1.8538827267978402,0.0
3,S1 opening drive,2.0,1.0,0.0,0.0,0.0,0.0,729,-0.17568642393205283,-2.422636923240948,0.7026175447345667,0.4828532235939643,-2.691632975649006,0.0
