tf,geom,feature,n_res,kept,keep_frac,base,filt,edge,p,binary,bh
240,V54  20/20 2.0N no-tp,div.exhausted_sellers_k2_w30,337,185,0.5489614243323442,0.07776717706941835,0.14516658007864455,0.0673994030092262,0.23333333333333334,True,False
240,V54  20/20 2.0N no-tp,div.exhausted_sellers_k3_w20,337,113,0.3353115727002967,0.07776717706941835,0.1722770251327603,0.09450984806334195,0.23833333333333334,True,False
240,V54  20/20 2.0N no-tp,cvd.slope10,337,169,0.5014836795252225,0.07776717706941835,0.15429237369657206,0.07652519662715371,0.23833333333333334,False,False
240,V54  20/20 2.0N no-tp,div.absorbed_buying_k3_w10,337,63,0.18694362017804153,0.07776717706941835,0.2176666931204247,0.13989951605100634,0.24166666666666667,True,False
240,V54  20/20 2.0N no-tp,div.exhausted_sellers_k5_w20,337,88,0.26112759643916916,0.07776717706941835,0.19647180025815472,0.11870462318873637,0.24333333333333335,True,False
60,V54  20/20 2.0N no-tp,cvd.z50,1410,705,0.5,0.026027206181531964,0.04069477579927517,0.014667569617743206,0.24666666666666667,False,False
60,V38  70/30 2.5N no-tp,div.exhausted_sellers_k5_w30,574,143,0.24912891986062718,0.05363951908945588,0.10096109825158597,0.0473215791621301,0.25,True,False
240,V54  20/20 2.0N no-tp,cvd.slope50,337,169,0.5014836795252225,0.07776717706941835,0.1424444026332937,0.06467722556387534,0.25,False,False
240,V54  20/20 2.0N no-tp,div.exhausted_buyers_k2_w20,337,113,0.3353115727002967,0.07776717706941835,0.17246270819286855,0.0946955311234502,0.25666666666666665,True,False
60,V54  20/20 2.0N no-tp,div.exhausted_buyers_k3_w20,1410,269,0.19078014184397163,0.026027206181531964,0.058002292160261586,0.031975085978729625,0.25833333333333336,True,False
240,V54  20/20 2.0N no-tp,eff.delta_share50,337,169,0.5014836795252225,0.07776717706941835,0.1424444026332937,0.06467722556387534,0.26,False,False
240,V54  20/20 2.0N no-tp,div.exhausted_sellers_k5_w30,337,112,0.3323442136498516,0.07776717706941835,0.16820554707968466,0.0904383700102663,0.26166666666666666,True,False
240,V38  70/30 2.5N no-tp,div.absorbed_selling_k2_w20,146,61,0.4178082191780822,0.23178743204105454,0.3990724939424634,0.16728506190140888,0.2683333333333333,True,False
60,V38  70/30 2.5N no-tp,div.exhausted_sellers_k5_w10,574,51,0.08885017421602788,0.05363951908945588,0.15739195425361407,0.10375243516415819,0.2683333333333333,True,False
240,V54  20/20 2.0N no-tp,div.exhausted_buyers_k3_w20,337,73,0.2166172106824926,0.07776717706941835,0.17923147448086157,0.10146429741144322,0.2866666666666667,True,False
60,V54  20/20 2.0N no-tp,flow.delta_pos,1410,1104,0.7829787234042553,0.026027206181531964,0.03327079870030814,0.007243592518776178,0.28833333333333333,True,False
60,V54  20/20 2.0N no-tp,div.absorbed_selling_k3_w30,1410,596,0.4226950354609929,0.026027206181531964,0.04087183117320379,0.014844624991671825,0.29,True,False
