n,win,pf,R,pts,sharpe,stop_share,flat_share,chan_share,tgt_share,level,side,window,flat,N,adx,gate,ema,atrx,stop,exN,tp
269,0.48698884758364314,0.8894735100959513,-0.048364163293296965,-0.27593732953729416,-0.5125825960930651,0.3828996282527881,0.23048327137546468,0.0,0.38661710037174724,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,0.0,0.0,1.5,20,1.0
218,0.43119266055045874,0.9257732556946532,-0.04223583576739115,-0.26029269754796147,-0.2582473148472386,0.3394495412844037,0.6422018348623854,0.01834862385321101,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,0.0,0.0,2.5,10,0.0
244,0.4713114754098361,0.899097404875639,-0.038171785314195066,-0.3267914860022615,-0.408046654297771,0.2786885245901639,0.4344262295081967,0.01639344262295082,0.27049180327868855,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,0.0,0.0,2.5,10,1.0
218,0.43119266055045874,0.9265113520534554,-0.04145529298494312,-0.25749909968329293,-0.2552927664778559,0.3440366972477064,0.6559633027522935,0.0,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,0.0,0.0,2.5,20,0.0
244,0.4713114754098361,0.8997908366312337,-0.03747441512331938,-0.3242955665985822,-0.40456311779431536,0.2827868852459016,0.44672131147540983,0.0,0.27049180327868855,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,0.0,0.0,2.5,20,1.0
215,0.4558139534883721,0.929197571878499,-0.038240286872644025,-0.26101858344304674,-0.24038527903243567,0.19534883720930232,0.7302325581395349,0.07441860465116279,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,0.0,0.0,3.5,10,0.0
229,0.4759825327510917,0.9821120455920106,-0.0227459635322336,-0.0606022905006197,-0.062385423313121406,0.16593886462882096,0.5938864628820961,0.06986899563318777,0.1703056768558952,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,0.0,0.0,3.5,10,1.0
215,0.4604651162790698,0.9332086928144582,-0.03725866910397326,-0.24566660430385784,-0.22556438483567762,0.2186046511627907,0.7627906976744186,0.018604651162790697,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,0.0,0.0,3.5,20,0.0
229,0.48034934497816595,0.9863344351906911,-0.021824357330206455,-0.04618886030443798,-0.04739053472574813,0.18777292576419213,0.6244541484716157,0.017467248908296942,0.1703056768558952,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,0.0,0.0,3.5,20,1.0
220,0.38181818181818183,0.9379207952379939,-0.037772822214763586,-0.18295717364875888,-0.21261337122601517,0.4818181818181818,0.5136363636363637,0.004545454545454545,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,0.0,1.1,1.5,10,0.0
257,0.490272373540856,0.8968244929973508,-0.04113114019925822,-0.25927469914018614,-0.47251929489480504,0.377431906614786,0.23346303501945526,0.0,0.38910505836575876,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,0.0,1.1,1.5,10,1.0
220,0.38181818181818183,0.9403428095252597,-0.03607382066407744,-0.1753662645578505,-0.2038624716568384,0.4818181818181818,0.5181818181818182,0.0,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,0.0,1.1,1.5,20,0.0
257,0.490272373540856,0.8968244929973508,-0.04113114019925822,-0.25927469914018614,-0.47251929489480504,0.377431906614786,0.23346303501945526,0.0,0.38910505836575876,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,0.0,1.1,1.5,20,1.0
210,0.4380952380952381,0.9003783110138737,-0.05055277051845134,-0.3484572264525923,-0.344930549801614,0.32857142857142857,0.6523809523809524,0.01904761904761905,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,0.0,1.1,2.5,10,0.0
232,0.47844827586206895,0.9062607982725819,-0.030019691664319163,-0.3041225966882274,-0.3697595976810187,0.27155172413793105,0.44396551724137934,0.017241379310344827,0.2672413793103448,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,0.0,1.1,2.5,10,1.0
210,0.4380952380952381,0.9011254316987044,-0.04974249277286243,-0.34555720581212684,-0.34179689663426027,0.3333333333333333,0.6666666666666666,0.0,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,0.0,1.1,2.5,20,0.0
