n,win,pf,R,pts,sharpe,stop_share,flat_share,chan_share,tgt_share,side,N,adx,gate,stop,exN,tp
202,0.599009900990099,1.1587220600896782,0.05721261160932342,4.659273011171365,0.5924307318831215,0.29207920792079206,0.2079207920792079,0.0049504950495049506,0.49504950495049505,1,20,25,False,2.5,20,0.75
193,0.5699481865284974,1.2734001324299307,0.0971341584683727,8.386076994282973,0.9504650239837189,0.30569948186528495,0.29533678756476683,0.010362694300518135,0.38860103626943004,1,20,25,False,2.5,20,1.0
128,0.3984375,1.2054017183196142,0.07413811395086305,5.445218798999476,0.5713297412435258,0.4921875,0.4140625,0.09375,0.0,1,20,25,True,1.5,10,0.0
153,0.6078431372549019,1.2351099600578084,0.06029405354997463,4.332470861254312,0.7569150219284718,0.35294117647058826,0.0392156862745098,0.013071895424836602,0.5947712418300654,1,20,25,True,1.5,10,0.75
149,0.5436241610738255,1.2788075111886175,0.0841936946803318,5.811253699717688,0.8935805515706227,0.3959731543624161,0.08053691275167785,0.020134228187919462,0.5033557046979866,1,20,25,True,1.5,10,1.0
128,0.40625,1.2322123297498766,0.10095959504402696,6.3238894462465955,0.6402387099739475,0.5390625,0.453125,0.0078125,0.0,1,20,25,True,1.5,20,0.0
153,0.6078431372549019,1.2345674021386999,0.05997653070415323,4.324372522787183,0.752210843598021,0.35947712418300654,0.0457516339869281,0.0,0.5947712418300654,1,20,25,True,1.5,20,0.75
149,0.5436241610738255,1.2755726958228506,0.08304106042971424,5.7583958308719065,0.881508160681042,0.40939597315436244,0.087248322147651,0.0,0.5033557046979866,1,20,25,True,1.5,20,1.0
119,0.5042016806722689,1.3320744872416714,0.08594138923958229,9.636048733527891,0.8549415726794833,0.2773109243697479,0.5546218487394958,0.16806722689075632,0.0,1,20,25,True,2.5,10,0.0
139,0.5755395683453237,1.2618591627033056,0.0665177409066985,6.644843926549113,0.7925404374148414,0.2302158273381295,0.19424460431654678,0.09352517985611511,0.48201438848920863,1,20,25,True,2.5,10,0.75
134,0.5298507462686567,1.2927385940782756,0.07214958971560702,7.857144327715887,0.8460539488018323,0.2462686567164179,0.291044776119403,0.11194029850746269,0.35074626865671643,1,20,25,True,2.5,10,1.0
119,0.5210084033613446,1.3268441814397351,0.09190456822873021,10.258196004427212,0.8566723767159112,0.35294117647058826,0.6218487394957983,0.025210084033613446,0.0,1,20,25,True,2.5,20,0.0
139,0.5971223021582733,1.2921689516646073,0.07353917360334519,7.604608371051483,0.8702823187189392,0.2805755395683453,0.20863309352517986,0.007194244604316547,0.5035971223021583,1,20,25,True,2.5,20,0.75
134,0.5522388059701493,1.3316912603489317,0.08015448752333777,9.199440533204129,0.9424196985526784,0.30597014925373134,0.30597014925373134,0.014925373134328358,0.373134328358209,1,20,25,True,2.5,20,1.0
275,0.39636363636363636,1.140134335583201,0.11249809753642645,4.377964661206259,0.569752910723853,0.5309090909090909,0.3781818181818182,0.09090909090909091,0.0,1,55,0,False,1.5,10,0.0
352,0.5653409090909091,0.8976971792245502,-0.02467284741265915,-2.441750484978686,-0.5781504658933881,0.4005681818181818,0.03977272727272727,0.014204545454545454,0.5454545454545454,1,55,0,False,1.5,10,0.75
340,0.5147058823529411,0.9580029864027926,0.002891287625632449,-1.0955757588669652,-0.23462252095160985,0.4441176470588235,0.06764705882352941,0.014705882352941176,0.47352941176470587,1,55,0,False,1.5,10,1.0
275,0.38181818181818183,1.1175347916067797,0.11277748395858873,3.8296074574617522,0.48922963347838544,0.5745454545454546,0.4218181818181818,0.0036363636363636364,0.0,1,55,0,False,1.5,20,0.0
352,0.5653409090909091,0.8933392184923116,-0.02621597701835218,-2.5581846910932646,-0.6027256566631457,0.4119318181818182,0.04261363636363636,0.0,0.5454545454545454,1,55,0,False,1.5,20,0.75
340,0.5147058823529411,0.953642830350598,0.0012637456230567936,-1.2148482501498319,-0.25895606122605963,0.45588235294117646,0.07058823529411765,0.0,0.47352941176470587,1,55,0,False,1.5,20,1.0
252,0.4801587301587302,1.1728099638067473,0.0903848983971106,6.2754771002703595,0.6816670290720934,0.30952380952380953,0.503968253968254,0.1865079365079365,0.0,1,55,0,False,2.5,10,0.0
308,0.5681818181818182,1.0020450961706096,0.02267834971159383,0.06355524905479565,0.010133322488725272,0.25,0.17857142857142858,0.1038961038961039,0.4675324675324675,1,55,0,False,2.5,10,0.75
291,0.5360824742268041,1.1002032613072934,0.0637659156935565,3.289432584276004,0.46280533865408835,0.26804123711340205,0.24398625429553264,0.11683848797250859,0.3711340206185567,1,55,0,False,2.5,10,1.0
